from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
7640MPI,4074MPI,-0.61309,1535,29,1.16
4074MPI,4075MPI,-14.75938,2656,49,-0.9
4075MPI,4118MPI,1.3838,2315,43,1.51
4118MPI,4079MPI,11.32622,2535,46,2
4079MPI,4080MPI,26.0434,2177,43,2.44
4080MPI,4351MPI,49.05518,2513,52,0.88
4351MPI,713U,69.97377,2545,55,2
713U,4097MPI,-54.02588,2776,66,1.97
4097MPI,4098MPI,-3.13002,914,23,-0.46
4098MPI,4099MPI,-21.99162,2951,66,1.62
4099MPI,3962MPI,14.02818,1249,29,1
3962MPI,20BY,-30.49192,2269,48,-0.85
20BY,5444MPI,8.3793,1956,37,0.1
5444MPI,4100MPI,2.94245,1974,36,-0.14
4100MPI,5445MPI,-8.16178,1676,31,-2.05
5445MPI,5446MPI,-0.78014,1920,40,0.5
5446MPI,5447MPI,15.50367,2277,43,-0.14
5447MPI,4101MPI,-10.07148,2689,53,1.23
4101MPI,5448MPI,-1.12114,1971,38,1.46
5448MPI,901U,13.43127,1685,33,1.5
901U,5449MPI,-15.96609,2764,52,-0.6
5449MPI,71A,-3.08643,797,17,0.58
71A,4102MPI,-5.98056,1863,35,-0.36
4102MPI,158,5.17776,2057,39,1.18
158,4103MPI,6.13574,2292,44,0.47
4103MPI,5450MPI,-16.52956,2064,41,-0.7
5450MPI,4104MPI,25.32454,2628,53,2.26
4104MPI,720U,5.90019,2325,47,1.62
720U,161,17.08768,1909,51,2.32
161,76BY,1.61653,1207,37,1.38
76BY,5454MPI,-5.20524,2134,51,2.52
5454MPI,78BY,6.01079,1147,26,0.78
78BY,79BY,30.97429,2437,60,2.17
79BY,5453MPI,-9.60201,805,21,0.32
5453MPI,4105MPI,27.75692,2513,70,1.8
4105MPI,4357MPI,-18.76587,1906,48,0.52
4357MPI,87BY,20.64874,1852,56,1.92
87BY,3994MPI,37.59271,2268,48,1.76
3994MPI,38U,4.59466,2445,45,0.4
38U,870U,-4.2325,1179,25,1.86
870U,3993MPI,-1.38499,1291,30,0.42
3993MPI,4107MPI,3.78143,747,18,2.3
4107MPI,3992MPI,6.3348,1888,41,0.55
3992MPI,4009MPI,13.36776,1913,35,-0.15
4009MPI,4355MPI,-0.2751,1505,33,1.66
4355MPI,4011MPI,1.75322,2272,48,1.54
4011MPI,4012MPI,0.12372,2102,39,1.2
4012MPI,39U,-82.46436,2765,75,0.96
39U,4354MPI,-9.77975,2167,47,0.52
4354MPI,4353MPI,5.97546,1178,27,1.24
4353MPI,6011,-11.6455,1741,35,0.98
6011,4820,0.92666,1265,23,0.3
4820,6011_1,11.55686,1710,35,-0.35
6011_1,6013,-7.06552,2416,43,-1.18
6013,6014_1,-14.59784,1642,30,-1.56
6014_1,6014,10.85301,341,13,0.42
6014,240A1,10.03749,1634,36,1.46
240A1,4352MPI,2.3747,1276,27,0.86
4352MPI,6015,-30.44392,2377,58,2.52
6015,213A1,33.12163,3014,65,3.52
213A1,4108MPI,3.23848,1928,41,1.77
4108MPI,6016,-3.04334,1924,35,-1.52
6016,1529AFS,-9.60422,2317,49,3.42
1529AFS,3773MPI,4.45538,1391,34,0.97
3773MPI,4065,99.1729,1497,70,-0.52
4065,4760,64.55575,1021,51,2.3
4760,2481W,23.95931,1826,67,1.9
2481W,4073MPI,-71.43443,1896,46,-0.44
4073MPI,58U,73.75702,1971,50,1.25
58U,1079,-0.95567,76,5,-0.1
1079,1132U,5.18702,1801,41,0.57
1132U,1134,25.07049,282,18,0.04
1134,1077,154.51326,1825,97,0.17
1077,10771,52.33095,702,39,1.41
3412MPI,3411MPI,-0.01442,156,5,0.02
3411MPI,5452MPI,1.91181,1120,25,-0.74
5452MPI,3392MPI,-1.19862,593,13,-0.3
3392MPI,3583MPI,30.87094,2211,52,-0.6
3583MPI,4138MPI,-25.79717,1540,39,0.1
4138MPI,4137MPI,-2.9934,2318,44,-1.24
4137MPI,4136MPI,0.14556,2035,38,-0.2
4136MPI,4135MPI,0.17866,141,5,-0.32
4135MPI,5439MPI,1.46954,1136,21,0.72
5439MPI,3720MPI,2.5761,2741,49,1.16
3720MPI,142BN,-1.10433,1895,40,0.34
142BN,5438MPI,-0.40508,2253,43,2
5438MPI,4356MPI,-4.1527,2461,49,-0.82
4356MPI,3528,-0.41362,2055,44,2.48
3528,261A,3.31583,2274,43,3.36
261A,29PU,0.70083,165,7,0.56
29PU,3776MPI,-1.78652,1736,35,0.92
3776MPI,3206MPI,34.60363,2079,48,0.95
3206MPI,3207MPI,-20.0887,1501,45,0.68
3207MPI,756A,-1.93985,1404,41,1.2
756A,3208MPI,4.23832,1039,28,2.36
3208MPI,3775MPI,-10.96092,2114,43,0.28
3775MPI,4133MPI,17.84514,1724,38,-0.2
4133MPI,3774MPI,-13.4639,1811,45,1.81
3774MPI,3546MPI,9.3382,3539,70,3.19
3546MPI,4131MPI,6.04144,1602,34,1.34
4131MPI,4350MPI,-3.34769,712,22,1.44
4350MPI,4130MPI,34.57406,1601,35,0.54
4130MPI,4129MPI,0.42026,30,3,-0.03
4129MPI,4128MPI,-9.94875,1793,35,0.1
4128MPI,124BN,2.6859,971,19,-0.28
124BN,4455_1,-0.43274,592,12,0.01
4455_1,4349MPI,13.77899,1852,35,0.66
4349MPI,502U,15.09614,1607,37,0.48
502U,3054_1,8.76715,2471,49,0.8
3054_1,762A,5.21829,353,11,0.48
762A,4603MPI,3.04227,835,20,-0.9
4603MPI,4839,26.23022,1844,47,-1.05
4839,29U,-15.54528,2006,45,0.83
29U,5111,-6.54253,767,17,1.4
5111,3980MPI,-35.31995,2481,43,1.16
3980MPI,32U,-12.52901,2587,45,0.06
32U,3971MPI,0.63613,2276,41,-1.08
3971MPI,3972MPI,0.23904,1792,31,-0.48
3972MPI,32FE,5.01396,1410,27,-1.26
32FE,4850,2.11802,242,7,0.62
4850,3974MPI,15.09231,1388,25,-0.22
3974MPI,3978MPI,58.52762,1686,42,-0.61
3978MPI,4092,40.87057,1894,57,1.5
4092,4126MPI,9.09118,1821,61,1.37
4126MPI,4125MPI,0.73366,41,3,0.08
4125MPI,1036D,-23.39745,1719,58,0.74
1036D,4764MPI,-44.00196,1687,45,-2.28
4764MPI,4348MPI,-32.28506,2379,51,1.76
4348MPI,964U,31.39608,1636,40,1.92
964U,4764,-47.70754,1598,53,0.32
4764,4124MPI,56.82151,1385,35,1.55
4124MPI,4123MPI,2.19168,112,3,-0.49
4123MPI,3145,58.04932,2210,46,2.6
3145,57U,16.70619,1646,35,0.58
57U,1076,47.43111,2253,58,1.94
1076,10771,-33.69442,1143,28,2.06
