from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
509U,567ORM,-16.226,1665,9,10
567ORM,566ORM,-2.0085,342,3,3
566ORM,565ORM,-3.498,368,3,2
565ORM,564ORM,18.123,356,3,0.0001
564ORM,563ORM,26.0835,350,3,5
563ORM,562ORM,28.057,347,3,4
562ORM,561ORM,16.9835,521,4,5
561ORM,560ORM,-6.796,332,3,2
560ORM,559ORM,-20.5375,336,3,3
559ORM,558ORM,-2.7525,381,3,1
558ORM,557ORM,12.7725,374,3,1
557ORM,556ORM,7.232,389,3,4
556ORM,555ORM,-0.3485,360,3,3
555ORM,554ORM,9.909,358,3,8
554ORM,553ORM,-5.688,356,3,8
553ORM,552ORM,-21.198,471,4,2
552ORM,551ORM,-33.1415,465,4,3
551ORM,550ORM,-8.5995,429,3,5
550ORM,549ORM,-9.035,401,3,2
549ORM,548ORM,-7.4435,391,3,1
548ORM,545ORM,-7.4785,621,5,9
545ORM,544ORM,-4.6695,527,4,9
544ORM,543ORM,1.971,322,3,6
543ORM,542ORM,12.973,351,3,8
542ORM,541ORM,-1.4295,362,3,5
541ORM,540ORM,-18.205,347,3,4
540ORM,539ORM,-14.279,397,4,2
539ORM,538ORM,-18.5755,371,3,7
538ORM,537ORM,-5.221,379,3,2
537ORM,536ORM,-5.3005,383,3,1
536ORM,535ORM,-6.315,320,3,2
535ORM,534ORM,-8.8,341,3,2
534ORM,533ORM,-4.4305,423,4,1
533ORM,532ORM,0.631,375,3,0.0001
532ORM,531ORM,-7.9265,320,3,5
531ORM,530ORM,-8.89,432,3,0.0001
530ORM,528ORM,-12.4745,316,3,3
528ORM,527ORM,0.172,402,3,0.0001
527ORM,526ORM,0.775,365,3,2
526ORM,525ORM,-2.1445,363,3,5
525ORM,524ORM,-5.786,367,3,0.0001
524ORM,523ORM,-4.858,512,4,4
523ORM,522ORM,1.693,350,3,2
522ORM,521ORM,-3.1975,375,3,1
521ORM,520ORM,-3.7425,467,4,7
520ORM,519ORM,-4.769,396,3,8
519ORM,518ORM,-2.965,303,2,2
518ORM,517ORM,2.983,297,2,2
517ORM,516ORM,-3.5825,485,3,11
516ORM,515ORM,-2.544,349,3,4
515ORM,514ORM,-1.374,430,3,0.0001
514ORM,513ORM,0.814,335,2,6
513ORM,512ORM,3.7705,324,2,3
512ORM,511ORM,-6.1035,318,3,5
511ORM,510ORM,4.093,405,3,2
510ORM,509ORM,-1.682,351,3,10
509ORM,508ORM,-0.1625,377,3,3
508ORM,507ORM,-0.916,379,3,0.0001
507ORM,506ORM,-1.3055,382,3,1
506ORM,505ORM,6.4325,578,5,3
505ORM,504ORM,7.285,401,3,4
504ORM,503ORM,-11.207,510,4,4
503ORM,502ORM,0.181,382,4,2
502ORM,501ORM,-1.8075,315,2,5
501ORM,261A,2.4615,1266,8,13
547ORM,545ORM,-9.432,164,1,4
546ORM,545ORM,-7.3135,339,3,3
528ORM,529ORM,2.8385,518,4,3
