from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
1516JAD,7326b,2.39841,777,17,0.54
7326b,1518JAD,4.36551,1595,41,1.06
1518JAD,7319b,7.66204,1171,34,1.6
7319b,4188MPI,-2.78612,1868,43,0.21
4188MPI,4189MPI,-18.88442,935,25,0.98
4189MPI,4190MPI,8.06195,678,19,-0.02
4190MPI,1517JAD,8.46567,1098,36,0.26
1517JAD,7320b,-6.07362,1094,32,-0.07
7320b,910U,0.50488,516,15,-0.23
910U,1927b,20.30934,1561,43,0.37
1927b,1708b,19.30234,1654,40,0.68
1708b,893b,-17.20118,1236,33,-0.48
893b,933b,11.08248,1372,44,0.64
933b,932b,6.71151,639,25,-0.6
932b,959b,11.91831,1434,55,0.5
959b,957b,-9.56498,868,31,1.17
957b,956b,-8.90424,755,17,-1.16
956b,1506JAD,5.12543,1953,38,2.04
1506JAD,953b,22.31966,1624,44,1.24
953b,951b,-8.1697,482,17,0.75
951b,919b,1.29617,621,20,0.16
919b,918b,-4.89983,179,11,0.14
918b,968b,12.92634,1071,39,1.38
968b,969b,-15.33035,575,20,0.45
969b,5517MPI,-13.3604,1001,40,0.64
5517MPI,1503JAD,5.96823,1046,35,0.37
1503JAD,928b,-10.88358,1331,36,-0.86
928b,915b,-8.95344,314,13,0.12
915b,5434MPI,-4.43646,793,19,1.21
5434MPI,799A,36.22237,1732,82,-0.34
799A,1505JAD,-48.06179,2003,130,0.78
1505JAD,274A,-3.96035,927,28,-0.1
274A,395U,24.55056,1428,36,1.3
395U,1839b,18.21652,1139,34,0.24
1839b,1840b,-4.85354,684,38,0.52
1840b,1843b,-15.74006,1791,74,-0.3
1843b,1844b,-0.63783,494,21,-0.27
1844b,1845b,-18.1486,605,27,1.02
1845b,1815b,-7.83456,834,24,0.6
1815b,1814b,-4.31248,760,24,0.02
1814b,912U,-1.06478,169,7,0.03
912U,1520JAD,10.04425,1295,45,1.74
1520JAD,2033b,2.94822,1375,31,0.16
2033b,5518MPI,7.36071,1666,37,1.32
5518MPI,2039b,21.21545,1545,37,-1.74
2039b,1951b,5.80406,1640,49,-0.59
1951b,1708b,2.59074,1126,32,0.05
1708b,1707b,4.89829,782,20,0.91
1707b,5505MPI,-12.8328,1490,47,0.53
5505MPI,5516MPI,-7.84255,1184,27,0.18
5516MPI,5433MPI,-11.53208,1190,29,0.15
5433MPI,1173b,-1.40284,2047,68,-0.58
1173b,1085b,-0.2988,60,5,-0.01
1085b,1133b,3.07719,871,22,0.14
1133b,5515MPI,4.5381,1300,31,1.52
5515MPI,1089b,5.79979,1185,35,-1.84
1089b,6281,7.13408,1027,28,0.78
6281,5514MPI,14.96565,990,27,0.5
5514MPI,427U,-5.35065,715,17,-1.24
427U,1178b,8.6193,772,29,-0.36
1178b,1171b,-15.79561,1200,36,-0.06
1171b,1170b,-1.591,892,23,1.14
1170b,1169b,3.10499,590,16,0.2
1169b,1106b,10.55265,1278,33,-0.01
1106b,1154b,10.18165,1521,50,1
1154b,1155b,-5.19014,1199,47,-0.22
1155b,1103b,-6.72543,1704,46,-0.92
1103b,1102b,-3.43358,556,18,-0.24
1102b,1101b,7.08093,687,20,-0.6
1101b,5506MPI,-5.5693,416,13,-0.22
5506MPI,1140b,-6.90226,1826,49,0.88
1140b,5511MPI,-4.87786,1337,31,-0.22
