from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
40F,5435MPI,5.71671,1491.5,,2.14
5435MPI,5436MPI,20.18326,2416,,2.56
5436MPI,5437MPI,24.1834,1732,,0.48
5437MPI,795A,13.65188,2332.5,,3.24
795A,4682,30.68406,1764.5,,2.04
4682,326A,60.124975,3132.5,,0.39
326A,828,12.273285,2549.5,,2.39
828,1578b,-18.82204,1263,,0.76
1578b,79U,20.6309,2190,,2.12
79U,4202MPI,54.6288,2215,,-0.46
4202MPI,324A,-18.26605,1949,,3.02
324A,1678b,-37.124875,2979.5,,-0.05
1678b,80U,-10.55893,714,,0.96
80U,6029MPI,-4.437355,1723.5,,0.39
6029MPI,338A,18.0535,2104,,1.28
338A,2248b,15.11973,1921,,-0.3
2248b,3236,28.387655,1582,,0.45
3236,2245b,8.694925,899,,1.57
2245b,2251b,-5.94377,850.5,,0.58
2251b,4203MPI,13.39087,1823,,0.06
4203MPI,4204MPI,58.834555,1995,,0.45
4204MPI,4205MPI,15.87816,1586.5,,1.36
4205MPI,4206MPI,-11.03128,2099.5,,1.96
4206MPI,4176MPI,7.866895,2193.5,,2.07
4176MPI,5451MPI,-46.36039,1820,,2.02
5451MPI,4321MPI,-18.589945,1557.5,,2.13
4321MPI,4170MPI,49.05776,2264,,2.44
4170MPI,4169MPI,-45.958915,1686,,2.51
4169MPI,4168MPI,48.844965,1503,,1.61
4168MPI,4167MPI,-1.8049,1351,,0.44
4167MPI,4166MPI,-36.80068,1266,,0.6
4166MPI,7230MPI,50.303635,955.5,,0.77
7230MPI,7214MPI,-25.99806,2527,,2.94
7214MPI,7127b,45.61199,2240,,-1.3
7127b,7115b,-35.103105,1854.5,,2.41
7115b,5533MPI,38.38845,2192.5,,0.66
5533MPI,5532MPI,0.610595,1985.5,,2.55
5532MPI,5531MPI,15.65653,2282.5,,-0.66
5531MPI,5530MPI,-31.05879,1553.5,,-0.82
5530MPI,5528MPI,-18.49968,2192.5,,-2.16
5528MPI,5455MPI,-3.547805,1594.5,,-1.09
5455MPI,5529MPI,11.11637,1758,,-0.76
5529MPI,433A,49.929615,2167,,2.09
433A,7061MPI,-9.778985,2434,,-2.95
7061MPI,7057MPI,79.176015,2148.5,,2.89
7057MPI,7054MPI,-88.17401,1460.5,,-0.86
7054MPI,3158b,-42.143275,3052,,3.13
3158b,4510,-14.09223,1951,,1.14
4510,5536MPI,-15.927365,1651,,-1.81
5536MPI,5535MPI,-10.350515,1714.5,,1.61
5535MPI,5534MPI,41.49527,2629,,1.18
5534MPI,874U,18.50094,2631.5,,-1.68
874U,3746MPI,36.08284,3025.5,,2.12
3746MPI,5443MPI,-85.41517,2232.5,,2.1
5443MPI,3214b,-55.92618,2322,,2.52
3214b,22U,-23.09922,1962,,2.28
22U,611U,-21.07289,1393,,0.5
611U,4162MPI,-6.56786,2432.5,,2.2
4162MPI,4161MPI,3.16185,2121.5,,2.58
4161MPI,4160MPI,-0.807425,2107,,1.13
4160MPI,5095,-16.06236,1391.5,,-1.76
5095,4320MPI,-19.415275,2756,,3.03
4320MPI,5094,-10.6201,1256,,0.01
5094,3272,-24.947295,1507.5,,-0.13
3272,5092,34.89782,1623.5,,1.8
5092,972U,-19.59592,2142.5,,-0.56
972U,4984,-23.20881,838.5,,1.58
4984,5091,6.83645,934.5,,0.38
5091,4720,-37.08602,1589,,0.96
4720,5442MPI,10.176975,809.5,,1.03
5442MPI,5441MPI,10.47854,1066.5,,0.08
5441MPI,2127b,-6.98158,1180.5,,0.76
2127b,2157b,-11.18015,1163,,0.14
2157b,900b,-2.96185,2339.5,,3.1
900b,5090,-18.614185,1630.5,,1.69
5090,5440MPI,-21.78977,1586,,2.26
5440MPI,40F,-2.790935,1437.5,,1.65
2251b,42651,100.49013,1978.5,,2.62
42651,4266,60.97804,994.5,,0.4
3160b,3158b,-7.65153,1041.5,,1.02
