from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
3AREL,4234MPI,-36.35128,492,22,0.53
4234MPI,4068MPI,-25.70916,1236,29,1.03
4ARL,5ARL,-22.43608,400,13,0.26
4233MPI,4232MPI,-11.2966,262,7,-0.23
4234MPI,4233MPI,-9.21302,176,7,2.24
4YOSH,4235MPI,-7.62387,346,9,0.06
3ARL,4ARL,-2.74561,250,8,0.5
4232MPI,4230MPI,-0.97307,188,7,0.8
4068MPI,ARIL,0.07183,19,6,-0.4
4235MPI,4234MPI,2.45274,184,5,0.66
4230MPI,4231MPI,4.61816,145,5,-0.97
ARIL,4232MPI,5.12516,853,26,-1.35
4234MPI,4YOSH,5.16979,541,11,0.08
4375MPI,ARIL,13.28361,324,11,1.22
2ARL,3ARL,18.75854,356,11,-2.75
200PIK,2ARL,20.40094,433,13,1.6
4231MPI,4YOSH,22.0386,1004,21,0.94
100PIK,3AREL,23.08182,723,22,-1.33
4240MPI,4375MPI,25.40946,827,19,1.15
ARIL,100PIK,38.90835,554,21,-2
4555,200PIK,41.885,672,23,1.34
5ARL,4240MPI,49.93121,984,28,-2.54
