Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File
38S,29B,4.82047,127,5,##,100,leav28-29-48.raw
29B,29,0.02277,15,3,##,100,leav28-29-48.raw
29,28,0.15147,11,3,##,100,leav28-29-48.raw
28,28B,0.04517,10,3,##,100,leav28-29-48.raw
48,3727,-3.27496,75,5,0.58,100,leav28-29-48.raw
3727,6S,0.40352,37,3,0.98,100,leav28-29-48.raw
6S,48,2.87149,36,3,0.38,100,leav28-29-48.raw
28B,1D,-0.97019,12,3,##,100,leav28-29-48.raw
1D,3730,1.17183,116,5,##,100,leav28-29-48.raw
3730,3S,0.21885,117,5,##,100,leav28-29-48.raw
