point,H [m],sigma 95% [mm]
100L,31.033,5.66
10S,35.614,0.84
11S,35.784,10.85
12S,40.159,0.7
12SN,39.89,1.32
13S,39.144,1.75
13SN,39.209,4.92
14S,30.181,0.36
15S,37.186,0.81
15SN,37.567,4.86
16S,42.816,4.07
17S,44.67,1.85
17SN,44.619,4.29
18S,37.936,4.3
19S,28.509,7.72
19SN,28.654,3.01
1S,36.149,17.02
20S,37.135,0.65
21S,37.725,2.16
22S,35.667,2.1
23S,30.318,0.36
24S,35.246,2.02
24SN,34.856,1.43
25S,37.468,5.26
25SN,37.4,1.35
26S,41.799,1.13
27S,39.678,3.51
27SN,38.147,1.19
28S,35.842,0.75
28SN,35.855,0.72
29S,38.294,3.4
2S,43.346,3.27
300PIK,22.338,0.56
30S,37.629,2.77
31S,34.746,4.72
31SN,34.411,0.96
32S,33.686,4.87
33S,37.902,0.46
33SN,37.881,0.82
34S,37.145,0.22
35S,38.71,3.48
36S,40.864,3.18
36SN,40.907,3.7
37S,39.89,1.66
37SN,38.974,2.29
38S,40.909,8.01
39S,29.644,1.79
3S,46.365,3.03
400,15.986,6.8
401,9.765,0.48
402,10.311,0.48
40S,38.222,1.62
40SN,38.749,1.76
41M,9.395,18.43
42M,26.71,4.46
43M,24.32,3.32
44M,27.652,11.77
45M,26.113,14.48
46M,29.898,17.02
47M,19.916,4.34
48M,14.066,3.2
49M,19.288,2.07
49SN,34.875,5.55
4S,41.256,3.19
4SN,40.88,3.4
50M,31.411,7.13
51M,30.142,3.48
52S,31.332,3.17
53M,29.247,4.68
54M,29.534,0.6
55M,36.759,1.06
56M,35.497,0.84
57M,23.534,8
58M,35.51,4.05
59M,35.84,2.67
5S,39.543,5.62
5SN,40.011,0.24
60M,32.79,5.31
61M,37.579,1.01
62L,13.89,2.32
63L,14.937,0.24
64L,13.048,0.24
65L,14.556,3.24
66L,19.967,10.32
67L,16.735,6.45
68L,9.363,7.5
69L,11.123,9.97
6S,35.8,4.71
70L,9.105,14.52
72L,11.551,4.94
73L,19.098,3.67
74L,16.357,3.04
75L,15.148,1.91
76L,17.002,2.4
77L,19.904,3.16
78L,3.457,3.82
79L,3.637,2.52
7S,32.62,2.45
80L,20.026,13.9
81L,18.185,1.08
82L,16.008,0.96
83L,21.112,1.77
84L,25.321,4.83
85L,18.569,2.13
86L,17.203,10.47
87L,17.651,11.82
88L,35.225,8.42
89L,36.102,10.22
8S,25.855,4.33
90L,27.965,4.97
91L,11.213,2.43
92L,33.697,2.41
93L,39.527,11.5
94L,38.505,28.54
95L,40.683,20.23
96L,35.651,0.84
97L,34.671,2.9
98L,35.729,2.98
99L,34.652,4.27
9S,27.545,6.9
9SN,27.658,4.04
