point,H [m],sigma 95% [mm]
100L,31.023,5.77
10S,35.608,0.86
11S,35.782,11.05
12S,40.143,0.71
12SN,39.874,1.34
13S,39.13,1.78
13SN,39.195,5.01
14S,30.166,0.36
15S,37.179,0.83
15SN,37.555,4.95
16S,42.804,4.15
17S,44.655,1.88
17SN,44.607,4.36
18S,37.925,4.37
19S,28.527,7.69
19SN,28.442,3.07
1S,36.417,7.33
20S,37.119,0.66
21S,37.709,2.2
22S,35.652,2.14
23S,30.303,0.36
24S,35.231,2.06
24SN,34.842,1.46
25S,37.454,5.35
25SN,37.386,1.38
26S,41.784,1.15
27S,39.663,3.58
27SN,38.132,1.21
28S,35.827,0.76
28SN,35.839,0.73
29S,38.279,3.47
2S,43.344,2.36
300PIK,22.335,0.54
30S,37.621,2.82
31S,34.748,4.81
31SN,34.412,0.98
32S,33.691,4.96
33S,37.902,0.47
33SN,37.881,0.84
34S,37.145,0.22
35S,38.709,3.54
36S,40.863,3.24
36SN,40.905,3.76
37S,39.889,1.66
37SN,38.972,2.33
38S,40.902,5.77
39S,29.641,1.82
3S,46.363,2.3
400,15.991,6.92
401,9.77,0.49
402,10.316,0.49
40S,38.22,1.65
40SN,38.747,1.79
41M,9.401,13.73
42M,26.715,4.54
43M,24.324,3.38
44M,27.672,11.99
45M,26.139,14.74
46M,30.192,0.25
47M,19.97,4.41
48M,14.124,3.21
49M,19.345,2.11
49SN,34.862,5.65
4S,41.256,3.25
4SN,40.88,3.46
50M,31.43,0.25
51M,30.149,3.33
52S,31.338,3.22
53M,29.247,2.07
54M,29.53,0.61
55M,36.748,1.08
56M,35.482,0.86
57M,23.58,39.8
58M,35.494,4.13
59M,35.83,2.72
5S,39.543,5.29
5SN,40.011,0.25
60M,32.804,5.41
61M,37.568,1.03
62L,13.947,2.36
63L,14.991,0.25
64L,13.102,0.24
65L,14.61,3.3
66L,20.017,10.51
67L,16.737,6.81
68L,9.362,5.59
69L,11.129,6.48
6S,35.791,4.31
70L,9.111,14.78
72L,11.557,5.03
73L,19.103,3.74
74L,16.365,3.09
75L,15.157,1.94
76L,17.011,1.34
77L,19.908,3.22
78L,3.513,3.89
79L,3.696,2.56
7S,32.617,2.49
80L,19.917,1.25
81L,18.181,1.1
82L,16.004,0.9
83L,21.108,1.27
84L,25.325,27.25
85L,18.565,1.55
86L,17.199,10.66
87L,17.647,12.03
88L,35.222,8.58
89L,36.097,10.41
8S,25.636,4.25
90L,27.961,5.06
91L,11.272,2.56
92L,33.682,2.46
93L,39.512,11.71
94L,38.492,29.06
95L,40.67,20.6
96L,35.636,0.85
97L,34.661,2.95
98L,35.719,3.04
99L,34.642,4.35
9S,27.553,7.84
9SN,27.451,4.11
