point,H [m],sigma 95% [mm]
100L,31.033,1.39
10S,35.614,0.21
11S,35.784,2.67
12S,40.159,0.20
13S,39.144,0.44
14S,30.178,0.09
15S,37.185,0.20
16S,42.816,2.47
17S,44.670,0.45
18S,37.936,1.06
19S,28.509,1.86
1S,36.411,1.77
20S,37.135,0.36
21S,37.725,0.53
22S,35.677,0.62
23S,30.315,0.09
24S,35.243,0.50
25S,37.468,1.29
26S,41.799,0.79
27S,39.679,0.86
28S,35.843,0.18
29S,38.294,1.00
2S,43.345,0.57
300PIK,22.336,0.13
30S,37.628,0.73
31S,34.745,1.34
32S,33.684,1.20
33S,37.901,0.12
34S,37.144,0.12
35S,38.709,0.86
36S,40.863,0.78
37S,39.889,0.66
38S,40.908,1.39
39S,29.643,0.44
3S,46.365,0.56
400,15.990,1.67
401,9.770,0.12
402,10.316,0.12
40S,38.221,0.91
41M,9.401,3.32
42M,26.714,1.10
43M,24.324,0.82
44M,27.649,2.89
45M,26.109,3.56
46M,30.171,0.06
47M,19.908,1.06
48M,14.058,0.78
49M,19.280,0.51
4S,41.255,1.95
50M,31.409,0.06
51M,30.140,0.80
52S,31.330,0.78
53M,29.248,0.50
54M,29.532,0.15
55M,36.758,0.26
56M,35.498,0.21
57M,23.528,9.61
58M,35.510,1.00
59M,35.839,0.66
5S,39.543,1.28
60M,32.787,1.31
61M,37.578,0.25
62L,13.882,0.57
63L,14.929,0.06
64L,13.040,0.06
65L,14.548,0.80
66L,19.959,2.54
67L,16.737,1.64
68L,9.362,1.35
69L,11.128,1.57
6S,35.800,1.04
70L,9.110,3.57
72L,11.556,1.21
73L,19.102,0.90
74L,16.366,0.75
75L,15.158,0.47
76L,17.012,0.32
77L,19.908,0.78
78L,3.449,0.94
79L,3.633,0.62
7S,32.619,0.60
80L,19.918,0.30
81L,18.183,0.27
82L,16.006,0.22
83L,21.110,0.31
84L,25.327,6.58
85L,18.567,0.37
86L,17.201,2.57
87L,17.649,2.90
88L,35.224,2.07
89L,36.101,2.51
8S,25.543,2.96
90L,27.963,1.22
91L,11.208,0.62
92L,33.698,0.59
93L,39.527,2.83
94L,38.505,7.02
95L,40.681,4.97
96L,35.651,0.21
97L,34.671,0.71
98L,35.729,0.73
99L,34.651,1.05
9S,27.544,1.89
