Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File
16S,4DSW,-1.91568,811,18,0.59,0,M_050717.raw
4DSW,1639HFL,1.3744,408,9,0.81,0,M_050717.raw
1639HFL,1637HFL,-0.86841,403,9,-0.14,0,M_060717.raw
1637HFL,3359MPI,-0.6825,523,12,1.04,0,M_060717.raw
3359MPI,11BLB,0.63231,558,12,0.52,0,M_060717.raw
11BLB,3360MPI,2.31142,320,7,0.45,0,M_060717.raw
3360MPI,3DSW,-1.30711,370,8,-0.04,0,M_060717.raw
3DSW,41S,0.58054,326,8,0.79,0,M_060717.raw
41S,40S,-1.52438,1048,24,0.25,0,M_060717.raw
40S,12DSW,2.24654,574,12,0.03,0,M_290617.raw
12DSW,11DSW,-4.5999,538,11,0.39,0,M_290617.raw
11DSW,10DSW,6.0888,804,16,0.45,0,M_290617.raw
10DSW,9DSW,-3.14948,422,9,0.05,0,M_290617.raw
9DSW,8DSW,-1.47007,509,11,-0.18,0,M_270617.raw
8DSW,2DSW,-1.47292,575,12,0.61,0,M_270617.raw
2DSW,7DSW,1.20868,309,7,0.45,0,M_270617.raw
7DSW,6DSW,0.43184,521,10,0.79,0,M_270617.raw
6DSW,15DSW,-0.3657,504,10,1.83,0,M_270617.raw
15DSW,1DSW,-1.49443,320,7,0.76,0,M_270617.raw
1DSW,802YS,-0.34495,197,5,0.18,0,M_220617.raw
802YS,1JK,-0.2345,1169,20,2.48,0,M_220617.raw
1JK,2JK,-0.32084,387,7,1.02,0,M_220617.raw
2JK,3JK,-0.46081,316,6,-0.88,0,M_220617.raw
3JK,4JK,-0.14448,509,9,0.54,0,M_220617.raw
4JK,5JK,0.27886,481,9,0.95,0,M_220617.raw
5JK,6JK,-0.1313,233,5,-0.41,0,M_220617.raw
6JK,7JK,-0.48731,263,5,1.06,0,M_220617.raw
7JK,8JK,0.28414,476,9,1.28,0,M_220617.raw
8JK,9JK,-0.24634,307,6,-0.03,0,M_220617.raw
9JK,10JK,0.1953,501,9,1.61,0,M_220617.raw
10JK,11JK,0.1042,526,10,-1.15,0,M_220617.raw
11JK,12JK,-0.2509,523,10,-0.82,0,M_220617.raw
12JK,13PK,1.58668,375,7,0.18,0,M_220617.raw
13PK,14PK,-0.45941,489,9,-0.94,0,M_210617.raw
14PK,15PK,0.1939,502,9,0.59,0,M_210617.raw
15PK,16PK,0.13233,499,9,0.74,0,M_210617.raw
16PK,17PK,-0.08049,502,9,-0.22,0,M_210617.raw
17PK,18PK,-0.05891,501,9,0.72,0,M_210617.raw
18PK,19PK,0.0741,502,9,0.86,0,M_210617.raw
19PK,20PK,0.02484,289,6,-0.19,0,M_210617.raw
20PK,21PK,0.01306,501,9,1.43,0,M_210617.raw
21PK,22PK,-0.0325,503,9,0.53,0,M_210617.raw
22PK,23PK,0.03142,502,9,0.5,0,M_210617.raw
23PK,24PK,0.0004,503,9,-0.06,0,M_210617.raw
24PK,25PK,0.06306,500,9,0.48,0,M_210617.raw
25PK,26PK,0.04422,507,9,-0.19,0,M_210617.raw
26PK,27PK,-0.05596,510,9,-0.25,0,M_200617.raw
27PK,28PK,0.05952,506,9,-0.02,0,M_200617.raw
28PK,29PK,0.0067,495,9,-0.82,0,M_200617.raw
29PK,30PK,0.03889,498,9,0.76,0,M_200617.raw
30PK,31PK,0.02981,534,9,-0.42,0,M_200617.raw
31PK,32PK,-0.02486,500,9,0.67,0,M_200617.raw
32PK,33PK,-0.02809,505,9,0.46,0,M_190617.raw
33PK,34PK,0.01664,500,9,0.17,0,M_190617.raw
34PK,35PK,0.03751,502,9,0.62,0,M_190617.raw
35PK,36PK,-0.02779,502,9,-1.68,0,M_190617.raw
36PK,37PK,0.00044,505,9,1.52,0,M_190617.raw
37PK,39PK,-0.02938,997,17,-0.51,0,M_190617.raw
39PK,40PK,-0.00018,504,9,0.89,0,M_190617.raw
40PK,41PK,0.05488,533,9,0.6,0,M_190617.raw
41PK,42PK,-0.05572,502,9,0.28,0,M_190617.raw
42PK,43PK,-0.05046,500,9,-0.73,0,M_180617.raw
43PK,44PK,-0.01612,500,9,-0.13,0,M_180617.raw
44PK,45PK,0.05806,251,5,-0.11,0,M_180617.raw
45PK,46PK,0.01956,280,5,0.15,0,M_180617.raw
46PK,47PK,0.00929,201,4,-0.06,0,M_180617.raw
47PK,48PK,0.02822,200,4,0.11,0,M_180617.raw
48PK,49PK,0.0195,604,11,0.67,0,M_180617.raw
49PK,50PK,-0.02992,503,9,-0.13,0,M_180617.raw
50PK,51PK,-0.01376,447,8,0.06,0,M_200617.raw
51PK,52PK,0.00958,246,5,0.05,0,M_200617.raw
52PK,3653b,8.9421,765,16,0.35,0,M_200617.raw
3653b,3353MPI,1.92126,42,3,0.02,0,M_200617.raw
3353MPI,3354MPI,-10.4032,779,16,0.73,0,M_200617.raw
3354MPI,70LT,-0.42226,595,12,-0.16,0,M_280617.raw
70LT,109LT,0.11283,766,15,0.58,0,M_280617.raw
109LT,148LT,0.7091,785,17,0.79,0,M_280617.raw
148LT,5DSW,2.25526,645,14,-0.72,0,M_280617.raw
5DSW,1S,-0.50125,604,12,-0.68,0,M_050717.raw
1S,5S,-2.18255,899,17,2.8,0,M_050717.raw
5S,16S,3.71464,674,13,2.27,0,M_050717.raw
