Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,
9SN,20S,9.47266,341,9,-2.09,1220,MAT55.DAT.raw,0.196
23S,24SN,4.34848,141,5,0.82,1120,MAT12.DAT.raw,0.190
67L,66L,3.22214,696,18,7.43,119,Loop05-2.raw,0.057
9S,57M,-4.01578,309,7,7.11,219,Loop26_27.raw,0.042
25SN,22S,-1.76204,225,5,-0.32,1120,MAT08.DAT.raw,0.029
48M,8S,11.48468,731,17,-1.25,219,Loop26_27.raw,0.027
45M,66L,-6.14904,318,7,-2.73,119,Loop9.raw,0.027
15S,19S,-8.67606,638,15,-1.49,219,Loop2829.raw,0.024
88L,2977b,-10.73062,812,19,-1.52,100,2977b.raw,0.012
57M,91L,-12.31928,453,11,3.65,219,Loop26_27.raw,0.011
16S,3S,3.54846,362,7,1.85,101,NAT72.DAT.raw,0.011
5S,1S,-3.13434,339,7,0.99,119,Loop25-2.raw,0.008
29S,15S,-1.10821,137,5,2.54,219,Loop2829.raw,0.008
60M,44M,-5.13846,465,9,-1.43,119,Loop9.raw,0.007
51M,60M,2.64768,389,8,-0.71,119,Loop25-2.raw,0.007
22S,21S,2.05017,146,5,1.64,101,LOP16N5.DAT.raw,0.007
44M,45M,-1.54011,274,5,1.34,119,Loop9.raw,0.006
8S,19SN,2.79946,181,5,0.37,1220,MAT53.DAT.raw,0.006
38S,3S,5.45554,272,7,1.2,101,NAT68.DAT.raw,0.006
70L,72L,2.44072,1213,21,-2.14,219,Loop06-V.raw,0.005
19SN,9SN,-0.99661,135,3,0.34,1220,MAT54.DAT.raw,0.005
99L,100L,-3.62399,374,7,2.64,101,LOP14N2.DAT.raw,0.005
10S,11S,0.17014,279,5,-2,119,Loop25-2.raw,0.005
72L,74L,4.80393,257,6,-1.04,101,NAT29.DAT.raw,0.005
1S,51M,-6.27268,319,9,-0.75,119,Loop25-2.raw,0.005
90L,88L,7.25621,427,9,-1.1,101,LOP20N3.DAT.raw,0.004
15SN,30S,0.06177,107,3,0.64,1220,MAT48.DAT.raw,0.004
12S,16S,2.65629,408,9,-1.16,213,NAT78.DAT.raw,0.004
24SN,25SN,2.53978,78,3,0.12,1120,MAT13.DAT.raw,0.004
41M,72L,2.15115,548,9,2.38,119,Loop05-2.raw,0.004
66L,65L,-5.41096,321,7,-0.91,119,Loop9.raw,0.004
94L,99L,-3.85402,813,18,-3.49,101,LOP14N10.DAT.raw,0.004
13S,18S,-1.2086,180,5,-0.59,101,LOP22N6.DAT.raw,0.004
12SN,17SN,4.7286,186,5,-1.31,1220,MAT24.DAT.raw,0.003
93L,94L,-1.02304,615,11,-3.23,101,LOP14N8.DAT.raw,0.003
37SN,40SN,-0.2286,217,6,-0.62,1220,MAT28.DAT.raw,0.003
47M,49M,-0.62779,300,6,-0.5,119,loop08-2.raw,0.003
91L,48M,2.8498,625,13,-2.15,219,Loop26_27.raw,0.003
28SN,27SN,2.29037,179,5,-0.66,1120,MAT16.DAT.raw,0.003
29S,15SN,-0.72682,124,3,-0.52,1220,MAT51.DAT.raw,0.003
6S,38S,5.10778,225,5,0.8,101,NAT69.DAT.raw,0.003
401,70L,-0.662,862,15,-1.46,219,Loop06-V.raw,0.003
3S,5S,-6.82232,470,9,0.59,211,NAT67.DAT.raw,0.002
58M,92L,-1.81471,437,9,-2.44,101,LOP30N4.DAT.raw,0.002
87L,81L,0.53209,540,11,-2.6,120,NAT16.DAT.raw,0.002
80L,83L,1.18928,877,18,-0.66,121,NAT04.DAT.raw,0.002
79L,78L,-0.18373,404,9,-2.42,219,Loop26_27.raw,0.001
2S,37S,-3.4563,220,5,-0.78,101,NAT63.DAT.raw,0.001
18S,59M,-2.09634,306,7,1.01,101,LOP22N8.DAT.raw,0.001
31SN,31S,0.33478,56,3,0.78,1220,MAT43.DAT.raw,0.001
20S,29S,1.15893,159,5,-0.34,219,Loop2829.raw,0.001
11S,5S,3.75954,378,7,-1.01,119,Loop25-2.raw,0.001
68L,41M,0.03858,201,5,1.27,119,Loop05-2.raw,0.001
53M,43M,-4.92362,418,9,-1.56,101,NAT40.DAT.raw,0.001
4685,68L,-0.25631,170,5,0.74,119,Loop05-2.raw,0.001
26S,13S,-2.65516,353,8,-0.35,101,LOP22N4.DAT.raw,0.001
69L,402,-0.81376,545,11,0.91,219,Loop06-V.raw,0.001
90L,89L,8.13472,510,10,-3.11,101,LOP19N3.DAT.raw,0.001
39S,90L,-1.68034,847,17,0.45,101,LOP19N5.DAT.raw,0.001
85L,86L,-1.36644,194,5,-1.52,101,NAT21.DAT.raw,0.001
68L,69L,1.7663,231,7,-0.65,219,Loop06-V.raw,0.001
95L,14S,-10.50428,865,15,2.99,101,LOP15N7.DAT.raw,0.000
49SN,59M,0.96744,304,7,1.65,1120,MAT06.DAT.raw,0.000
56M,93L,4.02971,400,9,-1.04,101,LOP15N1.DAT.raw,0.000
37S,37SN,-0.91653,33,3,-0.2,1220,MAT27.DAT.raw,0.000
86L,87L,0.44734,355,7,1.06,129,NAT20.DAT.raw,0.000
74L,75L,-1.20863,216,7,-0.26,101,NAT35.DAT.raw,0.000
55M,6S,-0.95718,335,7,-1.3,101,LOP21N3.DAT.raw,0.000
17SN,16S,-1.80288,199,7,0.37,1220,MAT25.DAT.raw,0.000
92L,96L,1.95379,381,8,-0.7,101,LOP16N1.DAT.raw,0.000
97L,98L,1.05792,733,13,0.35,101,LOP18N3.DAT.raw,0.000
55M,97L,-2.08736,439,9,0.45,101,LOP22N14.DAT.raw,0.000
77L,73L,-0.80552,389,9,-0.75,101,NAT38.DAT.raw,0.000
14S,23S,0.13678,85,3,0.03,101,LOP17N9.DAT.raw,0.000
100L,95L,9.6466,340,10,-2.45,101,LOP14N4.DAT.raw,0.000
100L,97L,3.63776,809,14,0.49,101,LOP18N5.DAT.raw,0.000
3S,2S,-3.01968,195,5,-0.29,101,NAT65.DAT.raw,0.000
40SN,40S,-0.52732,19,3,-0.15,1220,MAT29.DAT.raw,0.000
75L,76L,1.85361,291,7,0.2,101,NAT34.DAT.raw,0.000
13S,13SN,0.06533,20,3,-0.78,1120,MAT03.DAT.raw,0.000
59M,61M,1.73858,154,5,0.23,101,LOP22N10.DAT.raw,0.000
76L,80L,2.90646,278,7,0.13,101,NAT36.DAT.raw,0.000
27SN,26S,3.65149,179,7,-0.1,1220,MAT19.DAT.raw,0.000
98L,99L,-1.07732,731,12,0.36,101,LOP18N1.DAT.raw,0.000
83L,300PIK,1.22654,380,9,-0.15,123,NAT12.DAT.raw,0.000
20S,58M,-1.62491,336,8,0.34,101,LOP30N2.DAT.raw,0.000
13SN,49SN,-4.33331,320,7,-0.48,1120,MAT05.DAT.raw,0.000
33S,33SN,-0.02104,19,3,-0.13,1220,MAT46.DAT.raw,0.000
28S,12S,4.31664,373,7,-0.07,101,NAT86.DAT.raw,0.000
43M,77L,-4.41608,160,5,-0.28,101,NAT39.DAT.raw,0.000
12S,12SN,-0.26906,55,3,0.11,1220,MAT23.DAT.raw,0.000
78L,62L,10.43301,392,13,-0.32,219,Loop26_27.raw,0.000
20S,28SN,-1.28003,131,3,-0.06,1120,MAT15.DAT.raw,0.000
80L,53M,9.32937,662,13,-0.24,121,NAT06.DAT.raw,0.000
