Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File
29S,15SN,-0.72682,124,3,-0.52,1220,MAT51.DAT.raw
15SN,30S,0.06177,107,3,0.64,1220,MAT48.DAT.raw
13S,13SN,0.06533,20,3,-0.78,1120,MAT03.DAT.raw
13SN,49SN,-4.33331,320,7,-0.48,1120,MAT05.DAT.raw
49SN,59M,0.96744,304,7,1.65,1120,MAT06.DAT.raw
34S,5SN,2.86639,364,8,0.02,1220,MAT40.DAT.raw
5SN,4SN,0.8699,163,5,1.24,1220,MAT39.DAT.raw
4SN,4S,0.37572,67,3,-0.29,1220,MAT36.DAT.raw
34S,36SN,3.76263,274,7,-0.84,1220,MAT35.DAT.raw
36SN,37S,-1.01612,184,5,-0.33,1220,MAT33.DAT.raw
37S,37SN,-0.91653,33,3,-0.2,1220,MAT27.DAT.raw
37SN,40SN,-0.2286,217,6,-0.62,1220,MAT28.DAT.raw
40SN,40S,-0.52732,19,3,-0.15,1220,MAT29.DAT.raw
33S,33SN,-0.02104,19,3,-0.13,1220,MAT46.DAT.raw
33SN,31SN,-3.4691,282,7,0.08,1220,MAT47.DAT.raw
31SN,31S,0.33478,56,3,0.78,1220,MAT43.DAT.raw
12S,12SN,-0.26906,55,3,0.11,1220,MAT23.DAT.raw
12SN,17SN,4.7286,186,5,-1.31,1220,MAT24.DAT.raw
17SN,16S,-1.80288,199,7,0.37,1220,MAT25.DAT.raw
8S,19SN,2.79946,181,5,0.37,1220,MAT53.DAT.raw
19SN,9SN,-0.99661,135,3,0.34,1220,MAT54.DAT.raw
9SN,20S,9.47266,341,9,-2.09,1220,MAT55.DAT.raw
20S,28SN,-1.28003,131,3,-0.06,1120,MAT15.DAT.raw
28SN,27SN,2.29037,179,5,-0.66,1120,MAT16.DAT.raw
27SN,26S,3.65149,179,7,-0.1,1220,MAT19.DAT.raw
23S,24SN,4.34848,141,5,0.82,1120,MAT12.DAT.raw
24SN,25SN,2.53978,78,3,0.12,1120,MAT13.DAT.raw
25SN,22S,-1.76204,225,5,-0.32,1120,MAT08.DAT.raw
