point,H
972W,-387.839
1446K,796.155
2479W,-205.76
2481W,-17.977
2597W,-290.542
2U,-370.591
6U,-378.544
7U,-385.463
9U,-388.223
79U,274.102
84U,616.102
32U,56.744
39U,-202.01
27U,115.4
86U,732.283
73U,248.462
4U,-353.17
8U,-390.519
36U,-47.716
58U,-15.668
82U,236.706
1444K,806.988
502U,83.434
314U,93.473
315U,109.663
269U,69.596
219U,968.644
237U,351.475
157U,594.811
460U,51.577
461U,61.342
409U,23.431
410U,2.972
422U,224.272
423U,213.254
424U,133.457
427U,57.956
428U,47.434
429U,42.946
434U,39.456
389U,30.226
390U,19.361
611U,262.683
658U,110.276
686U,111.827
704U,-225.094
707U,303.959
713U,-177.764
720U,-252.25
721U,-181.742
728U,639.303
735U,-232.745
740U,540.002
741U,646.961
742U,448.005
800U,24.141
689A,55.255
762A,97.42
742A,174.164
768A,27.102
795A,169.307
799A,68.65
770A,28.564
2136b,221.599
2141b,209.558
2142b,200.668
2115b,242.935
2120b,289.623
2126b,308.07
2201b,204.446
30491,72.791
2157b,151.704
3169,32.319
31901,56.705
3191,76.639
3193,108.626
4169,297.435
4170,307.681
4425,64.231
4487,70.789
44551,54.559
4528,21.362
4569,37.949
4720,149.217
4758,4.899
4839,126.696
4850,64.758
4869,28.952
5094,212.349
5090,130.133
5110,212.999
6015,-233.799
6016,-200.493
6011,-217.463
5102,67.232
5104,133.103
5106,180.159
5107,201.982
302A,100.061
317A,124.129
322A,286.213
261A,6.085
274A,16.642
213A1,-200.71
40F,105.564
42F,20.548
743A,92.929
5111,104.603
4764,73.069
4706,665.092
4657,199.853
4579,748.123
4564,326.63
4568,-246.53
4510,378.368
4239,-115.508
4065,-106.524
4092,179.258
40261,116.578
3374,821.751
3376,795.922
3244,471.646
3245,562.095
3145,190.141
1077,168.253
10771,220.582
1079,-16.535
433A,453.601
320A,320.682
324A,310.465
338A,276.406
343A,488.616
344A,679.447
158,-273.073
20BY,-273.305
76BY,-233.549
79BY,-201.765
3214b,306.848
2127b,162.907
8092,250.618
6204,-95.967
2505b,342.948
2563b,631.924
2542b,725.341
33A,725.768
2117b,251.838
2215b,258.628
2224b,262.243
2181b,235.663
2245b,328.647
2251b,322.718
2240b,416.9
1913b,148.5
1918b,142.365
1920b,207.152
666A,214.955
625b,74.725
628b,72.61
631b,100.82
2084b,233.74
2087b,197.149
2024b,185.304
3555,44.395
2033b,19.823
2039b,48.396
1707b,61.696
1624b,32.936
1441b,70.265
1232b,30.351
1238b,68.202
1208b,34.2
1132b,29.145
1133b,30.86
1140b,52.292
1124b,33.102
1121b,36.178
1123b,35.873
1096b,32.098
1012b,37.463
1014b,35.202
1017b,37.723
1003b,36.023
969b,64.075
953b,78.289
956b,50.828
928b,45.814
915b,36.862
415A,10.496
134TA,8.521
1988b,50.04
1995b,45.958
1959b,29.871
1969b,44.07
1974b,47.467
1954b,31.692
1530b,73.613
1531b,68.681
1535b,54.108
1536b,60.715
32F,61.706
42051,-369.996
4206,-356.408
42062,-385.832
4208,-376.066
4210,-341.166
42101,-336.3
2622b,746.007
2626b,752.613
3787,-376.111
3788,-362.11
3790,-386.002
3791,-370.743
42031,-371.304
4205,-381.335
64A,-387.812
606A1,-378.665
607A1,-380.571
608A,-359.853
609A,-359.796
6170,19.249
7115b,390.765
7127b,425.914
3661b,-390.047
3662b,-386.565
6154,-391.136
6155,-363.289
6158,-388.283
6159,-380.397
3652b,-387.791
3653b,-378.816
3654b,-376.945
7319b,27.905
7320b,16.694
7326b,15.863
71A,-272.277
7420b,71.615
6281,48.347
1089b,41.205
1101b,64.777
1173b,28.094
3208MPI,21.809
5095,242.3
DRTA,-210.228
822U,133.199
874U,412.058
901U,-253.188
910U,17.217
911U,15.361
912U,6.969
6005MPI,596.503
3387MPI,1.681
1198TA,11.014
371A,18.561
1529AFS,-210.047
6029MPI,258.346
3658MPI,732.867
3720MPI,8.97
323TA,24.955
3971MPI,57.369
3974MPI,79.819
3980MPI,69.282
3992MPI,-134.464
4009MPI,-121.105
4011MPI,-119.654
3183b,228.566
4113MPI,49.354
4114MPI,62.625
50BYM,18.552
4190MPI,14.295
4193MPI,30.424
4194MPI,52.274
4325MPI,15.079
4215MPI,55.779
31KFS,42.191
5498MPI,21.659
4399MPI,24.293
5677MPI,43.15
