from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
4626MPI,322A,2.34337,1449,86,1.92
82U,2144b,-33.28308,670,44,1.76
2201b,2144b,-1.02347,677,21,-0.89
4626MPI,422U,-59.59529,1044,53,1.82
4619MPI,320A,105.09556,1933,93,-1.82
4619MPI,2084b,18.04532,533,22,0.1
4619MPI,2087b,-18.55386,1096,38,1.97
3810,2136b,11.66522,747,25,1.5
3810,2141b,-0.3778,196,8,-0.07
3810,2142b,-9.29526,650,22,0.26
4056MPI,317A,-33.47337,2019,56,2.33
4056MPI,2024b,27.67506,370,30,0.46
4057MPI,625b,12.54431,1193,26,-1.96
1039U,628b,-19.11037,1025,35,-0.04
1039U,631b,9.1132,1203,39,-1.32
4058MPI,631b,14.59912,1375,30,0.36
4620MPI,3395MPI,-3.4127,843,17,-0.15
4620MPI,4057MPI,2.72547,1098,21,1.48
4621MPI,4058MPI,-35.2062,2152,49,1.54
4621MPI,424U,12.00564,757,25,1.2
3395MPI,4425,8.14926,741,17,1.62
4620MPI,4425,4.73667,258,8,-2.47
4624MPI,423U,-10.4765,1308,37,-2.12
4625MPI,666A,19.68322,1250,30,0.5
4623MPI,1913b,-0.22801,760,21,-0.1
4622MPI,1918b,1.88565,78,4,0.28
4623MPI,1918b,-6.37007,484,16,-0.03
4624MPI,1920b,-16.58894,1149,43,1.26
4625MPI,1920b,11.88279,467,13,-0.44
4622MPI,424U,-7.05807,1756,60,2.4
4623MPI,4622MPI,-8.25505,497,15,0.74
4615MPI,83U,-11.67498,1283,65,1.53
4616MPI,2115b,-11.56182,665,18,-2.38
4616MPI,2117b,-2.65374,43,4,-0.22
4616MPI,2120b,35.13062,1150,40,0.67
4615MPI,2126b,4.29949,905,39,0.47
4615MPI,2505b,39.25566,671,32,0.5
83U,4169,5.38316,166,10,-0.23
4615MPI,4170,3.93566,919,31,-0.9
4601MPI,33A,22.54953,468,18,-0.22
4602MPI,84U,-42.2648,1308,43,-0.96
1267ELY,2542b,56.26876,1144,35,-0.91
1267ELY,2563b,-37.11866,1802,58,-0.26
4602MPI,4601MPI,44.83818,1463,43,0.09
4602MPI,4706,6.724,217,10,-0.04
3658MPI,34DK,53.74475,957,51,1.88
34DK,3376,9.29096,1356,51,2.49
4304MPI,343A,12.13261,947,27,-1.14
6032MPI,343A,-35.28308,2117,71,0.37
2311W,344A,59.62424,782,51,1.12
6005MPI,2311W,23.29882,305,20,0
8256GBE,2311W,-55.88233,1081,60,1.73
4304MPI,3244,-4.84647,417,16,0.95
6032MPI,3245,38.18634,812,42,-0.3
8256GBE,3374,145.99364,1972,117,0.34
4305MPI,3655MPI,34.89719,1182,51,2.14
