from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
786A,786AB,-0.64667,8,1,0
78bn,299A,6.30429,1418,20,0
3046,4475,-8.72463,2067,35,1
62F,44881,0.48621,981,14,0
315A,7098b,1.59221,705,13,-0.68
78bn,3169,4.63653,645,10,0
3641b,3642b,-24.17079,1125,33,-0.18
7349b,2653b,-12.9688,900,14,1.04
1239K,1238K,-6.38479,2714,69,-1.15
4848,4983,-0.56123,270,6,-0.4
6131,6132,-8.92251,2014,37,-2.38
4475,4850,-0.04351,801,15,1.3
776A,1239K,5.1089,207,12,0.78
25FE,4860,10.39524,1603,30,-1.26
4847,4983,4.61099,1304,20,0.9
7098b,749b,4.14819,1284,22,0
7098b,749b,4.13461,1286,22,0
3641b,3418,74.40826,966,59,1.72
7335b,7334b,8.06411,1226,30,-0.47
758A,4837,-7.16273,161,6,0.6
7336b,7335b,3.89673,1431,37,0.56
7347b,2655b,27.70011,1265,24,4.41
6130,6131,-2.79038,2033,52,0.22
2655b,7349b,3.63768,493,9,-0.22
7098b,4225,1.95385,1459,24,-1.73
7333b,402U,-18.78508,1882,31,-2.04
7334b,403U,1.30427,883,16,0.83
7346b,7336b,3.3693,1245,34,0
798A,4166,0.50956,134,4,-0.34
7347b,402U,-13.86879,982,18,-1.59
44881,4488,0.0556,1157,16,0
7346b,7332b,1.27043,1539,32,1.92
A2,5046,-62.50708,1139,29,-0.4
A2,5047,-0.38243,482,10,0
7333b,403U,31.99497,2068,36,2.14
b1,4313,-3.71936,1404,21,4
b1,5047,12.04049,376,8,-0.5
