num,Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
1,40F,2105bX,3.23641,948,16,0.77,1088,2048,1998-r1
2,40F,4168X,8.16522,1573,31,-0.36,1088,2047,1998-r1
3,310A,8031,31.80484,1983,33,0.8,1188,2048,1998-r1
4,310A1,310A,13.99342,654,13,0.55,1188,2048,1998-r1
5,310A1,2160b,15.463,456,13,-0.09,1188,2048,1998-r1
6,411U,8031,24.7241,1871,38,1.8,1188,2048,1998-r1
7,411U,32061,5.00833,1695,29,-1,1188,2048,1998-r1
8,327A,795A,5.57157,548,14,-1.37,1088,2047,1998-r1
9,327A,4683,8.80888,1847,32,0.2,1088,2047,1998-r1
10,327A1,795A,2.61749,373,6,-0.66,1088,2046,1998-r1
11,327A1,2938W,33.20146,1328,28,-0.43,1088,2046,1998-r1
12,401U,806_1,0.3942,186,3,0.4,1188,2048,1998-r1
13,401U,4131,2.00038,1980,28,1.5,1288,2050,1998-r1
14,806_1,32061,33.12678,2205,31,-1.62,1188,2048,1998-r1
15,809b,2104bX,5.07051,1201,19,0.29,1088,2048,1998-r1
16,809b,2160b,9.05036,2356,38,-1.65,1188,2048,1998-r1
17,2104bX,42241X,8.53802,1249,19,2.33,1088,2048,1998-r1
18,2105bX,42241X,3.24304,539,10,-2.31,1088,2048,1998-r1
19,4168X,4684,14.23048,2115,34,-2.2,1088,2047,1998-r1
20,46821,2938W,35.92268,1357,37,0.49,1088,2046,1998-r1
21,4683,4684,26.9656,1914,30,0.38,1088,2047,1998-r1
22,39F,2136b,29.20858,1444,25,1.95,888,2042,1998-r1
23,39F,421U,1.36527,52,2,-0.04,888,2042,1998-r1
24,64F,4169,2.40156,160,8,-0.34,788,2041,1998-r1
25,64F,4170,7.88026,1637,39,-1.31,788,2041,1998-r1
26,322A,791A,1.78103,31,2,-0.05,888,2043,1998-r1
27,322A,954,41.81666,850,31,2.36,888,2043,1998-r1
28,79U,8281,13.62292,1237,19,-0.05,988,2045,1998-r1
29,79U,3232,53.43538,2139,37,0.11,988,2044,1998-r1
30,326A,46821,24.21376,1766,34,-1.69,1088,2046,1998-r1
31,326A1,326A,0.93315,1221,28,1.61,1088,2045,1998-r1
32,326A1,828,11.32262,1332,29,-1.07,988,2045,1998-r1
33,728A,3231,33.37927,1849,33,3.16,988,2044,1998-r1
34,728A,3232,21.33002,2215,45,-0.4,988,2044,1998-r1
35,791A,4165,34.44188,1422,28,1.47,888,2043,1998-r1
36,82U,2144b,33.1631,560,22,0,888,2043,1998-r1
37,82U,2161b,24.12403,530,16,3.1,888,2042,1998-r1
38,828,8281,11.8035,1740,30,1.32,988,2045,1998-r1
39,954,4167,60.95005,983,36,0.62,888,2043,1998-r1
40,958,2136b,13.17948,923,14,2.36,888,2042,1998-r1
41,958,2141b,1.13802,51,2,-0.55,888,2042,1998-r1
42,2115b,2116b,11.22608,644,9,1.07,888,2042,1998-r1
43,2115b,421U,6.50788,330,7,0.04,888,2042,1998-r1
44,2116b,2120b,35.46271,1133,21,0.26,888,2042,1998-r1
45,2120b,3250,15.72818,373,11,-0.91,888,2042,1998-r1
46,2122b,2126b,0.61416,652,13,0.15,788,2041,1998-r1
47,2122b,3250,3.33302,1012,33,1.71,788,2041,1998-r1
48,2126b,4170,0.43506,147,4,-0.14,788,2041,1998-r1
49,2141b,2142b,8.91966,577,10,0.47,888,2042,1998-r1
50,2142b,2143b,11.18336,728,12,1.05,888,2042,1998-r1
51,2143b,2161b,0.76035,512,8,-1.31,888,2042,1998-r1
52,2144b,2201b,0.91022,689,12,1.59,888,2043,1998-r1
53,2201b,2202b,12.45408,387,8,0.51,888,2043,1998-r1
54,2202b,4164,6.59143,342,6,0.49,888,2043,1998-r1
55,3231,4681,9.25261,1094,14,1.76,888,2044,1998-r1
56,4164,4165,26.48988,1382,23,-0.32,888,2043,1998-r1
57,4166,4681,1.27441,1780,34,-2.55,888,2044,1998-r1
58,4166,422U,40.576,1953,41,-0.3,888,2044,1998-r1
59,4167,422U,42.80784,861,25,-1.29,888,2044,1998-r1
60,4169,4334,43.73884,2216,36,1.89,788,2041,1998-r1
61,4331,4334,30.17546,3217,50,1.67,788,2041,1998-r1
62,276A,4953,19.13574,1026,18,-0.5,189,2057,1998-r1
63,308A,731b,10.135,1469,28,-1.6,1290,2056,1998-r1
64,308A,4425,9.13552,865,16,-1.71,1189,2055,1998-r1
65,317A,1942b,4.39216,258,7,-1.41,1089,2054,1998-r1
66,317A,1948b,19.95417,1797,32,0.9,1089,2054,1998-r1
67,318A1,838b,8.67361,258,7,-0.72,1189,2055,1998-r1
68,318A1,4919,2.60116,640,10,1.6,1189,2055,1998-r1
69,508b,509b,13.09652,667,12,-0.27,1289,2056,1998-r1
70,508b,726b,8.30559,2156,33,-1.43,1289,2056,1998-r1
71,509b,510b,3.95441,486,9,-0.7,1289,2056,1998-r1
72,510b,535b,13.56098,982,17,0.34,190,2056,1998-r1
73,535b,4951,10.8812,1889,33,4.48,1289,2056,1998-r1
