For M5|Adr     1|TO  11JB-29TM.dat              |                      |                      |                      
For M5|Adr     2|TO  060818 FADI                |                      |                      |                      
For M5|Adr     3|TO 743261 58086 58086 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF     2|                      |                      |                      
For M5|Adr   116|KD1     11JB      14:00:10    2|                      |                      |Z        77.36480 m   
For M5|Adr   117|KD1     11JB      14:31:553   2|Rb        1.38026 m   |HD         19.526 m   |                      
For M5|Adr   118|KD1       1B      14:32:573   2|Rf        1.51826 m   |HD         17.980 m   |                      
For M5|Adr   119|KD1       1B      14:32:57    2|                      |                      |Z        77.22680 m   
For M5|Adr   120|KD1       1B      14:35:013   2|Rb        1.36396 m   |HD         18.750 m   |                      
For M5|Adr   121|KD1       2B      14:35:543   2|Rf        1.48512 m   |HD         17.883 m   |                      
For M5|Adr   122|KD1       2B      14:35:54    2|                      |                      |Z        77.10564 m   
For M5|Adr   123|KD1       2B      14:37:093   2|Rb        1.33327 m   |HD         18.712 m   |                      
For M5|Adr   124|KD1       3B      14:38:263   2|Rf        1.49363 m   |HD         19.283 m   |                      
For M5|Adr   125|KD1       3B      14:38:26    2|                      |                      |Z        76.94528 m   
For M5|Adr   126|KD1       3B      14:39:323   2|Rb        1.35179 m   |HD         19.466 m   |                      
For M5|Adr   127|KD1       4B      14:40:433   2|Rf        1.52191 m   |HD         18.992 m   |                      
For M5|Adr   128|KD1       4B      14:40:43    2|                      |                      |Z        76.77516 m   
For M5|Adr   129|KD1       4B      14:42:213   2|Rb        1.34147 m   |HD         19.176 m   |                      
For M5|Adr   130|KD1       5B      14:43:263   2|Rf        1.50102 m   |HD         18.485 m   |                      
For M5|Adr   131|KD1       5B      14:43:26    2|                      |                      |Z        76.61561 m   
For M5|Adr   132|KD1       5B      14:45:483   2|Rb        1.36682 m   |HD         23.393 m   |                      
For M5|Adr   133|KD1       6B      14:47:093   2|Rf        1.52667 m   |HD         18.063 m   |                      
For M5|Adr   134|KD1       6B      14:47:09    2|                      |                      |Z        76.45576 m   
For M5|Adr   135|KD1       6B      14:48:383   2|Rb        1.37890 m   |HD         19.280 m   |                      
For M5|Adr   136|KD1       7B      14:49:433   2|Rf        1.52174 m   |HD         19.755 m   |                      
For M5|Adr   137|KD1       7B      14:49:43    2|                      |                      |Z        76.31292 m   
