For M5|Adr     1|TO  12TM-11J.dat               |                      |                      |                      
For M5|Adr     2|TO  060818 FADI                |                      |                      |                      
For M5|Adr     3|TO  743261 58086 58086 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF     2|                      |                      |                      
For M5|Adr    35|KD1     12TM                  2|                      |                      |Z        81.93500 m   
For M5|Adr    36|KD1     12TM      13:00:223   2|Rb        1.46443 m   |HD         17.096 m   |                      
For M5|Adr    37|KD1       1A      13:01:193   2|Rf        1.51961 m   |HD         18.701 m   |                      
For M5|Adr    38|KD1       1A      13:01:19    2|                      |                      |Z        81.87982 m   
For M5|Adr    39|KD1       1A      13:02:273   2|Rb        1.36700 m   |HD         16.168 m   |                      
For M5|Adr    40|KD1       2A      13:03:113   2|Rf        1.48249 m   |HD         15.606 m   |                      
For M5|Adr    41|KD1       2A      13:03:11    2|                      |                      |Z        81.76433 m   
For M5|Adr    42|KD1       2A      13:04:133   2|Rb        1.36283 m   |HD         16.557 m   |                      
For M5|Adr    43|KD1       3A      13:05:103   2|Rf        1.48207 m   |HD         16.797 m   |                      
For M5|Adr    44|KD1       3A      13:05:10    2|                      |                      |Z        81.64509 m   
For M5|Adr    45|KD1       3A      13:06:123   2|Rb        1.35676 m   |HD         15.514 m   |                      
For M5|Adr    46|KD1       4A      13:06:573   2|Rf        1.48344 m   |HD         15.416 m   |                      
For M5|Adr    47|KD1       4A      13:06:57    2|                      |                      |Z        81.51841 m   
For M5|Adr    48|KD1       4A      13:08:003   2|Rb        1.31939 m   |HD         17.004 m   |                      
For M5|Adr    49|KD1       5A      13:09:313   2|Rf        1.47961 m   |HD         17.497 m   |                      
For M5|Adr    50|KD1       5A      13:09:31    2|                      |                      |Z        81.35819 m   
For M5|Adr    51|KD1       5A      13:10:423   2|Rb        1.38981 m   |HD         15.936 m   |                      
For M5|Adr    52|KD1       6A      13:11:573   2|Rf        1.52640 m   |HD         19.680 m   |                      
For M5|Adr    53|KD1       6A      13:11:57    2|                      |                      |Z        81.22160 m   
For M5|Adr    54|KD1       6A      13:13:313   2|Rb        1.33126 m   |HD         20.002 m   |                      
For M5|Adr    55|KD1       7A      13:14:443   2|Rf        1.50983 m   |HD         17.560 m   |                      
For M5|Adr    56|KD1       7A      13:14:44    2|                      |                      |Z        81.04303 m   
