For M5|Adr     1|TO  11J-12TM.dat               |                      |                      |                      
For M5|Adr     2|TO  060818 FADI                |                      |                      |                      
For M5|Adr     3|TO 743261 58086 58086 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF     3|                      |                      |                      
For M5|Adr   392|KD1      11J      11:15:30    3|                      |                      |Z        77.42805 m   
For M5|Adr   393|KD1      11J      11:52:553   3|Rb        1.48974 m   |HD         21.138 m   |                      
For M5|Adr   394|KD1     50WW      11:54:063   3|Rf        1.24645 m   |HD         19.603 m   |                      
For M5|Adr   395|KD1     50WW      11:54:06    3|                      |                      |Z        77.67134 m   
For M5|Adr   396|KD1     50WW      11:55:223   3|Rb        1.41207 m   |HD         18.879 m   |                      
For M5|Adr   397|KD1     51WW      11:56:183   3|Rf        1.20544 m   |HD         20.175 m   |                      
For M5|Adr   398|KD1     51WW      11:56:18    3|                      |                      |Z        77.87797 m   
For M5|Adr   399|KD1     51WW      11:57:143   3|Rb        1.45568 m   |HD         18.619 m   |                      
For M5|Adr   400|KD1     52WW      11:58:053   3|Rf        1.22187 m   |HD         19.839 m   |                      
For M5|Adr   401|KD1     52WW      11:58:05    3|                      |                      |Z        78.11178 m   
For M5|Adr   402|KD1     52WW      11:59:033   3|Rb        1.44113 m   |HD         17.193 m   |                      
For M5|Adr   403|KD1     53WW      12:00:253   3|Rf        1.20619 m   |HD         21.101 m   |                      
For M5|Adr   404|KD1     53WW      12:00:25    3|                      |                      |Z        78.34672 m   
For M5|Adr   405|KD1     53WW      12:01:453   3|Rb        1.42667 m   |HD         18.780 m   |                      
For M5|Adr   406|KD1     54WW      12:02:533   3|Rf        1.17338 m   |HD         21.079 m   |                      
For M5|Adr   407|KD1     54WW      12:02:53    3|                      |                      |Z        78.60001 m   
For M5|Adr   408|KD1     54WW      12:03:553   3|Rb        1.43417 m   |HD         17.960 m   |                      
For M5|Adr   409|KD1     55WW      12:04:463   3|Rf        1.20046 m   |HD         20.074 m   |                      
For M5|Adr   410|KD1     55WW      12:04:46    3|                      |                      |Z        78.83372 m   
For M5|Adr   411|KD1     55WW      12:06:263   3|Rb        1.46255 m   |HD         19.351 m   |                      
