For M5|Adr     1|TO  15JB-14J.dat               |                      |                      |                      
For M5|Adr     2|TO  160119 MARWAN              |                      |                      |                      
For M5|Adr     3|TO  745100 70303 70303 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF    2L|                      |                      |                      
For M5|Adr   285|KD1     15JB      14:17:33   2L|                      |                      |Z        16.03214 m   
For M5|Adr   286|KD1     15JB      14:19:033  2L|Rb        1.46706 m   |HD         19.741 m   |                      
For M5|Adr   287|KD1      1XM      14:22:573  2L|Rf        1.69263 m   |HD         17.145 m   |                      
For M5|Adr   288|KD1      1XM      14:22:57   2L|                      |                      |Z        15.80657 m   
For M5|Adr   289|KD1      1XM      14:24:053  2L|Rb        1.39386 m   |HD         17.735 m   |                      
For M5|Adr   290|KD1      2XM      14:25:113  2L|Rf        1.69124 m   |HD         18.106 m   |                      
For M5|Adr   291|KD1      2XM      14:25:11   2L|                      |                      |Z        15.50919 m   
For M5|Adr   292|KD1      2XM      14:26:403  2L|Rb        1.39977 m   |HD         16.546 m   |                      
For M5|Adr   293|KD1      3XM      14:27:223  2L|Rf        1.66215 m   |HD         15.394 m   |                      
For M5|Adr   294|KD1      3XM      14:27:22   2L|                      |                      |Z        15.24681 m   
For M5|Adr   295|KD1      3XM      14:28:313  2L|Rb        1.36947 m   |HD         18.630 m   |                      
For M5|Adr   296|KD1      4XM      14:29:453  2L|Rf        1.73457 m   |HD         18.938 m   |                      
For M5|Adr   297|KD1      4XM      14:29:45   2L|                      |                      |Z        14.88171 m   
For M5|Adr   298|KD1      4XM      14:31:213  2L|Rb        1.34975 m   |HD         16.655 m   |                      
For M5|Adr   299|KD1      5XM      14:32:543  2L|Rf        1.78447 m   |HD         18.308 m   |                      
For M5|Adr   300|KD1      5XM      14:32:54   2L|                      |                      |Z        14.44699 m   
For M5|Adr   301|KD1      5XM      14:33:593  2L|Rb        1.24317 m   |HD         18.617 m   |                      
For M5|Adr   302|KD1      6XM      14:35:023  2L|Rf        1.80664 m   |HD         19.694 m   |                      
For M5|Adr   303|KD1      6XM      14:35:02   2L|                      |                      |Z        13.88352 m   
For M5|Adr   304|KD1      6XM      14:36:013  2L|Rb        1.23582 m   |HD         18.498 m   |                      
For M5|Adr   305|KD1      7XM      14:36:503  2L|Rf        1.82888 m   |HD         18.774 m   |                      
For M5|Adr   306|KD1      7XM      14:36:50   2L|                      |                      |Z        13.29046 m   
For M5|Adr   307|KD1      7XM      14:38:343  2L|Rb        1.23497 m   |HD         18.336 m   |                      
For M5|Adr   308|KD1      8XM      14:39:263  2L|Rf        1.86112 m   |HD         21.017 m   |                      
For M5|Adr   309|KD1      8XM      14:39:26   2L|                      |                      |Z        12.66431 m   
For M5|Adr   310|KD1      8XM      14:40:373  2L|Rb        1.21489 m   |HD         20.355 m   |                      
For M5|Adr   311|KD1      9XM      14:41:333  2L|Rf        1.80735 m   |HD         16.465 m   |                      
For M5|Adr   312|KD1      9XM      14:41:33   2L|                      |                      |Z        12.07185 m   
For M5|Adr   313|KD1      9XM      14:42:373  2L|Rb        1.23016 m   |HD         18.176 m   |                      
For M5|Adr   314|KD1     10XM      14:43:443  2L|Rf        1.80359 m   |HD         17.515 m   |                      
For M5|Adr   315|KD1     10XM      14:43:44   2L|                      |                      |Z        11.49842 m   
For M5|Adr   316|KD1     10XM      14:45:343  2L|Rb        1.24432 m   |HD         18.203 m   |                      
For M5|Adr   317|KD1     11XM      14:46:283  2L|Rf        1.82464 m   |HD         17.245 m   |                      
For M5|Adr   318|KD1     11XM      14:46:28   2L|                      |                      |Z        10.91810 m   
For M5|Adr   319|KD1     11XM      14:48:193  2L|Rb        1.20648 m   |HD         15.353 m   |                      
For M5|Adr   320|KD1     12XM      14:49:033  2L|Rf        1.68251 m   |HD         13.404 m   |                      
For M5|Adr   321|KD1     12XM      14:49:03   2L|                      |                      |Z        10.44207 m   
For M5|Adr   322|KD1     12XM      14:49:593  2L|Rb        1.24547 m   |HD         15.077 m   |                      
For M5|Adr   323|KD1     13XM      14:51:023  2L|Rf        1.71917 m   |HD         14.337 m   |                      
For M5|Adr   324|KD1     13XM      14:51:02   2L|                      |                      |Z         9.96837 m   
For M5|Adr   325|KD1     13XM      14:52:043  2L|Rb        1.29402 m   |HD         15.227 m   |                      
For M5|Adr   326|KD1     14XM      14:52:523  2L|Rf        1.80998 m   |HD         16.931 m   |                      
For M5|Adr   327|KD1     14XM      14:52:52   2L|                      |                      |Z         9.45241 m   
For M5|Adr   328|KD1     14XM      14:53:483  2L|Rb        1.20694 m   |HD         20.851 m   |                      
For M5|Adr   329|KD1     15XM      14:54:383  2L|Rf        1.84731 m   |HD         19.807 m   |                      
