For M5|Adr     1|TO  20TM-21TM.dat              |                      |                      |                      
For M5|Adr     2|TO  220818 FADI                |                      |                      |                      
For M5|Adr     3|TO 743261 58086 58086 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF     2|                      |                      |                      
For M5|Adr   238|KD1     20TM      06:15:40    2|                      |                      |Z        52.57500 m   
For M5|Adr   239|KD1     20TM      06:16:493   2|Rb        1.35356 m   |HD         18.207 m   |                      
For M5|Adr   240|KD1      15E      06:18:293   2|Rf        1.22544 m   |HD         18.845 m   |                      
For M5|Adr   241|KD1      15E      06:18:29    2|                      |                      |Z        52.70312 m   
For M5|Adr   242|KD1      15E      06:19:283   2|Rb        1.43504 m   |HD         17.859 m   |                      
For M5|Adr   243|KD1      16E      06:20:413   2|Rf        1.20910 m   |HD         19.485 m   |                      
For M5|Adr   244|KD1      16E      06:20:41    2|                      |                      |Z        52.92906 m   
For M5|Adr   245|KD1      16E      06:21:403   2|Rb        1.38955 m   |HD         18.513 m   |                      
For M5|Adr   246|KD1      17E      06:23:283   2|Rf        1.23239 m   |HD         18.321 m   |                      
For M5|Adr   247|KD1      17E      06:23:28    2|                      |                      |Z        53.08622 m   
For M5|Adr   248|KD1      17E      06:24:383   2|Rb        1.42291 m   |HD         18.014 m   |                      
For M5|Adr   249|KD1      18E      06:25:263   2|Rf        1.25413 m   |HD         19.879 m   |                      
For M5|Adr   250|KD1      18E      06:25:26    2|                      |                      |Z        53.25500 m   
For M5|Adr   251|KD1      18E      06:26:503   2|Rb        1.43542 m   |HD         17.530 m   |                      
For M5|Adr   252|KD1      19E      06:28:043   2|Rf        1.23249 m   |HD         19.488 m   |                      
For M5|Adr   253|KD1      19E      06:28:04    2|                      |                      |Z        53.45793 m   
For M5|Adr   254|KD1      19E      06:29:163   2|Rb        1.45998 m   |HD         17.551 m   |                      
For M5|Adr   255|KD1      20E      06:30:053   2|Rf        1.27747 m   |HD         19.512 m   |                      
For M5|Adr   256|KD1      20E      06:30:05    2|                      |                      |Z        53.64044 m   
For M5|Adr   257|KD1      20E      06:31:053   2|Rb        1.42151 m   |HD         17.947 m   |                      
For M5|Adr   258|KD1      21E      06:32:043   2|Rf        1.24413 m   |HD         20.081 m   |                      
For M5|Adr   259|KD1      21E      06:32:04    2|                      |                      |Z        53.81782 m   
For M5|Adr   260|KD1      21E      06:33:413   2|Rb        1.45776 m   |HD         18.622 m   |                      
For M5|Adr   261|KD1      22E      06:35:053   2|Rf        1.27715 m   |HD         19.422 m   |                      
For M5|Adr   262|KD1      22E      06:35:05    2|                      |                      |Z        53.99843 m   
For M5|Adr   263|KD1      22E      06:36:103   2|Rb        1.44886 m   |HD         18.276 m   |                      
For M5|Adr   264|KD1      23E      06:37:163   2|Rf        1.24889 m   |HD         18.924 m   |                      
For M5|Adr   265|KD1      23E      06:37:16    2|                      |                      |Z        54.19840 m   
For M5|Adr   266|KD1      23E      06:38:293   2|Rb        1.45483 m   |HD         17.808 m   |                      
For M5|Adr   267|KD1      24E      06:39:243   2|Rf        1.23680 m   |HD         19.063 m   |                      
For M5|Adr   268|KD1      24E      06:39:24    2|                      |                      |Z        54.41643 m   
For M5|Adr   269|KD1      24E      06:40:453   2|Rb        1.43518 m   |HD          8.581 m   |                      
For M5|Adr   270|KD1     21TM      06:41:463   2|Rf        1.25862 m   |HD          8.763 m   |                      
For M5|Adr   271|KD1     21TM      06:41:46    2|                      |                      |Z        54.59299 m   
For M5|Adr   272|KD1     21TM                  2|Sh          2.018 m   |                      |                      
For M5|Adr   273|KD2     21TM       11         2|Db         188.91 m   |Df         201.78 m   |Z        54.59299 m   
