For M5|Adr     1|TO  1J-28TM.dat                |                      |                      |                      
For M5|Adr     2|TO  170718 FADI                |                      |                      |                      
For M5|Adr     3|TO  743261 58086 58086 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF   3LB|                      |                      |                      
For M5|Adr   312|KD1       1J      15:14:18  3LB|                      |                      |Z        98.87045 m   
For M5|Adr   317|KD1       1J      08:54:173 3LB|Rb        1.55567 m   |HD         16.999 m   |                      
For M5|Adr   318|KD1      1FJ      08:55:323 3LB|Rf        1.36408 m   |HD         18.129 m   |                      
For M5|Adr   319|KD1      1FJ      08:55:32  3LB|                      |                      |Z        99.06204 m   
For M5|Adr   320|KD1      1FJ      08:57:143 3LB|Rb        1.52482 m   |HD         17.927 m   |                      
For M5|Adr   321|KD1      2FJ      08:58:123 3LB|Rf        1.35213 m   |HD         18.850 m   |                      
For M5|Adr   322|KD1      2FJ      08:58:12  3LB|                      |                      |Z        99.23473 m   
For M5|Adr   323|KD1      2FJ      08:59:583 3LB|Rb        1.50262 m   |HD         17.624 m   |                      
For M5|Adr   324|KD1      3FJ      09:00:503 3LB|Rf        1.36864 m   |HD         17.732 m   |                      
For M5|Adr   325|KD1      3FJ      09:00:50  3LB|                      |                      |Z        99.36871 m   
For M5|Adr   326|KD1      3FJ      09:02:293 3LB|Rb        1.53610 m   |HD         17.324 m   |                      
For M5|Adr   327|KD1      4FJ      09:03:323 3LB|Rf        1.38925 m   |HD         17.898 m   |                      
For M5|Adr   328|KD1      4FJ      09:03:32  3LB|                      |                      |Z        99.51556 m   
For M5|Adr   329|KD1      4FJ      09:05:063 3LB|Rb        1.51676 m   |HD         17.809 m   |                      
For M5|Adr   330|KD1      5FJ      09:06:083 3LB|Rf        1.37490 m   |HD         17.631 m   |                      
For M5|Adr   331|KD1      5FJ      09:06:08  3LB|                      |                      |Z        99.65742 m   
For M5|Adr   332|KD1      5FJ      09:07:363 3LB|Rb        1.52353 m   |HD         18.400 m   |                      
For M5|Adr   333|KD1      6FJ      09:09:553 3LB|Rf        1.38573 m   |HD         19.188 m   |                      
For M5|Adr   334|KD1      6FJ      09:09:55  3LB|                      |                      |Z        99.79522 m   
For M5|Adr   335|KD1      6FJ      09:11:433 3LB|Rb        1.58586 m   |HD         17.867 m   |                      
For M5|Adr   336|KD1      7FJ      09:12:493 3LB|Rf        1.43174 m   |HD         19.210 m   |                      
For M5|Adr   337|KD1      7FJ      09:12:49  3LB|                      |                      |Z        99.94934 m   
For M5|Adr   338|KD1      7FJ      09:14:173 3LB|Rb        1.55332 m   |HD         17.292 m   |                      
For M5|Adr   339|KD1      8FJ      09:15:193 3LB|Rf        1.43581 m   |HD         18.363 m   |                      
For M5|Adr   340|KD1      8FJ      09:15:19  3LB|                      |                      |Z       100.06685 m   
For M5|Adr   341|KD1      8FJ      09:16:513 3LB|Rb        1.47612 m   |HD         17.148 m   |                      
For M5|Adr   342|KD1      9FJ      09:18:023 3LB|Rf        1.42136 m   |HD         17.099 m   |                      
For M5|Adr   343|KD1      9FJ      09:18:02  3LB|                      |                      |Z       100.12161 m   
For M5|Adr   344|KD1      9FJ      09:19:473 3LB|Rb        1.49580 m   |HD         18.919 m   |                      
For M5|Adr   345|KD1     10FJ      09:21:053 3LB|Rf        1.38544 m   |HD         16.512 m   |                      
