For M5|Adr     1|TO  1J2-28TM2.dat              |                      |                      |                      
For M5|Adr     2|TO  170718 FADI                |                      |                      |                      
For M5|Adr     3|TO  743261 58086 58086 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF   3LB|                      |                      |                      
For M5|Adr    77|KD1      1J       03:34:43  3LB|                      |                      |Z        98.86511 m   
For M5|Adr    78|KD1      1J       03:36:473 3LB|Rb        1.45608 m   |HD         11.220 m   |                      
For M5|Adr    82|KD1      20A      03:38:253 3LB|Rf        1.27910 m   |HD         21.306 m   |                      
For M5|Adr    83|KD1      20A      03:38:25  3LB|                      |                      |Z        99.04209 m   
For M5|Adr    84|KD1      20A      03:40:063 3LB|Rb        1.43513 m   |HD         22.265 m   |                      
For M5|Adr    85|KD1      21A      03:40:553 3LB|Rf        1.25014 m   |HD         20.495 m   |                      
For M5|Adr    86|KD1      21A      03:40:55  3LB|                      |                      |Z        99.22708 m   
For M5|Adr    87|KD1      21A      03:42:183 3LB|Rb        1.42126 m   |HD         20.162 m   |                      
For M5|Adr    88|KD1      22A      03:43:213 3LB|Rf        1.26694 m   |HD         20.584 m   |                      
For M5|Adr    89|KD1      22A      03:43:21  3LB|                      |                      |Z        99.38140 m   
For M5|Adr    90|KD1      22A      03:44:333 3LB|Rb        1.43573 m   |HD         18.759 m   |                      
For M5|Adr    91|KD1      23A      03:45:183 3LB|Rf        1.27232 m   |HD         20.452 m   |                      
For M5|Adr    92|KD1      23A      03:45:18  3LB|                      |                      |Z        99.54481 m   
For M5|Adr    93|KD1      23A      03:46:183 3LB|Rb        1.42125 m   |HD         20.288 m   |                      
For M5|Adr    94|KD1      24A      03:47:183 3LB|Rf        1.26062 m   |HD         20.439 m   |                      
For M5|Adr    95|KD1      24A      03:47:18  3LB|                      |                      |Z        99.70544 m   
For M5|Adr    96|KD1      24A      03:48:383 3LB|Rb        1.42404 m   |HD         19.615 m   |                      
