For M5|Adr     1|TO  4TM-3J.dat                 |                      |                      |                      
For M5|Adr     2|TO  170718 JERIES              |                      |                      |                      
For M5|Adr     3|TO  749230 69031 69031 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF    1L|                      |                      |                      
For M5|Adr   138|KD1      4TM      12:53:21   1L|                      |                      |Z        87.17333 m   
For M5|Adr   139|KD1      4TM      12:55:483  1L|Rb        1.90740 m   |HD         13.534 m   |                      
For M5|Adr   140|KD1     1FFF      12:57:263  1L|Rf        0.93054 m   |HD         16.071 m   |                      
For M5|Adr   141|KD1     1FFF      12:57:26   1L|                      |                      |Z        88.15019 m   
For M5|Adr   142|KD1     1FFF      12:58:563  1L|Rb        1.75725 m   |HD         19.135 m   |                      
For M5|Adr   143|KD1     2FFF      13:00:013  1L|Rf        1.22280 m   |HD         19.844 m   |                      
For M5|Adr   144|KD1     2FFF      13:00:01   1L|                      |                      |Z        88.68464 m   
For M5|Adr   145|KD1     2FFF      13:01:223  1L|Rb        1.77940 m   |HD         19.157 m   |                      
For M5|Adr   146|KD1     3FFF      13:02:163  1L|Rf        1.23350 m   |HD         19.415 m   |                      
For M5|Adr   147|KD1     3FFF      13:02:16   1L|                      |                      |Z        89.23054 m   
For M5|Adr   148|KD1     3FFF      13:03:473  1L|Rb        1.76497 m   |HD         18.330 m   |                      
For M5|Adr   149|KD1     4FFF      13:05:093  1L|Rf        1.23629 m   |HD         18.553 m   |                      
For M5|Adr   150|KD1     4FFF      13:05:09   1L|                      |                      |Z        89.75922 m   
For M5|Adr   151|KD1     4FFF      13:06:113  1L|Rb        1.76582 m   |HD         17.594 m   |                      
For M5|Adr   152|KD1     5FFF      13:07:573  1L|Rf        1.23759 m   |HD         20.762 m   |                      
For M5|Adr   153|KD1     5FFF      13:07:57   1L|                      |                      |Z        90.28745 m   
For M5|Adr   154|KD1     5FFF      13:09:313  1L|Rb        1.26445 m   |HD         17.187 m   |                      
For M5|Adr   155|KD1       3J      13:09:563  1L|Rf        1.16336 m   |HD         11.389 m   |                      
For M5|Adr   156|KD1       3J      13:09:56   1L|                      |                      |Z        90.38854 m   
For M5|Adr   157|KD1       3J                 1L|Sh         3.2152 m   |                      |                      
For M5|Adr   158|KD2       3J        6        1L|Db         104.94 m   |Df         106.03 m   |Z        90.38854 m   
