For M5|Adr     1|TO  28TM-1JB.dat               |                      |                      |                      
For M5|Adr     2|TO  170718 FADI                |                      |                      |                      
For M5|Adr     3|TO  743261 58086 58086 1111    |                      |                      |                      
For M5|Adr     4|TO  Start-Line         BF   3LB|                      |                      |                      
For M5|Adr    17|KD1     28TM      09:51:16  3LB|                      |                      |Z        97.94501 m   
For M5|Adr    18|KD1     28TM      02:53:573 3LB|Rb        1.57034 m   |HD         21.109 m   |                      
For M5|Adr    19|KD1       1A      02:54:493 3LB|Rf        0.95330 m   |HD         21.920 m   |                      
For M5|Adr    20|KD1       1A      02:54:49  3LB|                      |                      |Z        98.55674 m   
For M5|Adr    21|KD1       1A      02:56:083 3LB|Rb        1.69802 m   |HD         20.698 m   |                      
For M5|Adr    22|KD1       2A      02:57:163 3LB|Rf        0.97975 m   |HD         20.670 m   |                      
For M5|Adr    23|KD1       2A      02:57:16  3LB|                      |                      |Z        99.27501 m   
For M5|Adr    24|KD1       2A      02:58:173 3LB|Rb        1.69449 m   |HD         19.974 m   |                      
For M5|Adr    25|KD1       3A      02:59:143 3LB|Rf        0.94830 m   |HD         21.548 m   |                      
For M5|Adr    26|KD1       3A      02:59:14  3LB|                      |                      |Z       100.02120 m   
For M5|Adr    27|KD1       3A      03:00:273 3LB|Rb        1.73198 m   |HD         21.508 m   |                      
For M5|Adr    28|KD1       4A      03:01:143 3LB|Rf        1.11943 m   |HD         21.055 m   |                      
For M5|Adr    29|KD1       4A      03:01:14  3LB|                      |                      |Z       100.63375 m   
For M5|Adr    30|KD1       4A      03:02:303 3LB|Rb        1.45572 m   |HD         20.674 m   |                      
For M5|Adr    31|KD1       5A      03:03:333 3LB|Rf        1.53467 m   |HD         22.034 m   |                      
For M5|Adr    32|KD1       5A      03:03:33  3LB|                      |                      |Z       100.55480 m   
For M5|Adr    33|KD1       5A      03:04:463 3LB|Rb        0.95756 m   |HD         25.081 m   |                      
For M5|Adr    34|KD1       6A      03:05:473 3LB|Rf        1.53117 m   |HD         21.365 m   |                      
For M5|Adr    35|KD1       6A      03:05:47  3LB|                      |                      |Z        99.98119 m   
For M5|Adr    36|KD1       6A      03:06:443 3LB|Rb        1.34597 m   |HD         21.970 m   |                      
