Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
4HOL,249BLG,0.9099,465,8,1.07,308,429.RAW,
17HOL,223BLG,8.3791,224,6,0.53,1108,429.RAW,
19HOL,121BLG,0.0702,7,1,-1.3,308,429.RAW,
21HOL,100BLG,9.1277,281,8,1.03,1008,429.RAW,
21HOL,187BLG,-0.1919,42,2,-0.08,1008,429.RAW,
22HOL,111BLG,6.1685,374,7,1.13,308,429.RAW,
25HOL,186BLG,-3.1369,233,4,1.21,308,429.RAW,
100BLG,208BLG,-3.2098,332,9,-0.53,1008,429.RAW,
110BLG,22HOL,0.498,59,2,0.29,308,429.RAW,
111BLG,184BLG,3.8755,436,7,-0.12,308,429.RAW,
121BLG,249BLG,-2.1597,315,5,0.24,308,429.RAW,
130BLG,19HOL,-5.1506,298,5,-0.45,308,429.RAW,
130BLG,222BLG,9.5645,482,7,5.02,308,429.RAW,
184BLG,185BLG,-5.4989,308,5,1.87,308,429.RAW,
185BLG,25HOL,0.217,35,1,-0.11,308,429.RAW,
186BLG,187BLG,-3.722,468,7,0.73,308,429.RAW,
211BLG,4HOL,1.1587,63,2,-0.07,308,429.RAW,
211BLG,110BLG,2.552,428,6,0.2,308,429.RAW,
222BLG,17HOL,6.7106,355,6,0.94,408,429.RAW,
223BLG,225BLG,-9.2574,642,12,0.95,408,429.RAW,
226BLG,225BLG,7.9832,320,6,0.82,408,429.RAW,
239BLG,226BLG,2.8047,723,17,-1.33,1208,429.RAW,
239BLG,240BLG,4.212,476,11,-0.68,1208,429.RAW,
241BLG,242BLG,5.9078,647,12,-1.08,508,429.RAW,
242BLG,254BLG,11.5701,630,9,-0.15,508,429.RAW,
243BLG,255BLG,-9.4154,479,11,0.43,1108,429.RAW,
253BLG,208BLG,-10.5307,415,6,0.04,508,429.RAW,
253BLG,241BLG,-3.4935,505,7,0.47,508,429.RAW,
254BLG,243BLG,-2.632,276,4,0.07,508,429.RAW,
255BLG,240BLG,-1.3979,491,12,-1.31,1108,429.RAW,
101BLG,188BLG,-2.2642,349,5,0.54,508,429.RAW,
187BLG,101BLG,-4.2415,187,3,-0.37,308,429.RAW,
188BLG,230BLG,2.0824,459,6,1.37,508,429.RAW,
230BLG,208BLG,10.5309,471,10,-0.76,508,429.RAW,
102BLG,211BLG,-3.6573,526,8,0.58,308,429.RAW,
101BLG,102BLG,6.9481,417,7,-2.23,308,429.RAW,
112BLG,211BLG,2.8426,473,7,0.84,308,429.RAW,
113BLG,10HOL,1.6762,372,6,0.03,308,429.RAW,
114BLG,113BLG,0.826,213,3,-0.33,308,429.RAW,
122BLG,1HOL,0.7622,105,1,-0.19,308,429.RAW,
123BLG,114BLG,-3.803,362,5,-0.95,308,429.RAW,
