POINT_NAME,X,Y,HEIGHT,gGal,RANK
1003Q,202521,709657,54.482,979551.6639,1
44531,217597,719399,110.747,979539.9048,1
30541,214868.5,723591,92.223,979539.2975,1
4839,217118,722213,126.696,979538.7887,1
44551,211581.7,727965.2,54.559,979562.0315,1
502U,213122.286,725159.963,83.434,979554.2734,1
35PU,197648.953,735578.912,41.687,979584.2838,1
751A2,197994,740399,53.105,979584.3878,1
259A1,196406,727748,24.056,979592.2442,1
4830,197993,740399,53.445,979584.3977,1
29F1,194797,721034,16.5,979585.3996,1
65PU,194469.468,719599.085,28.694,979580.8052,1
687A1,193545,715571,8.205,979575.3495,1
4067,229026,735169,429.493,979501.1358,1
4756,228233.5,735804.3,380.348,979509.5965,1
4851,227624,733009,349.246,979497.0088,1
4057,209637,741638,10.715,979585.9836,1
32FE,227537,723885,62.636,979543.1123,1
504U,227478.756,730929.885,126.872,979511.3267,1
4850,227525,724018,64.758,979543.2485,1
4528,230730,720667,21.362,979534.7134,1
6002,230685,720634,19.661,979535.0068,2
4664,200058,747482,4.499,979615.4453,1
3526,198240,748299,5.607,979628.9556,1
4665,201492,745212,5.242,979604.2611,1
6058,232606.574,740783.102,186.405,979531.2894,1
6056,232747,740800,177.066,979530.5146,1
6066,238212,744823,261.4,979523.9968,1
6067,237824.228,746012.903,287.59,979528.9426,1
6060,238549,742324,219.277,979519.378,1
6081,238179.6,770127,786.155,979442.4751,4
3731,236396.594,759635.186,337.241,979465.3758,1
60961,251458,760799,300.407,979505.1884,1
6096,251308,760599,300.879,979501.2875,1
6033,250983,744502,-204.833,979598.2879,1
6034,251264,743420,-204.201,979596.1309,1
6037,253586,738235,-200.791,979579.9617,1
6038,253622.2,736407.462,-206.044,979572.353,1
6039,253806,736217,-205.395,979572.5515,1
6016,255309.9,734533.7,-200.493,979569.3507,1
6015,253048.912,728423.757,-233.799,979560.3789,1
60111,251901.8,719678.4,-204.993,979562.6542,1
6013,251541.413,721983.669,-212.037,979558.6633,1
4523,237262,717428,-46.094,979552.0349,1
4525,245355,714649,-95.791,979534.7784,1
6014,251565.9,723842.6,-215.711,979556.9011,1
213A1,254547.606,730811.09,-200.71,979559.168,1
6011,250890.788,717078.376,-217.463,979552.7693,1
60141,251441.62,723549.12,-226.64,979554.3899,1
3100,254863,732258,-195.563,979562.1522,1
6062,242606,743300,225.345,979538.2752,1
3740,240755,742898,242.144,979529.9351,3
510U,238652.927,742237.182,214.512,979519.6701,1
6063,246039,743682,154.638,979551.0967,1
60651,248745,744699,33.238,979587.8692,1
6032,248809,747341,-199.367,979598.2294,1
60281,251513,753703,-179.612,979566.6176,3
4053,249090,750639,-197.415,979590.3806,2
6099,251567,756589,137.112,979530.5741,1
6098,251375.958,757416.497,186.878,979520.6845,1
6141,258928,770849,71.667,979539.7898,1
6132,261010.951,790174.208,96.995,979546.4737,1
6137,260497,778500,83.403,979519.386,1
6128,254225,791997,167.085,979543.372,1
6139,259621,774300,64.856,979534.3075,1
6136,260895.439,780669.413,133.155,979514.214,1
6135,260353,784399,79.026,979539.8644,1
6134,260755,786450,76.19,979540.4989,1
6123,251476,791750,615.75,979498.0191,3
6126,254405,793455,260.662,979531.1874,3
6124,252444,792500,487.665,979512.4035,3
6131,259822,791700,,979552.1693,
6143,259755,769425,148.442,979522.1164,1
6144,260412,768786,214.645,979511.25,1
6148,260079,762574,98.248,979521.4916,3
6151,259548,758473,-129.095,979547.0284,1
6152,259692,756749,-197.507,979560.1836,1
6147,260162,764839,164.947,979511.1049,3
6142,258803,768299,103.699,979528.4056,1
4256,260824,756623,-172.102,979552.9511,1
6018,256801.2,734275.1,-194.665,979560.1001,1
6019,256822,734219,-194.045,979559.6667,1
6153,259838,756604,-194.168,979560.4443,1
4252,261146,748022,-199.095,979556.2505,1
6021,257499.5,735058.457,-191.012,979551.6558,1
6024,260281.824,741652.028,-200.3,979544.691,1
6022,258957,737099,-201.819,979542.0103,1
4260,255991,755699,-193.86,979566.7586,1
6028,251432,753555,-175.811,979566.6696,5
36U,237290.162,717375.12,-47.716,979552.2606,3
60621,242506,743200,217.626,979537.6287,2
4092,231380.1,726166.4,179.258,979532.5307,2
4760,252204.6,736369.8,-41.927,979561.4987,2
4764,239116.7,731789.37,73.069,979533.734,2
4765,239906,732399,124.679,979529.5519,2
4065,252707,736238.1,-106.524,979565.1824,2
3145,240783,734506,190.141,979518.7609,2
1077,245009.3,735629.9,168.253,979545.8719,2
1079,247719.6,734406,-16.535,979554.4194,3
4FB,229008,707799,139.755,979513.2665,2
34FE,246617,711910,-119.597,979550.2603,2
4820,251317.23,718218.63,-216.49,979555.9942,2
10771,244542.824,735592.691,220.582,979541.2127,2
4790,236046.6,741334.9,188.309,979516.1604,2
4069,233311.3,740690.1,173.86,979527.3922,2
4084,238740,739499,214.705,979520.335,2
508U,227667.798,741592.77,164.684,979547.1331,2
509U,223249.772,741093.669,160.096,979547.8919,2
4502,263260,770153,383.417,979471.0071,3
3772,264870,794588,345.984,979449.9033,3
6258,263145.9,795143.8,262.1,979474.5524,
4496,270505,765600,518.171,979429.646,3
6226,278440.254,769064.475,844.355,979372.4276,4
6234,262123.224,754779.73,,979548.9112,
3477MPI,250870,743799,-194.707,979596.1329,3
3475MPI,244790,757259,,979507.2859,
3411MPI,206801.052,758291.082,1.811,979602.7861,4
3392MPI,207176,759710,2.519,979603.8339,4
6209,196388,746544,15.468,979615.7923,2
6222,196284,746452,10.5,979615.0665,2
59PU,193399.417,721891.629,9.363,979590.0363,2
6195,190674.205,708394.967,19.785,979559.9944,2
382U,192225.968,707863.446,8.313,979557.5652,2
3412MPI,206896.87,758228.616,1.83,979602.7322,4
3752MPI,273077.555,800019.06,,979199.545,
3756MPI,271234.046,799605.783,,979240.6014,
3757MPI,270937.908,798121.767,,979282.43,
757U,196413.312,747756.92,16.969,979627.5651,1
4751,219526.82,742708.249,217.808,979545.7832,1
46PU,197117.241,733371.428,29.416,979589.0019,1
39U,249109.604,712702.412,-202.01,979555.8458,3
2481W,250892.635,735682.887,-17.977,979546.3392,2
2479W,252361.57,725144.405,-205.76,979557.0979,1
6036,252461.933,740825.274,-198.992,979587.876,1
6035,251416.901,742305.583,-202.956,979592.7929,1
