POINT_NAME,X,Y,HEIGHT,gGal,RANK
401U,164455.319,619036.185,47.184,979459.5287,4
809b,174686.8,617167.9,85.418,979459.4401,4
2160b,172642,617150,76.393,979461.6185,4
32061,166550,618662,79.893,979461.3958,5
4131,162882,619173,49.23,979456.8154,1
310A1,172216,617041,91.848,979461.7198,3
646b,163599,622600,28.914,979460.5413,1
749b,170990,634900,38.98,979473.5217,1
744b,173001,637800,32.601,979476.5128,1
1263b,174231,639539,31.739,979480.8401,1
1872b,172399,637000,34.912,979475.353,1
3217,170570,634303,44.823,979472.7731,1
4129,165443,625800,26.627,979463.9587,1
41291,166500,627700,34.75,979468.0624,1
4909,162992,621200,48.082,979458.5115,1
314A1,168444,630600,23.043,979468.8143,1
101,169297,632703,23.382,979471.0079,1
276A2,173114.7,638032.8,32.099,979476.8537,1
4910,165393,625300,28.354,979463.6516,1
4130,164331,624213,21.224,979461.5105,1
32171,169999,633600,32.157,979471.9617,1
4222,168387.384,629536.305,24.304,979469.7768,4
4627,168395,631500,22.314,979469.3553,4
399U,166786.672,628369.19,34.862,979468.7939,1
317A,192187.795,635935.648,124.129,979461.5364,1
633A,197987.62,637733.62,210.577,979452.599,2
508b,177952,633850,74.145,979480.3793,1
510b,177701,634750,65.003,979482.2281,1
509b,177601,634350,61.049,979481.1323,1
535b,176908,635150,51.414,979481.9884,4
722b,183515.7,633297.662,72.622,979477.8371,1
726b,178857,632250,65.86,979478.8341,3
731b,179235.518,631243.11,65.231,979477.6037,1
733b,181144,630703,66.209,979475.7734,3
837b,183105,632900,64.795,979477.8565,1
735b,182456,631750,85.218,979476.479,1
838b,184351,633900,68.932,979476.8329,1
1948b,190633,635352,104.175,979464.8754,1
1949b,189851,635400,98.525,979467.3985,3
2028b,187606,635250,83.907,979473.3331,1
2030b,188552,635200,89.845,979470.8083,1
2040b,188952,635350,93.653,979469.8417,1
2097b,195456,637199,153.06,979458.6902,1
2102b,194722,637000,142.024,979459.0303,3
4331,198292,638345,223.438,979453.5939,1
4332,195974,637435,177.162,979458.2308,1
633A1,198200,637300,197.705,979450.3176,1
633A2,196752,637546,198.425,979456.489,1
4918,186804,635300,80.333,979474.9051,1
4919,185009,634500,80.207,979476.7559,1
4953,175042,638962,50.41,979482.481,1
4916,193484,636969,137.116,979459.7424,1
2099b,193131,636718,129.737,979459.9111,4
4917,187915,635467,92.524,979472.6531,1
43321,194352,637000,136.902,979459.2862,1
4425,180434,630000,64.231,979475.8467,1
4951,175202,636300,62.324,979480.241,1
1942b,192382,635950,119.737,979461.2462,1
2098b,192757,636400,128.025,979460.6165,4
318A1,184550,634150,77.606,979476.9526,1
3156,175094,637351,61.251,979480.8712,1
4952,174796,636500,59.318,979479.1276,4
39F,200435.9,631674.4,250.808,979412.3945,1
64F,202207,635080,299.754,979424.9405,1
4334,200804,637000,253.614,979442.1753,1
2136b,199905,630650,221.599,979416.6474,1
2141b,199525,629925,209.558,979418.0891,1
2143b,198570,629230,211.822,979419.8689,1
2115b,200556,631400,242.935,979412.382,1
2116b,201129,631650,254.161,979409.65,1
2122b,201508,633950,308.684,979415.8603,1
2126b,201530,634550,308.07,979421.8712,1
4169,202440,635898,297.435,979431.9912,4
958,199497,629890,208.42,979418.1658,1
4170,201599,634422,307.681,979420.3207,4
3250,201638,633130,305.351,979409.6081,1
2142b,199152,629600,200.638,979418.9122,1
2161b,198201,629050,212.582,979420.3673,1
2120b,201400,632636,289.623,979408.9645,1
421U,200451.574,631656.458,249.442,979412.3613,1
2144b,197504,628250,203.418,979421.8743,5
326A1,188249.002,611759.964,260.96,979401.8476,1
3231,193652,619600,272.827,979409.4536,1
3232,192307,615750,327.537,979393.1347,1
828,189291.4,612496.6,272.283,979400.7589,1
728A,193202,617900,306.206,979400.6441,1
4167,194978,623870,267.08,979419.721,1
4164,197133,627367,223.5,979422.6086,1
46821,185882,610466,235.813,979407.6744,1
954,195768,624100,328.03,979417.9131,1
791A,196301,624610,284.432,979417.8558,1
327A1,183804,611100,166.689,979418.6262,1
322A,196280,624600,286.213,979417.8814,1
4684,179794,612961,127.96,979439.0034,1
4681,194305,620400,263.574,979412.3514,1
4166,194704,621850,264.848,979416.5996,1
4165,196767,625854,249.99,979419.7337,1
2201b,197553,627630,204.454,979422.5589,1
2202b,197253,627250,216.919,979422.2609,3
4683,181490,612165,154.902,979431.482,4
5090,176453,612448,130.133,979443.2113,1
4986,176295,614000,110.713,979448.0442,1
2157b,177185.988,609057.494,151.704,979431.4533,4
4987,176831,611709,143.384,979440.3262,1
900b,177245,611159,148.729,979438.2153,
815b,176295,614350,96.851,979449.2032,3
3273,178150,597050,223.785,979394.1235,1
3272,178860.2,599458.9,187.379,979399.7876,1
4980,177940,595909,233.215,979391.173,1
5094,178722,598030,212.349,979396.5283,1
4719,177702,606499,169.498,979422.833,1
5091,178641,604145,186.287,979412.8786,1
4985,177127,608433,163.199,979429.131,4
943b,177596,607000,169.419,979424.5151,1
4984,178845.5,603296.2,179.471,979409.5086,1
4720,177775,605291,149.217,979418.9718,1
47242,179129,602665,201.476,979406.8654,1
5092,179364.2,600895.4,222.27,979402.2365,1
5093,179457,601400,216.443,979403.2285,1
5095,177598.91,594547.08,242.3,979386.5297,4
4957,156736,599050,77.41,979429.3929,1
4368,158155,595514,116.298,979417.9196,1
4956,157532,600378,83.613,979430.95,1
3245b,166042,583924,139.248,979391.8598,1
3301,168644,582073,156.215,979386.2069,1
43691,160705,593950,138.224,979406.2032,1
4970,172102.611,583672.337,190.082,979382.4486,1
4955,158643,601557,105.699,979433.2297,1
4979,176569,592153,236.933,979381.6955,1
4978,175478,590774,219.287,979382.2856,1
4977,173494,588499,168.303,979385.4509,1
4969,171026,582451,186.86,979382.1918,1
4367,155183,597720,114.89,979427.1516,1
4370,161937,593152,148.659,979403.8548,1
4369,159534,594837,138.839,979411.5031,1
3244b,165524,584549,129.94,979393.1936,1
3242b,162994,590870,155.04,979398.5949,1
3241b,163158,589950,142.791,979397.8342,1
3240b,163198,589220,129.789,979397.7141,1
3239b,163346,588370,127.121,979397.8483,1
3236b,164648,585699,124.318,979396.1309,1
4976,172730,586530,185.912,979386.0319,2
3401b,161840,602649,106.438,979437.0494,4
5049,174590,594349,219.321,979388.7624,5
5054,168649,601400,131.477,979422.3244,1
50541,167297,601799,107.799,979428.8557,1
5058,160895,601899,100.884,979434.0502,1
3404b,162513,603669,92.64,979441.6521,1
5050,174230.125,596375.252,216.024,979394.894,3
5051,173156,597999,198.287,979401.9643,3
5052,172234,599182,162.536,979406.6704,3
5053,170827,600340,158.159,979411.9646,3
5055,166554,602280,95.272,979432.0911,3
5056,165042,602132,83.132,979434.2538,3
5057,163584,603710,76.698,979441.8594,3
5048,175844,594850,221.013,979388.8821,3
4716,163116.857,604289.925,89.313,979443.9555,1
5059,159898,601499,91.028,979432.5486,1
8014,193352,649650,67.801,979491.0492,1
8015,193200,647200,85.325,979487.6791,1
8017,194894,644000,108.113,979478.442,1
8019,197996,641149,148.557,979460.8725,1
8020,198736,639082,203.801,979453.5559,5
8018,195986.93,642546.7,130.861,979472.1249,1
455U,194143.878,645810.549,116.876,979482.5854,1
2145b,197704,628300,202.66,979421.6198,1
