Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
4969,4970,3.22279,1998,36,1.8,101,1047_4969-4970.rez,1998-r1
4970,663U,-0.15327,1655,30,0.1,101,1049_4970-663U.rez,1998-r1
4976,663U,4.00019,1398,23,2.6,101,1051_4976-663U.rez,1998-r1
4979,73U,11.5302,2466,36,0.4,101,1052_4979-73U.rez,1998-r1
4980,5095,9.1443,1434,22,2.1,101,1055_4980-5095.rez,1998-r1
4984,5093,36.97181,1800,29,2.5,101,1057_4984-5093.rez,1998-r1
4984,5091,6.81686,875,13,1.5,101,1058_4984-5091.rez,1998-r1
4985,943b,6.15855,1506,23,1.5,101,1063_4985-943b.rez,1998-r1
4987,5090,-13.25013,835,12,2.3,101,1065_4987-5090.rez,1998-r1
4987,900b,5.24903,799,12,0.8,101,1067_4987-900b.rez,1998-r1
5048,5050,-5.00387,3314,52,3.89,101,1075_5048-5050.rez,1998-r1
5048,73U,27.41987,1953,32,0.11,101,1077_5048-73U.rez,1998-r1
5050,5051,-17.76296,1968,28,0,101,1078_5050-5051.rez,1998-r1
5051,5052,-35.73579,1521,26,2.9,101,1080_5051-5052.rez,1998-r1
5052,5053,-4.39828,1907,28,3.3,101,1082_5052-5053.rez,1998-r1
5053,5055,-62.82115,4890,82,7.5,101,1085_5053-5055.rez,1998-r1
5055,5056,-12.14905,1556,24,1.4,101,1086_5055-5056.rez,1998-r1
5056,5057,-6.48264,2285,33,1,101,1088_5056-5057.rez,1998-r1
5090,815b,-33.27193,1933,32,-0.4,101,1098_5090-815b.rez,1998-r1
5092,5093,-5.82625,750,12,2.2,101,1101_5092-5093.rez,1998-r1
5095,73U,6.10215,374,8,0.6,101,1105_5095-73U.rez,1998-r1
684U,701b,-7.46172,1912,28,2.9,101,1316_684U-701b.rez,1998-r1
685U,701b,11.02814,1641,26,0.53,101,1317_685U-701b.rez,1998-r1
79U,828,-1.81942,2977,49,1.27,101,1389_79U-828.rez,1998-r1
2157b,351A,-11.65542,1295,20,1.1,101,0215_2157b-351A.rez,1998-r1
2157b,4985,11.612,641,10,1.7,101,0216_2157b-4985.rez,1998-r1
2160b,310A1,15.463,456,13,-0.09,101,0220_2160b-310A1.rez,1998-r1
2160b,809b,9.05036,2356,38,-1.65,101,0222_2160b-809b.rez,1998-r1
2938W,795A,-30.58397,1701,34,-1.09,101,0354_2938W-795A.rez,1998-r1
2938W,326A,60.13644,3123,71,-1.2,101,0355_2938W-326A.rez,1998-r1
310A1,8031,17.81142,2637,46,1.35,101,0404_310A1-8031.rez,1998-r1
3231,3232,54.70929,4064,78,2.76,101,0481_3231-3232.rez,1998-r1
3232,79U,-53.43538,2139,37,0.11,101,0483_3232-79U.rez,1998-r1
