Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
282U,368U,-15.72456,2593,73,1.9,797,986.RAW,luba
282U,369U,-0.68812,1536,45,-1.27,397,986.RAW,luba
290U,291U,-2.81902,2377,52,0.79,297,986.RAW,luba
290U,3493,9.45684,4577,136,3.08,897,987.RAW,luba
3493,3492,17.82222,1815,60,1.23,297,986.RAW,luba
3492,285U,3.77787,103,4,-0.08,297,986.RAW,luba
285U,284U,1.89624,2650,66,0.62,297,986.RAW,luba
284U,283U,0.29676,2234,50,0.65,297,986.RAW,luba
283U,371U,44.75721,2372,63,-0.35,297,986.RAW,luba
290U,469A,0.8774,104,4,0.11,297,987.RAW,luba
2917W,3425,-18.91334,1360,20,-0.69,666,760,1998-r2
3425,3424,-18.2959,2540,48,2.5,666,760,1998-r2
3424,353A,-14.60874,2120,34,0.77,666,760,1998-r2
353A,3273,-23.76116,3140,46,2.51,166,729,1998-r2
2917W,3949b,-20.06884,1429,30,0.84,1201,919.RAW,luba
3949b,4431,-17.2665,1364,28,-0.07,1201,919.RAW,luba
2917W,3950b,10.72441,1656,34,-0.7,1201,919.RAW,luba
3950b,2914W,11.47804,955,20,-0.47,1201,919.RAW,luba
2914W,3954b,12.7118,1199,24,0.6,1201,919.RAW,luba
3954b,3955b,41.57755,1323,40,-1.53,102,919.RAW,luba
3955b,3956b,24.86756,1036,22,0.37,102,919.RAW,luba
3956b,3957b,38.5539,1478,44,1.1,102,919.RAW,luba
3957b,3971b,-27.63314,3890,86,-1.87,202,919.RAW,luba
3971b,669A,30.23956,3645,86,1.27,202,919.RAW,luba
2917W,434A,14.91002,1790,30,1.11,666,760,1998-r2
434A,3427,30.04111,2320,42,1.67,1166,761,1998-r2
3427,3428,45.18736,1810,44,2.97,1166,761,1998-r2
3428,433A,64.10047,1830,54,0.56,1166,761,1998-r2
291U,292U,-2.38967,1713,42,-0.32,297,986.RAW,luba
291U,919,3.3641,206,6,0.11,297,987.RAW,luba
292U,288U,6.89346,2145,50,0.2,297,986.RAW,luba
288U,293U,22.05537,5311,123,-1.41,797,987.RAW,luba
292U,3496,1.22608,376,11,-0.18,297,987.RAW,luba
293U,294U,-14.68592,1557,35,-1.33,397,986.RAW,luba
293U,471A,0.86164,39,1,0.4,797,987.RAW,luba
294U,295U,32.80257,1891,59,-1.2,397,986.RAW,luba
294U,3499,0.26234,24,1,0.13,397,986.RAW,luba
295U,296U,16.1988,3587,94,1.7,997,986.RAW,luba
295U,3500,-1.21139,78,2,0.21,397,986.RAW,luba
296U,3607,0.26239,23,1,-0.09,897,986.RAW,luba
296U,372U,4.94113,1967,53,-1.13,897,986.RAW,luba
372U,476A,-68.19388,3103,92,-2.03,897,987.RAW,luba
476A,373U,-10.93406,674,20,-0.42,897,987.RAW,luba
373U,297U,-5.6391,1755,49,-1.64,397,986.RAW,luba
297U,298U,-3.78605,2630,70,-2.55,397,986.RAW,luba
