Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source,File
1003Q,35051,-6.56509,1434,19,-3.2,586,2009,1998-r1,0001_1003Q-745A.rez
35051,3505,-3.64214,1021,18,1,586,2009,1998-r1,0001_1003Q-745A.rez
3505,8BN,2.21619,911,13,2.7,586,2009,1998-r1,0001_1003Q-745A.rez
8BN,380U,0.10772,1164,15,0.2,586,2009,1998-r1,0001_1003Q-745A.rez
380U,1983b,-0.96138,112,2,-0.1,586,2009,1998-r1,0001_1003Q-745A.rez
1983b,48231,-3.2675,1096,15,2.44,686,2009,1998-r1,0001_1003Q-745A.rez
4824,4825,-0.26443,1244,19,0.92,686,2009,1998-r1,0001_1003Q-745A.rez
4825,48251,5.87393,919,18,2.7,586,2009,1998-r1,0001_1003Q-745A.rez
48251,745A,-12.41232,1088,16,1.8,586,2009,1998-r1,0001_1003Q-745A.rez
1003Q,4891,-5.26249,1411,20,1.6,1087,2008,1998-r1,0002_1003Q-4488.rez
4891,4441,-7.73001,1032,15,1,1087,2008,1998-r1,0002_1003Q-4488.rez
4441,3150,6.67943,1133,16,-0.8,987,2008,1998-r1,0002_1003Q-4488.rez
1003Q,744A,9.89822,840,12,5.85,586,1444,1998-r1,0003_1003Q-742A.rez
744A,5102,2.85052,1343,22,0.6,895,965,1998-r1,0003_1003Q-742A.rez
5102,30491,5.55879,653,14,0.1,795,2083,1998-r1,0003_1003Q-742A.rez
30491,4153,21.65112,1454,27,4.8,1195,973,1998-r1,0003_1003Q-742A.rez
4153,5103,4.08142,1198,22,1.7,895,965,1998-r1,0003_1003Q-742A.rez
5103,4152,17.37636,1273,21,0.5,895,965,1998-r1,0003_1003Q-742A.rez
4152,5104,17.20181,1101,19,1.3,895,965,1998-r1,0003_1003Q-742A.rez
5104,5105,15.98245,1076,18,1.3,895,966,1998-r1,0003_1003Q-742A.rez
5105,5106,31.07292,1425,24,2,895,966,1998-r1,0003_1003Q-742A.rez
5106,5107,21.8237,990,16,3,895,967,1998-r1,0003_1003Q-742A.rez
5107,4151,24.25561,1207,20,1.4,895,967,1998-r1,0003_1003Q-742A.rez
4151,5108,42.99647,1369,26,-2,895,967,1998-r1,0003_1003Q-742A.rez
5108,5002,-25.59815,1177,22,2.6,995,968,1998-r1,0003_1003Q-742A.rez
5002,5110,-30.63779,769,20,6.3,995,970,1998-r1,0003_1003Q-742A.rez
5110,30521,-25.08754,994,18,3.5,995,970,1998-r1,0003_1003Q-742A.rez
30521,5109,-6.23986,974,31,3,995,968,1998-r1,0003_1003Q-742A.rez
5109,742A,-7.50811,316,8,0.4,995,969,1998-r1,0003_1003Q-742A.rez
100U,3096,-54.64744,1010,58,-1.07,896,0,1998-r1,0004_100U-60281.rez
3096,6101,-69.13141,1068,62,-1.45,896,0,1998-r1,0004_100U-60281.rez
6101,2475W,-63.9866,1181,67,-0.45,896,0,1998-r1,0004_100U-60281.rez
2475W,60281,-77.91391,1578,83,-1.87,896,0,1998-r1,0004_100U-60281.rez
100U,6028,-261.8803,4844,225,-0.44,206,938.RAW,luba,0005_100U-6028.rez
100U,6099,51.03428,1203,72,0.64,896,0,1998-r1,0006_100U-6099.rez
100U,6099,51.02921,1194,60,1.22,1105,938.RAW,luba,0007_100U-6099.rez
