For M5|Adr     1|TO  1539JAD-55J.dat            |                      |                      |                      | 
For M5|Adr     2|TO  080722 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  70303 58086 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   36L|                      |                      |                      | 
For M5|Adr     5|KD1  1539JAD                36L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1  1539JAD      29.0 C  3 36L|Rb        0.92310 m   |HD          6.627 m   |                      | 
For M5|Adr     5|KD1    1233G      29.0 C  3 36L|Rf        1.63585 m   |HD          6.991 m   |                      | 
For M5|Adr     6|KD1    1233G      29.0 C  3 36L|Rf        1.61361 m   |HD          6.991 m   |                      | 
For M5|Adr     7|KD1  1539JAD      29.0 C  3 36L|Rb        0.90088 m   |HD          6.621 m   |                      | 
For M5|Adr     8|KD1    1233G      29.0 C    36L|                      |                      |Z        99.28726 m   | 
For M5|Adr     9|KD1    1233G      29.0 C  3 36L|Rb        0.69894 m   |HD          7.492 m   |                      | 
For M5|Adr    10|KD1    1234G      29.0 C  3 36L|Rf        1.70893 m   |HD          7.509 m   |                      | 
For M5|Adr    11|KD1    1234G      29.0 C  3 36L|Rf        1.72589 m   |HD          7.512 m   |                      | 
For M5|Adr    12|KD1    1233G      29.0 C  3 36L|Rb        0.71573 m   |HD          7.478 m   |                      | 
For M5|Adr    13|KD1    1234G      29.0 C    36L|                      |                      |Z        98.27719 m   | 
For M5|Adr    14|KD1    1234G      29.0 C  3 36L|Rb        0.70423 m   |HD          7.219 m   |                      | 
For M5|Adr    15|KD1    1235G      29.0 C  3 36L|Rf        1.68985 m   |HD          7.286 m   |                      | 
For M5|Adr    16|KD1    1235G      29.0 C  3 36L|Rf        1.71077 m   |HD          7.285 m   |                      | 
For M5|Adr    17|KD1    1234G      29.0 C  3 36L|Rb        0.72508 m   |HD          7.217 m   |                      | 
For M5|Adr    18|KD1    1235G      29.0 C    36L|                      |                      |Z        97.29153 m   | 
For M5|Adr    25|KD1    1235G      29.0 C  3 36L|Rb        0.63888 m   |HD          7.714 m   |                      | 
For M5|Adr    26|KD1    1236G      29.0 C  3 36L|Rf        1.80260 m   |HD          7.123 m   |                      | 
For M5|Adr    27|KD1    1236G      29.0 C  3 36L|Rf        1.78453 m   |HD          7.129 m   |                      | 
For M5|Adr    28|KD1    1235G      29.0 C  3 36L|Rb        0.62081 m   |HD          7.709 m   |                      | 
For M5|Adr    29|KD1    1236G      29.0 C    36L|                      |                      |Z        96.12781 m   | 
For M5|Adr    30|KD1    1236G      29.0 C  3 36L|Rb        0.56245 m   |HD          8.034 m   |                      | 
For M5|Adr    31|KD1    1237G      29.0 C  3 36L|Rf        1.88077 m   |HD          8.039 m   |                      | 
For M5|Adr    32|KD1    1237G      29.0 C  3 36L|Rf        1.86446 m   |HD          8.033 m   |                      | 
For M5|Adr    33|KD1    1236G      29.0 C  3 36L|Rb        0.54604 m   |HD          8.036 m   |                      | 
For M5|Adr    34|KD1    1237G      29.0 C    36L|                      |                      |Z        94.80944 m   | 
For M5|Adr    35|KD1    1237G      29.0 C  3 36L|Rb        0.62667 m   |HD          6.661 m   |                      | 
For M5|Adr    36|KD1    1238G      29.0 C  3 36L|Rf        1.73076 m   |HD          6.462 m   |                      | 
For M5|Adr    37|KD1    1238G      29.0 C  3 36L|Rf        1.75192 m   |HD          6.453 m   |                      | 
For M5|Adr    38|KD1    1237G      29.0 C  3 36L|Rb        0.64776 m   |HD          6.671 m   |                      | 
For M5|Adr    39|KD1    1238G      29.0 C    36L|                      |                      |Z        93.70531 m   | 
For M5|Adr    40|KD1    1238G      29.0 C  3 36L|Rb        0.60149 m   |HD          7.432 m   |                      | 
For M5|Adr    41|KD1    1239G      29.0 C  3 36L|Rf        1.89103 m   |HD          7.545 m   |                      | 
For M5|Adr    42|KD1    1239G      29.0 C  3 36L|Rf        1.87061 m   |HD          7.556 m   |                      | 
For M5|Adr    43|KD1    1238G      29.0 C  3 36L|Rb        0.58101 m   |HD          7.423 m   |                      | 
For M5|Adr    44|KD1    1239G      29.0 C    36L|                      |                      |Z        92.41575 m   | 
For M5|Adr    45|KD1    1239G      29.0 C  3 36L|Rb        0.67815 m   |HD          6.210 m   |                      | 
For M5|Adr    46|KD1    1240G      29.0 C  3 36L|Rf        1.77351 m   |HD          6.660 m   |                      | 
For M5|Adr    47|KD1    1240G      29.0 C  3 36L|Rf        1.79663 m   |HD          6.674 m   |                      | 
For M5|Adr    48|KD1    1239G      29.0 C  3 36L|Rb        0.70113 m   |HD          6.204 m   |                      | 
For M5|Adr    49|KD1    1240G      29.0 C    36L|                      |                      |Z        91.32031 m   | 
For M5|Adr    50|KD1    1240G      29.0 C  3 36L|Rb        0.67402 m   |HD          6.478 m   |                      | 
For M5|Adr    51|KD1    1241G      29.0 C  3 36L|Rf        1.82070 m   |HD          6.782 m   |                      | 
For M5|Adr    52|KD1    1241G      29.0 C  3 36L|Rf        1.83566 m   |HD          6.776 m   |                      | 
For M5|Adr    53|KD1    1240G      29.0 C  3 36L|Rb        0.68896 m   |HD          6.483 m   |                      | 
For M5|Adr    54|KD1    1241G      29.0 C    36L|                      |                      |Z        90.17362 m   | 
For M5|Adr    55|KD1    1241G      29.0 C  3 36L|Rb        0.69502 m   |HD          6.132 m   |                      | 
For M5|Adr    56|KD1    1242G      29.0 C  3 36L|Rf        1.74248 m   |HD          5.870 m   |                      | 
For M5|Adr    57|KD1    1242G      29.0 C  3 36L|Rf        1.75713 m   |HD          5.865 m   |                      | 
For M5|Adr    58|KD1    1241G      29.0 C  3 36L|Rb        0.70951 m   |HD          6.130 m   |                      | 
For M5|Adr    59|KD1    1242G      29.0 C    36L|                      |                      |Z        89.12608 m   | 
For M5|Adr    60|KD1    1242G      29.0 C  3 36L|Rb        0.72009 m   |HD          6.010 m   |                      | 
For M5|Adr    61|KD1    1243G      29.0 C  3 36L|Rf        1.79950 m   |HD          6.325 m   |                      | 
For M5|Adr    62|KD1    1243G      29.0 C  3 36L|Rf        1.81706 m   |HD          6.319 m   |                      | 
For M5|Adr    63|KD1    1242G      29.0 C  3 36L|Rb        0.73746 m   |HD          6.005 m   |                      | 
For M5|Adr    64|KD1    1243G      29.0 C    36L|                      |                      |Z        88.04658 m   | 
For M5|Adr    65|KD1    1243G      29.0 C  3 36L|Rb        0.70468 m   |HD          6.307 m   |                      | 
For M5|Adr    66|KD1    1244G      29.0 C  3 36L|Rf        1.84010 m   |HD          6.135 m   |                      | 
For M5|Adr    67|KD1    1244G      29.0 C  3 36L|Rf        1.85408 m   |HD          6.133 m   |                      | 
For M5|Adr    68|KD1    1243G      29.0 C  3 36L|Rb        0.71865 m   |HD          6.307 m   |                      | 
For M5|Adr    69|KD1    1244G      29.0 C    36L|                      |                      |Z        86.91115 m   | 
For M5|Adr    70|KD1    1244G      29.0 C  3 36L|Rb        0.69603 m   |HD          6.478 m   |                      | 
For M5|Adr    71|KD1    1245G      29.0 C  3 36L|Rf        1.80893 m   |HD          6.405 m   |                      | 
For M5|Adr    72|KD1    1245G      29.0 C  3 36L|Rf        1.82839 m   |HD          6.402 m   |                      | 
For M5|Adr    73|KD1    1244G      29.0 C  3 36L|Rb        0.71554 m   |HD          6.474 m   |                      | 
For M5|Adr    74|KD1    1245G      29.0 C    36L|                      |                      |Z        85.79828 m   | 
For M5|Adr    75|KD1    1245G      29.0 C  3 36L|Rb        0.72594 m   |HD          6.423 m   |                      | 
For M5|Adr    76|KD1    1246G      29.0 C  3 36L|Rf        1.77158 m   |HD          5.972 m   |                      | 
For M5|Adr    77|KD1    1246G      29.0 C  3 36L|Rf        1.75408 m   |HD          5.979 m   |                      | 
For M5|Adr    78|KD1    1245G      29.0 C  3 36L|Rb        0.70833 m   |HD          6.415 m   |                      | 
For M5|Adr    79|KD1    1246G      29.0 C    36L|                      |                      |Z        84.75259 m   | 
