For M5|Adr     1|TO  1547JAD-1546JAD.dat        |                      |                      |                      | 
For M5|Adr     2|TO  020822 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  743261  70303 72270 1111   |                      |                      |                      |
For M5|Adr     4|TO  Start-Line       BFFB   82F|                      |                      |                      | 
For M5|Adr     3|KD1  1547JAD                82F|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1  1547JAD      32.0 C  3 82F|Rb        1.49314 m   |HD         15.148 m   |                      | 
For M5|Adr     5|KD1    1656R      32.0 C  3 82F|Rf        0.66287 m   |HD         15.396 m   |                      | 
For M5|Adr     6|KD1    1656R      32.0 C  3 82F|Rf        0.62433 m   |HD         15.396 m   |                      | 
For M5|Adr     7|KD1  1547JAD      32.0 C  3 82F|Rb        1.45469 m   |HD         15.145 m   |                      | 
For M5|Adr     8|KD1    1656R      32.0 C    82F|                      |                      |Z       100.83031 m   | 
For M5|Adr     9|KD1    1656R      32.0 C  3 82F|Rb        1.61082 m   |HD         24.631 m   |                      | 
For M5|Adr    10|KD1    1657R      32.0 C  3 82F|Rf        1.23331 m   |HD         25.318 m   |                      | 
For M5|Adr    11|KD1    1657R      32.0 C  3 82F|Rf        1.27653 m   |HD         25.316 m   |                      | 
For M5|Adr    12|KD1    1656R      32.0 C  3 82F|Rb        1.65398 m   |HD         24.632 m   |                      | 
For M5|Adr    13|KD1    1657R      32.0 C    82F|                      |                      |Z       101.20780 m   | 
For M5|Adr    14|KD1    1657R      32.0 C  3 82F|Rb        1.34925 m   |HD         26.100 m   |                      | 
For M5|Adr    17|KD1    1658R      32.0 C  3 82F|Rf        1.28671 m   |HD         26.319 m   |                      | 
For M5|Adr    18|KD1    1658R      32.0 C  3 82F|Rf        1.31351 m   |HD         26.329 m   |                      | 
For M5|Adr    19|KD1    1657R      32.0 C  3 82F|Rb        1.37601 m   |HD         26.098 m   |                      | 
For M5|Adr    20|KD1    1658R      32.0 C    82F|                      |                      |Z       101.27031 m   | 
For M5|Adr    21|KD1    1658R      32.0 C  3 82F|Rb        1.31961 m   |HD         24.883 m   |                      | 
For M5|Adr    22|KD1    1659R      32.0 C  3 82F|Rf        1.19958 m   |HD         25.668 m   |                      | 
For M5|Adr    23|KD1    1659R      32.0 C  3 82F|Rf        1.25807 m   |HD         25.680 m   |                      | 
