For M5|Adr     1|TO  55J-1539JAD.dat            |                      |                      |                      | 
For M5|Adr     2|TO  080722 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  70303 58086 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   35L|                      |                      |                      | 
For M5|Adr     5|KD1      J55                35L|                      |                      |Z       100.00000 m   | 
For M5|Adr    18|KD1      J55      26.0 C  3 35L|Rb        1.46351 m   |HD         15.738 m   |                      | 
For M5|Adr    19|KD1    1202G      26.0 C  3 35L|Rf        1.18410 m   |HD         15.738 m   |                      | 
For M5|Adr    20|KD1    1202G      26.0 C  3 35L|Rf        1.15688 m   |HD         15.731 m   |                      | 
For M5|Adr    21|KD1      J55      26.0 C  3 35L|Rb        1.43629 m   |HD         15.724 m   |                      | 
For M5|Adr    22|KD1    1202G      26.0 C    35L|                      |                      |Z       100.27941 m   | 
For M5|Adr    23|KD1    1202G      26.0 C  3 35L|Rb        1.35586 m   |HD         18.191 m   |                      | 
For M5|Adr    24|KD1    1203G      26.0 C  3 35L|Rf        1.19124 m   |HD         18.377 m   |                      | 
For M5|Adr    25|KD1    1203G      26.0 C  3 35L|Rf        1.16654 m   |HD         18.385 m   |                      | 
For M5|Adr    26|KD1    1202G      26.0 C  3 35L|Rb        1.33098 m   |HD         18.188 m   |                      | 
For M5|Adr    27|KD1    1203G      26.0 C    35L|                      |                      |Z       100.44394 m   | 
For M5|Adr    28|KD1    1203G      26.0 C  3 35L|Rb        1.40203 m   |HD         19.991 m   |                      | 
For M5|Adr    29|KD1    1204G      26.0 C  3 35L|Rf        0.92254 m   |HD         20.109 m   |                      | 
For M5|Adr    30|KD1    1204G      26.0 C  3 35L|Rf        0.89523 m   |HD         20.120 m   |                      | 
For M5|Adr    31|KD1    1203G      26.0 C  3 35L|Rb        1.37465 m   |HD         19.991 m   |                      | 
For M5|Adr    32|KD1    1204G      26.0 C    35L|                      |                      |Z       100.92339 m   | 
For M5|Adr    33|KD1    1204G      26.0 C  3 35L|Rb        1.58811 m   |HD         13.683 m   |                      | 
