For M5|Adr     1|TO  70JA-69J.dat               |                      |                      |                      | 
For M5|Adr     2|TO  210722 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  748188  72263 72270 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    2L|                      |                      |                      | 
For M5|Adr     3|KD1     J70A                 2L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1     J70A      30.0 C  3  2L|Rb        0.54343 m   |HD          9.044 m   |                      | 
For M5|Adr     5|KD1     42DA      30.0 C  3  2L|Rf        1.73886 m   |HD          8.542 m   |                      | 
For M5|Adr     6|KD1     42DA      30.0 C  3  2L|Rf        1.69751 m   |HD          8.544 m   |                      | 
For M5|Adr     7|KD1     J70A      30.0 C  3  2L|Rb        0.50192 m   |HD          9.040 m   |                      | 
For M5|Adr     8|KD1     42DA      30.0 C     2L|                      |                      |Z        98.80449 m   | 
For M5|Adr     9|KD1     42DA      31.0 C  3  2L|Rb        1.09114 m   |HD          9.619 m   |                      | 
For M5|Adr    10|KD1     43DA      31.0 C  3  2L|Rf        1.68551 m   |HD          9.632 m   |                      | 
For M5|Adr    11|KD1     43DA      31.0 C  3  2L|Rf        1.72427 m   |HD          9.623 m   |                      | 
For M5|Adr    12|KD1     42DA      31.0 C  3  2L|Rb        1.12980 m   |HD          9.631 m   |                      | 
For M5|Adr    13|KD1     43DA      31.0 C     2L|                      |                      |Z        98.21007 m   | 
For M5|Adr    20|KD1     43DA      31.0 C  3  2L|Rb        1.21673 m   |HD          7.004 m   |                      | 
For M5|Adr    21|KD1     44DA      31.0 C  3  2L|Rf        1.66632 m   |HD          7.087 m   |                      | 
For M5|Adr    22|KD1     44DA      31.0 C  3  2L|Rf        1.62214 m   |HD          7.073 m   |                      | 
For M5|Adr    23|KD1     43DA      31.0 C  3  2L|Rb        1.17272 m   |HD          7.031 m   |                      | 
For M5|Adr    24|KD1     44DA      31.0 C     2L|                      |                      |Z        97.76057 m   | 
For M5|Adr    25|KD1     44DA      31.0 C  3  2L|Rb        1.07248 m   |HD         10.396 m   |                      | 
For M5|Adr    26|KD1     45DA      31.0 C  3  2L|Rf        1.47705 m   |HD          9.288 m   |                      | 
For M5|Adr    27|KD1     45DA      31.0 C  3  2L|Rf        1.52967 m   |HD          9.306 m   |                      | 
For M5|Adr    28|KD1     44DA      31.0 C  3  2L|Rb        1.12498 m   |HD         10.387 m   |                      | 
For M5|Adr    29|KD1     45DA      31.0 C     2L|                      |                      |Z        97.35594 m   | 
For M5|Adr    30|KD1     45DA      31.0 C  3  2L|Rb        1.41466 m   |HD         12.926 m   |                      | 
For M5|Adr    31|KD1     46DA      31.0 C  3  2L|Rf        1.45350 m   |HD         13.346 m   |                      | 
For M5|Adr    32|KD1     46DA      31.0 C  3  2L|Rf        1.48781 m   |HD         13.340 m   |                      | 
