For M5|Adr     1|TO  80J-4657.dat               |                      |                      |                      | 
For M5|Adr     2|TO  150822 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  743261  72270 70303 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   96F|                      |                      |                      | 
For M5|Adr     3|KD1      80J                96F|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1      80J      31.0 C  3 96F|Rb        0.89011 m   |HD         29.349 m   |                      | 
For M5|Adr     7|KD1    2083R      31.0 C  3 96F|Rf        1.75490 m   |HD         28.857 m   |                      | 
For M5|Adr     8|KD1    2083R      31.0 C  3 96F|Rf        1.80379 m   |HD         28.863 m   |                      | 
For M5|Adr     9|KD1      80J      31.0 C  3 96F|Rb        0.93899 m   |HD         29.419 m   |                      | 
For M5|Adr    10|KD1    2083R      31.0 C    96F|                      |                      |Z        99.13520 m   | 
For M5|Adr    11|KD1    2083R      31.0 C  3 96F|Rb        0.89614 m   |HD         28.360 m   |                      | 
For M5|Adr    14|KD1    2084R      31.0 C  3 96F|Rf        1.63796 m   |HD         28.643 m   |                      | 
For M5|Adr    15|KD1    2084R      31.0 C  3 96F|Rf        1.68181 m   |HD         28.643 m   |                      | 
For M5|Adr    16|KD1    2083R      31.0 C  3 96F|Rb        0.94019 m   |HD         28.361 m   |                      | 
For M5|Adr    17|KD1    2084R      31.0 C    96F|                      |                      |Z        98.39348 m   | 
For M5|Adr    18|KD1    2084R      31.0 C  3 96F|Rb        0.99637 m   |HD         25.810 m   |                      | 
For M5|Adr    19|KD1    2085R      31.0 C  3 96F|Rf        1.37381 m   |HD         25.923 m   |                      | 
For M5|Adr    20|KD1    2085R      31.0 C  3 96F|Rf        1.40851 m   |HD         25.915 m   |                      | 
For M5|Adr    21|KD1    2084R      31.0 C  3 96F|Rb        1.03094 m   |HD         25.802 m   |                      | 
For M5|Adr    22|KD1    2085R      31.0 C    96F|                      |                      |Z        98.01598 m   | 
For M5|Adr    23|KD1    2085R      31.0 C  3 96F|Rb        1.35511 m   |HD         26.967 m   |                      | 
For M5|Adr    24|KD1    2086R      31.0 C  3 96F|Rf        1.25965 m   |HD         28.014 m   |                      | 
For M5|Adr    25|KD1    2086R      31.0 C  3 96F|Rf        1.31633 m   |HD         28.018 m   |                      | 
For M5|Adr    26|KD1    2085R      31.0 C  3 96F|Rb        1.41176 m   |HD         26.967 m   |                      | 
For M5|Adr    27|KD1    2086R      31.0 C    96F|                      |                      |Z        98.11143 m   | 
