For M5|Adr     1|TO  83J-MR1.dat                |                      |                      |                      | 
For M5|Adr     2|TO  250722 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  72263 72270 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    8L|                      |                      |                      | 
For M5|Adr    17|KD1      J83                 8L|                      |                      |Z       100.00000 m   | 
For M5|Adr    18|KD1      J83      28.0 C  3  8L|Rb        0.92111 m   |HD          6.168 m   |                      | 
For M5|Adr    19|KD1    2370G      28.0 C  3  8L|Rf        1.64737 m   |HD          6.846 m   |                      | 
For M5|Adr    20|KD1    2370G      28.0 C  3  8L|Rf        1.67804 m   |HD          6.834 m   |                      | 
For M5|Adr    21|KD1      J83      28.0 C  3  8L|Rb        0.95167 m   |HD          6.180 m   |                      | 
For M5|Adr    22|KD1    2370G      28.0 C     8L|                      |                      |Z        99.27369 m   | 
For M5|Adr    29|KD1    2370G      28.0 C  3  8L|Rb        0.83288 m   |HD          6.382 m   |                      | 
For M5|Adr    30|KD1    2371G      28.0 C  3  8L|Rf        1.65264 m   |HD          6.500 m   |                      | 
For M5|Adr    31|KD1    2371G      28.0 C  3  8L|Rf        1.68483 m   |HD          6.490 m   |                      | 
For M5|Adr    32|KD1    2370G      28.0 C  3  8L|Rb        0.86516 m   |HD          6.411 m   |                      | 
For M5|Adr    33|KD1    2371G      28.0 C     8L|                      |                      |Z        98.45397 m   | 
For M5|Adr    34|KD1    2371G      28.0 C  3  8L|Rb        0.81953 m   |HD          6.545 m   |                      | 
For M5|Adr    35|KD1    2372G      28.0 C  3  8L|Rf        1.65114 m   |HD          5.996 m   |                      | 
For M5|Adr    36|KD1    2372G      28.0 C  3  8L|Rf        1.67845 m   |HD          5.994 m   |                      | 
For M5|Adr    37|KD1    2371G      28.0 C  3  8L|Rb        0.84678 m   |HD          6.554 m   |                      | 
For M5|Adr    38|KD1    2372G      28.0 C     8L|                      |                      |Z        97.62233 m   | 
For M5|Adr    39|KD1    2372G      28.0 C  3  8L|Rb        0.78240 m   |HD          6.647 m   |                      | 
For M5|Adr    40|KD1    2373G      28.0 C  3  8L|Rf        1.75576 m   |HD          6.608 m   |                      | 
For M5|Adr    41|KD1    2373G      28.0 C  3  8L|Rf        1.73556 m   |HD          6.607 m   |                      | 
For M5|Adr    42|KD1    2372G      28.0 C  3  8L|Rb        0.76211 m   |HD          6.647 m   |                      | 
