For M5|Adr     1|TO  95J-94J.dat                |                      |                      |                      | 
For M5|Adr     2|TO  260722 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  743261  58086 70303 1111   |                      |                      |                      |
For M5|Adr     4|TO  Start-Line       BFFB   73F|                      |                      |                      | 
For M5|Adr     3|KD1      95J                73F|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1      95J      35.0 C  3 73F|Rb        1.52921 m   |HD          8.922 m   |                      | 
For M5|Adr     5|KD1    1484R      35.0 C  3 73F|Rf        1.10364 m   |HD          8.131 m   |                      | 
For M5|Adr     6|KD1    1484R      35.0 C  3 73F|Rf        1.16017 m   |HD          8.130 m   |                      | 
For M5|Adr     7|KD1      95J      35.0 C  3 73F|Rb        1.58579 m   |HD          8.921 m   |                      | 
For M5|Adr     8|KD1    1484R      35.0 C    73F|                      |                      |Z       100.42560 m   | 
For M5|Adr     9|KD1    1484R      36.0 C  3 73F|Rb        1.43298 m   |HD         11.699 m   |                      | 
For M5|Adr    12|KD1    1485R      36.0 C  3 73F|Rf        0.99180 m   |HD         12.163 m   |                      | 
For M5|Adr    13|KD1    1485R      36.0 C  3 73F|Rf        1.04907 m   |HD         12.172 m   |                      | 
For M5|Adr    14|KD1    1484R      36.0 C  3 73F|Rb        1.49016 m   |HD         11.698 m   |                      | 
For M5|Adr    15|KD1    1485R      36.0 C    73F|                      |                      |Z       100.86673 m   | 
For M5|Adr    16|KD1    1485R      36.0 C  3 73F|Rb        1.56324 m   |HD         11.810 m   |                      | 
For M5|Adr    17|KD1    1486R      36.0 C  3 73F|Rf        0.87631 m   |HD         11.797 m   |                      | 
For M5|Adr    18|KD1    1486R      36.0 C  3 73F|Rf        0.94093 m   |HD         11.800 m   |                      | 
For M5|Adr    19|KD1    1485R      36.0 C  3 73F|Rb        1.62783 m   |HD         11.810 m   |                      | 
For M5|Adr    20|KD1    1486R      36.0 C    73F|                      |                      |Z       101.55364 m   | 
For M5|Adr    21|KD1    1486R      36.0 C  3 73F|Rb        1.61046 m   |HD         11.650 m   |                      | 
For M5|Adr    22|KD1    1487R      36.0 C  3 73F|Rf        0.72764 m   |HD         11.647 m   |                      | 
For M5|Adr    23|KD1    1487R      36.0 C  3 73F|Rf        0.79806 m   |HD         11.642 m   |                      | 
For M5|Adr    24|KD1    1486R      36.0 C  3 73F|Rb        1.68084 m   |HD         11.644 m   |                      | 
For M5|Adr    25|KD1    1487R      36.0 C    73F|                      |                      |Z       102.43644 m   | 
For M5|Adr    26|KD1    1487R      36.0 C  3 73F|Rb        1.79237 m   |HD         12.511 m   |                      | 
For M5|Adr    27|KD1    1488R      36.0 C  3 73F|Rf        0.61020 m   |HD         12.870 m   |                      | 
For M5|Adr    28|KD1    1488R      36.0 C  3 73F|Rf        0.68828 m   |HD         12.884 m   |                      | 
For M5|Adr    29|KD1    1487R      36.0 C  3 73F|Rb        1.87036 m   |HD         12.498 m   |                      | 
For M5|Adr    30|KD1    1488R      36.0 C    73F|                      |                      |Z       103.61857 m   | 
For M5|Adr    31|KD1    1488R      36.0 C  3 73F|Rb        1.76103 m   |HD         11.782 m   |                      | 
For M5|Adr    32|KD1    1489R      36.0 C  3 73F|Rf        0.65858 m   |HD         11.025 m   |                      | 
For M5|Adr    33|KD1    1489R      36.0 C  3 73F|Rf        0.74684 m   |HD         11.025 m   |                      | 
For M5|Adr    34|KD1    1488R      36.0 C  3 73F|Rb        1.84931 m   |HD         11.785 m   |                      | 
For M5|Adr    35|KD1    1489R      36.0 C    73F|                      |                      |Z       104.72103 m   | 
For M5|Adr    38|KD1    1489R      36.0 C  3 73F|Rb        1.78394 m   |HD         11.719 m   |                      | 
For M5|Adr    39|KD1    1490R      36.0 C  3 73F|Rf        0.54711 m   |HD         12.347 m   |                      | 
For M5|Adr    40|KD1    1490R      36.0 C  3 73F|Rf        0.59344 m   |HD         12.350 m   |                      | 
For M5|Adr    41|KD1    1489R      36.0 C  3 73F|Rb        1.83027 m   |HD         11.715 m   |                      | 
For M5|Adr    42|KD1    1490R      36.0 C    73F|                      |                      |Z       105.95786 m   | 
