For M5|Adr     1|TO  47J-48J.dat                |                      |                      |                      | 
For M5|Adr     2|TO  300622 Basel               |                      |                      |                      | 
For M5|Adr     3|TO  748188  72263 72270 1131   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   18L|                      |                      |                      | 
For M5|Adr     3|KD1      J47                18L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1      J47      29.0 C  3 18L|Rb        1.50090 m   |HD          8.927 m   |                      | 
For M5|Adr     5|KD1     753G      29.0 C  3 18L|Rf        0.91343 m   |HD          8.898 m   |                      | 
For M5|Adr     6|KD1     753G      29.0 C  3 18L|Rf        0.93465 m   |HD          8.890 m   |                      | 
For M5|Adr     7|KD1      J47      29.0 C  3 18L|Rb        1.52219 m   |HD          8.927 m   |                      | 
For M5|Adr     8|KD1     753G      29.0 C    18L|                      |                      |Z       100.58750 m   | 
For M5|Adr     9|KD1     753G      29.0 C  3 18L|Rb        1.67005 m   |HD          9.318 m   |                      | 
For M5|Adr    10|KD1     754G      29.0 C  3 18L|Rf        0.88263 m   |HD          9.709 m   |                      | 
For M5|Adr    11|KD1     754G      29.0 C  3 18L|Rf        0.90239 m   |HD          9.706 m   |                      | 
For M5|Adr    12|KD1     753G      29.0 C  3 18L|Rb        1.68982 m   |HD          9.321 m   |                      | 
For M5|Adr    13|KD1     754G      29.0 C    18L|                      |                      |Z       101.37493 m   | 
For M5|Adr    14|KD1     754G      29.0 C  3 18L|Rb        1.68030 m   |HD          9.640 m   |                      | 
For M5|Adr    15|KD1     755G      29.0 C  3 18L|Rf        0.88774 m   |HD          9.567 m   |                      | 
For M5|Adr    16|KD1     755G      29.0 C  3 18L|Rf        0.87075 m   |HD          9.573 m   |                      | 
For M5|Adr    17|KD1     754G      29.0 C  3 18L|Rb        1.66328 m   |HD          9.636 m   |                      | 
For M5|Adr    18|KD1     755G      29.0 C    18L|                      |                      |Z       102.16747 m   | 
For M5|Adr    25|KD1     755G      30.0 C  3 18L|Rb        1.62913 m   |HD         16.178 m   |                      | 
For M5|Adr    26|KD1     756G      30.0 C  3 18L|Rf        0.98809 m   |HD         15.894 m   |                      | 
For M5|Adr    27|KD1     756G      30.0 C  3 18L|Rf        0.96656 m   |HD         15.892 m   |                      | 
For M5|Adr    28|KD1     755G      30.0 C  3 18L|Rb        1.60780 m   |HD         16.173 m   |                      | 
For M5|Adr    29|KD1     756G      30.0 C    18L|                      |                      |Z       102.80862 m   | 
For M5|Adr    36|KD1     756G      30.0 C  3 18L|Rb        1.36522 m   |HD         21.957 m   |                      | 
For M5|Adr    37|KD1     757G      30.0 C  3 18L|Rf        1.56469 m   |HD         21.811 m   |                      | 
For M5|Adr    38|KD1     757G      30.0 C  3 18L|Rf        1.55133 m   |HD         21.820 m   |                      | 
For M5|Adr    39|KD1     756G      30.0 C  3 18L|Rb        1.35175 m   |HD         21.957 m   |                      | 
For M5|Adr    40|KD1     757G      30.0 C    18L|                      |                      |Z       102.60909 m   | 
For M5|Adr    41|KD1     757G      30.0 C  3 18L|Rb        0.95788 m   |HD         16.013 m   |                      | 
For M5|Adr    42|KD1     758G      30.0 C  3 18L|Rf        1.26604 m   |HD         16.071 m   |                      | 
For M5|Adr    43|KD1     758G      30.0 C  3 18L|Rf        1.28967 m   |HD         16.078 m   |                      | 
For M5|Adr    44|KD1     757G      30.0 C  3 18L|Rb        0.98155 m   |HD         16.012 m   |                      | 
For M5|Adr    45|KD1     758G      30.0 C    18L|                      |                      |Z       102.30095 m   | 
For M5|Adr    46|KD1     758G      30.0 C  3 18L|Rb        1.06265 m   |HD         24.646 m   |                      | 
For M5|Adr    47|KD1     759G      30.0 C  3 18L|Rf        1.58144 m   |HD         24.502 m   |                      | 
For M5|Adr    48|KD1     759G      30.0 C  3 18L|Rf        1.55645 m   |HD         24.512 m   |                      | 
For M5|Adr    49|KD1     758G      30.0 C  3 18L|Rb        1.03752 m   |HD         24.641 m   |                      | 
