For M5|Adr     1|TO  MR1-83J.dat                |                      |                      |                      | 
For M5|Adr     2|TO  240722 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  72263 72270 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    7L|                      |                      |                      | 
For M5|Adr     3|KD1      MR1                 7L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1      MR1      37.0 C  3  7L|Rb        0.88033 m   |HD          6.617 m   |                      | 
For M5|Adr     5|KD1    2356G      37.0 C  3  7L|Rf        1.14317 m   |HD          6.556 m   |                      | 
For M5|Adr     6|KD1    2356G      37.0 C  3  7L|Rf        1.16372 m   |HD          6.561 m   |                      | 
For M5|Adr     7|KD1      MR1      37.0 C  3  7L|Rb        0.90083 m   |HD          6.618 m   |                      | 
For M5|Adr     8|KD1    2356G      37.0 C     7L|                      |                      |Z        99.73713 m   | 
For M5|Adr     9|KD1    2356G      37.0 C  3  7L|Rb        0.59391 m   |HD          9.930 m   |                      | 
For M5|Adr    10|KD1    2357G      37.0 C  3  7L|Rf        1.76655 m   |HD         10.050 m   |                      | 
For M5|Adr    11|KD1    2357G      37.0 C  3  7L|Rf        1.78968 m   |HD         10.058 m   |                      | 
For M5|Adr    12|KD1    2356G      37.0 C  3  7L|Rb        0.61688 m   |HD          9.927 m   |                      | 
For M5|Adr    13|KD1    2357G      37.0 C     7L|                      |                      |Z        98.56441 m   | 
For M5|Adr    16|KD1    2357G      37.0 C  3  7L|Rb        0.69636 m   |HD          9.205 m   |                      | 
For M5|Adr    17|KD1    2358G      38.0 C  3  7L|Rf        1.79578 m   |HD          9.013 m   |                      | 
For M5|Adr    18|KD1    2358G      38.0 C  3  7L|Rf        1.77323 m   |HD          9.021 m   |                      | 
For M5|Adr    19|KD1    2357G      38.0 C  3  7L|Rb        0.67376 m   |HD          9.196 m   |                      | 
For M5|Adr    20|KD1    2358G      38.0 C     7L|                      |                      |Z        97.46497 m   | 
For M5|Adr    21|KD1    2358G      38.0 C  3  7L|Rb        0.61823 m   |HD          9.879 m   |                      | 
For M5|Adr    22|KD1    2359G      38.0 C  3  7L|Rf        1.86966 m   |HD          9.468 m   |                      | 
For M5|Adr    23|KD1    2359G      38.0 C  3  7L|Rf        1.85026 m   |HD          9.472 m   |                      | 
For M5|Adr    24|KD1    2358G      38.0 C  3  7L|Rb        0.59864 m   |HD          9.878 m   |                      | 
For M5|Adr    25|KD1    2359G      38.0 C     7L|                      |                      |Z        96.21344 m   | 
For M5|Adr    26|KD1    2359G      38.0 C  3  7L|Rb        0.52382 m   |HD          8.726 m   |                      | 
For M5|Adr    27|KD1    2360G      38.0 C  3  7L|Rf        1.88728 m   |HD          8.498 m   |                      | 
For M5|Adr    28|KD1    2360G      38.0 C  3  7L|Rf        1.87012 m   |HD          8.499 m   |                      | 
For M5|Adr    29|KD1    2359G      38.0 C  3  7L|Rb        0.50649 m   |HD          8.723 m   |                      | 
For M5|Adr    30|KD1    2360G      38.0 C     7L|                      |                      |Z        94.84990 m   | 
For M5|Adr    31|KD1    2360G      38.0 C  3  7L|Rb        0.52498 m   |HD         11.505 m   |                      | 
For M5|Adr    32|KD1    2361G      38.0 C  3  7L|Rf        1.76397 m   |HD         11.223 m   |                      | 
For M5|Adr    33|KD1    2361G      38.0 C  3  7L|Rf        1.78104 m   |HD         11.221 m   |                      | 
For M5|Adr    34|KD1    2360G      38.0 C  3  7L|Rb        0.54192 m   |HD         11.502 m   |                      | 
For M5|Adr    35|KD1    2361G      38.0 C     7L|                      |                      |Z        93.61085 m   | 
For M5|Adr    36|KD1    2361G      38.0 C  3  7L|Rb        0.75553 m   |HD         16.941 m   |                      | 
For M5|Adr    37|KD1    2362G      38.0 C  3  7L|Rf        1.76884 m   |HD         16.999 m   |                      | 
For M5|Adr    38|KD1    2362G      38.0 C  3  7L|Rf        1.75188 m   |HD         16.990 m   |                      | 
For M5|Adr    39|KD1    2361G      38.0 C  3  7L|Rb        0.73843 m   |HD         16.947 m   |                      | 
For M5|Adr    40|KD1    2362G      38.0 C     7L|                      |                      |Z        92.59746 m   | 
For M5|Adr    41|KD1    2362G      38.0 C  3  7L|Rb        0.94760 m   |HD         20.980 m   |                      | 
For M5|Adr    42|KD1    2363G      38.0 C  3  7L|Rf        1.02259 m   |HD         21.163 m   |                      | 
For M5|Adr    43|KD1    2363G      38.0 C  3  7L|Rf        1.04233 m   |HD         21.159 m   |                      | 
For M5|Adr    44|KD1    2362G      38.0 C  3  7L|Rb        0.96734 m   |HD         20.981 m   |                      | 
For M5|Adr    45|KD1    2363G      38.0 C     7L|                      |                      |Z        92.52248 m   | 
For M5|Adr    52|KD1    2363G      39.0 C  3  7L|Rb        1.53065 m   |HD          9.352 m   |                      | 
For M5|Adr    53|KD1    2364G      39.0 C  3  7L|Rf        0.55470 m   |HD          9.152 m   |                      | 
For M5|Adr    54|KD1    2364G      39.0 C  3  7L|Rf        0.52811 m   |HD          9.161 m   |                      | 
For M5|Adr    55|KD1    2363G      39.0 C  3  7L|Rb        1.50405 m   |HD          9.348 m   |                      | 
For M5|Adr    56|KD1    2364G      39.0 C     7L|                      |                      |Z        93.49842 m   | 
For M5|Adr    57|KD1    2364G      39.0 C  3  7L|Rb        1.82419 m   |HD          6.221 m   |                      | 
For M5|Adr    58|KD1    2365G      39.0 C  3  7L|Rf        0.69934 m   |HD          6.862 m   |                      | 
For M5|Adr    59|KD1    2365G      39.0 C  3  7L|Rf        0.68398 m   |HD          6.843 m   |                      | 
For M5|Adr    60|KD1    2364G      39.0 C  3  7L|Rb        1.80879 m   |HD          6.221 m   |                      | 
For M5|Adr    61|KD1    2365G      39.0 C     7L|                      |                      |Z        94.62325 m   | 
For M5|Adr    62|KD1    2365G      39.0 C  3  7L|Rb        1.75379 m   |HD          6.962 m   |                      | 
For M5|Adr    63|KD1    2366G      39.0 C  3  7L|Rf        0.68288 m   |HD          7.219 m   |                      | 
For M5|Adr    64|KD1    2366G      39.0 C  3  7L|Rf        0.66593 m   |HD          7.217 m   |                      | 
For M5|Adr    65|KD1    2365G      39.0 C  3  7L|Rb        1.73674 m   |HD          6.964 m   |                      | 
For M5|Adr    66|KD1    2366G      39.0 C     7L|                      |                      |Z        95.69411 m   | 
For M5|Adr    67|KD1    2366G      39.0 C  3  7L|Rb        1.85153 m   |HD          8.466 m   |                      | 
For M5|Adr    68|KD1    2367G      39.0 C  3  7L|Rf        0.59261 m   |HD          8.203 m   |                      | 
For M5|Adr    69|KD1    2367G      39.0 C  3  7L|Rf        0.57435 m   |HD          8.207 m   |                      | 
For M5|Adr    70|KD1    2366G      39.0 C  3  7L|Rb        1.83341 m   |HD          8.468 m   |                      | 
For M5|Adr    71|KD1    2367G      39.0 C     7L|                      |                      |Z        96.95310 m   | 
For M5|Adr    72|KD1    2367G      39.0 C  3  7L|Rb        1.80238 m   |HD          9.049 m   |                      | 
For M5|Adr    73|KD1    2368G      39.0 C  3  7L|Rf        0.57811 m   |HD          9.623 m   |                      | 
For M5|Adr    74|KD1    2368G      39.0 C  3  7L|Rf        0.56565 m   |HD          9.622 m   |                      | 
For M5|Adr    75|KD1    2367G      39.0 C  3  7L|Rb        1.78987 m   |HD          9.052 m   |                      | 
For M5|Adr    76|KD1    2368G      39.0 C     7L|                      |                      |Z        98.17735 m   | 
For M5|Adr    79|KD1    2368G      39.0 C  3  7L|Rb        1.40687 m   |HD          3.323 m   |                      | 
For M5|Adr    80|KD1    2369G      39.0 C  3  7L|Rf        0.97207 m   |HD          3.568 m   |                      | 
For M5|Adr    81|KD1    2369G      39.0 C  3  7L|Rf        0.99147 m   |HD          3.579 m   |                      | 
For M5|Adr    82|KD1    2368G      39.0 C  3  7L|Rb        1.42614 m   |HD          3.311 m   |                      | 
For M5|Adr    83|KD1    2369G      39.0 C     7L|                      |                      |Z        98.61208 m   | 
For M5|Adr    84|KD1    2369G      39.0 C  3  7L|Rb        1.48220 m   |HD          4.165 m   |                      | 
For M5|Adr    85|KD1    2370G      39.0 C  3  7L|Rf        0.98433 m   |HD          3.870 m   |                      | 
For M5|Adr    86|KD1    2370G      39.0 C  3  7L|Rf        0.96951 m   |HD          3.866 m   |                      | 
For M5|Adr    87|KD1    2369G      39.0 C  3  7L|Rb        1.46726 m   |HD          4.175 m   |                      | 
For M5|Adr    88|KD1    2370G      39.0 C     7L|                      |                      |Z        99.10989 m   | 
For M5|Adr    89|KD1    2370G      38.0 C  3  7L|Rb        1.36414 m   |HD          2.601 m   |                      | 
For M5|Adr    90|KD1      J83      38.0 C  3  7L|Rf        1.10970 m   |HD          2.762 m   |                      | 
For M5|Adr    91|KD1      J83      38.0 C  3  7L|Rf        1.13468 m   |HD          2.773 m   |                      | 
For M5|Adr    92|KD1    2370G      38.0 C  3  7L|Rb        1.38920 m   |HD          2.592 m   |                      | 
For M5|Adr    93|KD1      J83      38.0 C     7L|                      |                      |Z        99.36437 m   | 
For M5|Adr    94|KD1      J83                 7L|Sh       -0.63563 m   |dz        0.63563 m   |Z       100.00000 m   | 
For M5|Adr    95|KD2      J83       16        7L|Db         143.91 m   |Df         144.24 m   |Z        99.36437 m   | 
For M5|Adr    96|TO  End-Line                 7L|                      |                      |                      | 
