For M5|Adr     1|TO  1533JAD-1509U.dat             |                      |                      |                      | 
For M5|Adr     2|TO  080522 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  749230  72260 70303 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    1L|                      |                      |                      | 
For M5|Adr    10|KD1  JAD1533                 1L|                      |                      |Z       100.00000 m   | 
For M5|Adr    13|KD1  JAD1533      21.0 C  3  1L|Rb        1.81097 m   |HD         10.389 m   |                      | 
For M5|Adr    14|KD1     514A      21.0 C  3  1L|Rf        0.78787 m   |HD         10.253 m   |                      | 
For M5|Adr    15|KD1     514A      21.0 C  3  1L|Rf        0.73638 m   |HD         10.254 m   |                      | 
For M5|Adr    16|KD1  JAD1533      21.0 C  3  1L|Rb        1.75950 m   |HD         10.383 m   |                      | 
For M5|Adr    17|KD1     514A      21.0 C     1L|                      |                      |Z       101.02311 m   | 
For M5|Adr    18|KD1     514A      21.0 C  3  1L|Rb        1.55453 m   |HD          8.691 m   |                      | 
For M5|Adr    19|KD1     515A      21.0 C  3  1L|Rf        0.84776 m   |HD          9.039 m   |                      | 
For M5|Adr    20|KD1     515A      21.0 C  3  1L|Rf        0.89619 m   |HD          9.036 m   |                      | 
For M5|Adr    21|KD1     514A      21.0 C  3  1L|Rb        1.60294 m   |HD          8.692 m   |                      | 
For M5|Adr    22|KD1     515A      21.0 C     1L|                      |                      |Z       101.72987 m   | 
For M5|Adr    23|KD1     515A      21.0 C  3  1L|Rb        1.57242 m   |HD          6.407 m   |                      | 
For M5|Adr    24|KD1     516A      21.0 C  3  1L|Rf        0.99600 m   |HD          6.894 m   |                      | 
For M5|Adr    25|KD1     516A      21.0 C  3  1L|Rf        1.07034 m   |HD          6.896 m   |                      | 
For M5|Adr    26|KD1     515A      21.0 C  3  1L|Rb        1.64674 m   |HD          6.408 m   |                      | 
For M5|Adr    27|KD1     516A      21.0 C     1L|                      |                      |Z       102.30628 m   | 
For M5|Adr    28|KD1     516A      21.0 C  3  1L|Rb        1.68701 m   |HD          8.210 m   |                      | 
For M5|Adr    29|KD1     517A      21.0 C  3  1L|Rf        0.99729 m   |HD          8.052 m   |                      | 
For M5|Adr    30|KD1     517A      21.0 C  3  1L|Rf        1.05588 m   |HD          8.053 m   |                      | 
For M5|Adr    31|KD1     516A      21.0 C  3  1L|Rb        1.74546 m   |HD          8.197 m   |                      | 
For M5|Adr    32|KD1     517A      21.0 C     1L|                      |                      |Z       102.99593 m   | 
For M5|Adr    33|KD1     517A      21.0 C  3  1L|Rb        1.61317 m   |HD          7.330 m   |                      | 
For M5|Adr    34|KD1     518A      21.0 C  3  1L|Rf        1.02716 m   |HD          7.458 m   |                      | 
For M5|Adr    35|KD1     518A      21.0 C  3  1L|Rf        1.08894 m   |HD          7.449 m   |                      | 
For M5|Adr    36|KD1     517A      21.0 C  3  1L|Rb        1.67493 m   |HD          7.342 m   |                      | 
For M5|Adr    37|KD1     518A      21.0 C     1L|                      |                      |Z       103.58193 m   | 
For M5|Adr    38|KD1     518A      21.0 C  3  1L|Rb        1.58336 m   |HD          6.962 m   |                      | 
For M5|Adr    39|KD1     519A      21.0 C  3  1L|Rf        1.06451 m   |HD          6.878 m   |                      | 
For M5|Adr    40|KD1     519A      21.0 C  3  1L|Rf        1.14085 m   |HD          6.854 m   |                      | 
For M5|Adr    41|KD1     518A      21.0 C  3  1L|Rb        1.65970 m   |HD          6.987 m   |                      | 
For M5|Adr    42|KD1     519A      21.0 C     1L|                      |                      |Z       104.10078 m   | 
For M5|Adr    43|KD1     519A      21.0 C  3  1L|Rb        1.59353 m   |HD          8.262 m   |                      | 
For M5|Adr    44|KD1     520A      21.0 C  3  1L|Rf        0.98468 m   |HD          8.598 m   |                      | 
For M5|Adr    45|KD1     520A      21.0 C  3  1L|Rf        1.06149 m   |HD          8.593 m   |                      | 
For M5|Adr    46|KD1     519A      21.0 C  3  1L|Rb        1.67035 m   |HD          8.267 m   |                      | 
For M5|Adr    47|KD1     520A      21.0 C     1L|                      |                      |Z       104.70963 m   | 
For M5|Adr    48|KD1     520A      21.0 C  3  1L|Rb        1.66426 m   |HD          8.876 m   |                      | 
For M5|Adr    49|KD1     521A      21.0 C  3  1L|Rf        0.96597 m   |HD          9.181 m   |                      | 
For M5|Adr    50|KD1     521A      21.0 C  3  1L|Rf        1.01736 m   |HD          9.176 m   |                      | 
For M5|Adr    51|KD1     520A      21.0 C  3  1L|Rb        1.71555 m   |HD          8.870 m   |                      | 
For M5|Adr    52|KD1     521A      21.0 C     1L|                      |                      |Z       105.40787 m   | 
For M5|Adr    53|KD1     521A      21.0 C  3  1L|Rb        1.68584 m   |HD          9.321 m   |                      | 
For M5|Adr    54|KD1     522A      21.0 C  3  1L|Rf        0.93085 m   |HD          9.860 m   |                      | 
For M5|Adr    55|KD1     522A      21.0 C  3  1L|Rf        0.99739 m   |HD          9.870 m   |                      | 
For M5|Adr    56|KD1     521A      21.0 C  3  1L|Rb        1.75245 m   |HD          9.312 m   |                      | 
For M5|Adr    57|KD1     522A      21.0 C     1L|                      |                      |Z       106.16290 m   | 
For M5|Adr    58|KD1     522A      21.0 C  3  1L|Rb        1.69774 m   |HD          9.867 m   |                      | 
For M5|Adr    59|KD1     523A      21.0 C  3  1L|Rf        0.89041 m   |HD          9.350 m   |                      | 
