For M5|Adr     1|TO  4070MPI-1501U.dat             |                      |                      |                      | 
For M5|Adr     2|TO  160522 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  748188  70303 72270 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    5L|                      |                      |                      | 
For M5|Adr     6|KD1     4070MPI              5L|                      |                      |Z       100.00000 m   | 
For M5|Adr     7|KD1     4070MPI   29.0 C  3  5L|Rb        0.55730 m   |HD          8.390 m   |                      | 
For M5|Adr     8|KD1      40R      29.0 C  3  5L|Rf        1.67343 m   |HD          8.643 m   |                      | 
For M5|Adr     9|KD1      40R      29.0 C  3  5L|Rf        1.72222 m   |HD          8.649 m   |                      | 
For M5|Adr    10|KD1     4070MPI   30.0 C  3  5L|Rb        0.60601 m   |HD          8.392 m   |                      | 
For M5|Adr    11|KD1      40R      30.0 C     5L|                      |                      |Z        98.88383 m   | 
For M5|Adr    12|KD1      40R      30.0 C  3  5L|Rb        0.52895 m   |HD          7.013 m   |                      | 
For M5|Adr    13|KD1      41R      30.0 C  3  5L|Rf        1.67294 m   |HD          6.969 m   |                      | 
For M5|Adr    14|KD1      41R      30.0 C  3  5L|Rf        1.73062 m   |HD          6.966 m   |                      | 
For M5|Adr    15|KD1      40R      30.0 C  3  5L|Rb        0.58648 m   |HD          7.015 m   |                      | 
For M5|Adr    16|KD1      41R      30.0 C     5L|                      |                      |Z        97.73977 m   | 
For M5|Adr    17|KD1      41R      30.0 C  3  5L|Rb        0.53561 m   |HD          8.610 m   |                      | 
For M5|Adr    18|KD1      42R      30.0 C  3  5L|Rf        1.75815 m   |HD          9.351 m   |                      | 
For M5|Adr    19|KD1      42R      30.0 C  3  5L|Rf        1.82619 m   |HD          9.342 m   |                      | 
For M5|Adr    20|KD1      41R      30.0 C  3  5L|Rb        0.60367 m   |HD          8.618 m   |                      | 
For M5|Adr    21|KD1      42R      30.0 C     5L|                      |                      |Z        96.51724 m   | 
For M5|Adr    22|KD1      42R      30.0 C  3  5L|Rb        0.63614 m   |HD          8.894 m   |                      | 
For M5|Adr    23|KD1      43R      30.0 C  3  5L|Rf        1.72796 m   |HD          9.028 m   |                      | 
For M5|Adr    24|KD1      43R      31.0 C  3  5L|Rf        1.78087 m   |HD          9.025 m   |                      | 
For M5|Adr    25|KD1      42R      31.0 C  3  5L|Rb        0.68897 m   |HD          8.898 m   |                      | 
For M5|Adr    26|KD1      43R      31.0 C     5L|                      |                      |Z        95.42538 m   | 
For M5|Adr    33|KD1      43R      31.0 C  3  5L|Rb        0.57528 m   |HD          8.891 m   |                      | 
For M5|Adr    34|KD1      44R      31.0 C  3  5L|Rf        1.77132 m   |HD          8.607 m   |                      | 
For M5|Adr    35|KD1      44R      31.0 C  3  5L|Rf        1.85941 m   |HD          8.607 m   |                      | 
