For M5|Adr     1|TO  4568-1502U.dat                |                      |                      |                      | 
For M5|Adr     2|TO  210422 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  749230  72263 72270 1122   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    2L|                      |                      |                      | 
For M5|Adr     3|KD1     4568                 2L|                      |                      |Z       100.00000 m   | 
For M5|Adr    16|KD1     4568      27.0 C  3  2L|Rb        1.33308 m   |HD          8.928 m   |                      | 
For M5|Adr    17|KD1     115A      27.0 C  3  2L|Rf        1.61592 m   |HD          8.651 m   |                      | 
For M5|Adr    18|KD1     115A      27.0 C  3  2L|Rf        1.55585 m   |HD          8.668 m   |                      | 
For M5|Adr    19|KD1     4568      27.0 C  3  2L|Rb        1.27305 m   |HD          8.933 m   |                      | 
For M5|Adr    20|KD1     115A      27.0 C     2L|                      |                      |Z        99.71718 m   | 
For M5|Adr    21|KD1     115A      27.0 C  3  2L|Rb        1.64457 m   |HD         10.452 m   |                      | 
For M5|Adr    22|KD1     116A      27.0 C  3  2L|Rf        0.63410 m   |HD         10.527 m   |                      | 
For M5|Adr    23|KD1     116A      27.0 C  3  2L|Rf        0.57683 m   |HD         10.511 m   |                      | 
For M5|Adr    24|KD1     115A      27.0 C  3  2L|Rb        1.58739 m   |HD         10.494 m   |                      | 
For M5|Adr    25|KD1     116A      27.0 C     2L|                      |                      |Z       100.72769 m   | 
For M5|Adr    26|KD1     116A      27.0 C  3  2L|Rb        1.00141 m   |HD         19.300 m   |                      | 
For M5|Adr    27|KD1     117A      27.0 C  3  2L|Rf        1.71539 m   |HD         19.213 m   |                      | 
For M5|Adr    28|KD1     117A      27.0 C  3  2L|Rf        1.75963 m   |HD         19.182 m   |                      | 
For M5|Adr    29|KD1     116A      27.0 C  3  2L|Rb        1.04556 m   |HD         19.339 m   |                      | 
For M5|Adr    30|KD1     117A      27.0 C     2L|                      |                      |Z       100.01367 m   | 
For M5|Adr    31|KD1     117A      27.0 C  3  2L|Rb        0.96927 m   |HD         18.420 m   |                      | 
For M5|Adr    32|KD1     118A      27.0 C  3  2L|Rf        1.62191 m   |HD         18.857 m   |                      | 
For M5|Adr    33|KD1     118A      27.0 C  3  2L|Rf        1.66929 m   |HD         18.868 m   |                      | 
For M5|Adr    34|KD1     117A      27.0 C  3  2L|Rb        1.01670 m   |HD         18.414 m   |                      | 
For M5|Adr    35|KD1     118A      27.0 C     2L|                      |                      |Z        99.36105 m   | 
For M5|Adr    42|KD1     118A      27.0 C  3  2L|Rb        1.16429 m   |HD         17.673 m   |                      | 
For M5|Adr    43|KD1     119A      27.0 C  3  2L|Rf        1.71920 m   |HD         18.270 m   |                      | 
For M5|Adr    44|KD1     119A      27.0 C  3  2L|Rf        1.66859 m   |HD         18.290 m   |                      | 
For M5|Adr    45|KD1     118A      27.0 C  3  2L|Rb        1.11352 m   |HD         17.650 m   |                      | 
For M5|Adr    46|KD1     119A      27.0 C     2L|                      |                      |Z        98.80606 m   | 
For M5|Adr    47|KD1     119A      27.0 C  3  2L|Rb        1.08907 m   |HD         19.854 m   |                      | 
For M5|Adr    48|KD1     120A      27.0 C  3  2L|Rf        1.72528 m   |HD         19.571 m   |                      | 
For M5|Adr    49|KD1     120A      27.0 C  3  2L|Rf        1.76554 m   |HD         19.559 m   |                      | 
For M5|Adr    50|KD1     119A      27.0 C  3  2L|Rb        1.12943 m   |HD         19.858 m   |                      | 
For M5|Adr    51|KD1     120A      27.0 C     2L|                      |                      |Z        98.16990 m   | 
For M5|Adr    52|KD1     120A      27.0 C  3  2L|Rb        0.89527 m   |HD         22.221 m   |                      | 
For M5|Adr    53|KD1     121A      27.0 C  3  2L|Rf        1.73714 m   |HD         22.682 m   |                      | 
For M5|Adr    54|KD1     121A      27.0 C  3  2L|Rf        1.80802 m   |HD         22.661 m   |                      | 
For M5|Adr    55|KD1     120A      27.0 C  3  2L|Rb        0.96613 m   |HD         22.239 m   |                      | 
For M5|Adr    56|KD1     121A      27.0 C     2L|                      |                      |Z        97.32802 m   | 
For M5|Adr    57|KD1     121A      27.0 C  3  2L|Rb        1.01736 m   |HD         19.570 m   |                      | 
For M5|Adr    58|KD1     122A      27.0 C  3  2L|Rf        1.59566 m   |HD         19.353 m   |                      | 
For M5|Adr    59|KD1     122A      27.0 C  3  2L|Rf        1.69232 m   |HD         19.337 m   |                      | 
For M5|Adr    60|KD1     121A      27.0 C  3  2L|Rb        1.11388 m   |HD         19.587 m   |                      | 
For M5|Adr    61|KD1     122A      27.0 C     2L|                      |                      |Z        96.74965 m   | 
For M5|Adr    62|KD1     122A      27.0 C  3  2L|Rb        0.87094 m   |HD         21.178 m   |                      | 
For M5|Adr    65|KD1     123A      27.0 C  3  2L|Rf        1.73934 m   |HD         21.857 m   |                      | 
For M5|Adr    66|KD1     123A      27.0 C  3  2L|Rf        1.80904 m   |HD         21.843 m   |                      | 
For M5|Adr    67|KD1     122A      27.0 C  3  2L|Rb        0.94044 m   |HD         21.183 m   |                      | 
For M5|Adr    68|KD1     123A      27.0 C     2L|                      |                      |Z        95.88115 m   | 
For M5|Adr    69|KD1     123A      27.0 C  3  2L|Rb        1.11955 m   |HD         16.515 m   |                      | 
For M5|Adr    70|KD1     124A      27.0 C  3  2L|Rf        1.70246 m   |HD         16.947 m   |                      | 
For M5|Adr    71|KD1     124A      27.0 C  3  2L|Rf        1.76502 m   |HD         16.948 m   |                      | 
For M5|Adr    72|KD1     123A      27.0 C  3  2L|Rb        1.18204 m   |HD         16.544 m   |                      | 
For M5|Adr    73|KD1     124A      27.0 C     2L|                      |                      |Z        95.29821 m   | 
For M5|Adr    74|KD1     124A      27.0 C  3  2L|Rb        1.03225 m   |HD         17.257 m   |                      | 
For M5|Adr    75|KD1     125A      27.0 C  3  2L|Rf        1.62040 m   |HD         17.259 m   |                      | 
For M5|Adr    76|KD1     125A      27.0 C  3  2L|Rf        1.66855 m   |HD         17.259 m   |                      | 
For M5|Adr    77|KD1     124A      27.0 C  3  2L|Rb        1.08054 m   |HD         17.260 m   |                      | 
For M5|Adr    78|KD1     125A      27.0 C     2L|                      |                      |Z        94.71013 m   | 
For M5|Adr    85|KD1     125A      27.0 C  3  2L|Rb        1.01748 m   |HD         23.934 m   |                      | 
For M5|Adr    86|KD1     126A      27.0 C  3  2L|Rf        1.79707 m   |HD         23.014 m   |                      | 
For M5|Adr    87|KD1     126A      27.0 C  3  2L|Rf        1.73314 m   |HD         22.996 m   |                      | 
For M5|Adr    88|KD1     125A      27.0 C  3  2L|Rb        0.95360 m   |HD         23.921 m   |                      | 
For M5|Adr    89|KD1     126A      27.0 C     2L|                      |                      |Z        93.93056 m   | 
For M5|Adr    96|KD1     126A      27.0 C  3  2L|Rb        1.03661 m   |HD         19.303 m   |                      | 
For M5|Adr    97|KD1     127A      27.0 C  3  2L|Rf        1.81270 m   |HD         18.205 m   |                      | 
For M5|Adr    98|KD1     127A      27.0 C  3  2L|Rf        1.74824 m   |HD         18.316 m   |                      | 
For M5|Adr    99|KD1     126A      27.0 C  3  2L|Rb        0.97216 m   |HD         19.190 m   |                      | 
For M5|Adr   100|KD1     127A      27.0 C     2L|                      |                      |Z        93.15448 m   | 
For M5|Adr   101|KD1     127A      27.0 C  3  2L|Rb        0.94416 m   |HD         18.159 m   |                      | 
For M5|Adr   102|KD1     128A      27.0 C  3  2L|Rf        1.61379 m   |HD         17.787 m   |                      | 
For M5|Adr   103|KD1     128A      27.0 C  3  2L|Rf        1.66965 m   |HD         17.718 m   |                      | 
For M5|Adr   104|KD1     127A      27.0 C  3  2L|Rb        1.00017 m   |HD         18.165 m   |                      | 
For M5|Adr   105|KD1     128A      27.0 C     2L|                      |                      |Z        92.48492 m   | 
For M5|Adr   106|KD1     128A      27.0 C  3  2L|Rb        1.02894 m   |HD         20.897 m   |                      | 
For M5|Adr   107|KD1     129A      27.0 C  3  2L|Rf        1.81303 m   |HD         21.851 m   |                      | 
For M5|Adr   108|KD1     129A      27.0 C  3  2L|Rf        1.75072 m   |HD         21.858 m   |                      | 
For M5|Adr   109|KD1     128A      27.0 C  3  2L|Rb        0.96652 m   |HD         20.892 m   |                      | 
For M5|Adr   110|KD1     129A      27.0 C     2L|                      |                      |Z        91.70078 m   | 
For M5|Adr   111|KD1     129A      27.0 C  3  2L|Rb        1.05616 m   |HD         16.863 m   |                      | 
For M5|Adr   112|KD1     130A      27.0 C  3  2L|Rf        1.54253 m   |HD         17.054 m   |                      | 
For M5|Adr   113|KD1     130A      27.0 C  3  2L|Rf        1.61708 m   |HD         17.065 m   |                      | 
For M5|Adr   114|KD1     129A      27.0 C  3  2L|Rb        1.13061 m   |HD         16.843 m   |                      | 
For M5|Adr   115|KD1     130A      27.0 C     2L|                      |                      |Z        91.21436 m   | 
For M5|Adr   116|KD1     130A      27.0 C  3  2L|Rb        0.99381 m   |HD         17.463 m   |                      | 
For M5|Adr   117|KD1     131A      27.0 C  3  2L|Rf        1.57280 m   |HD         17.726 m   |                      | 
For M5|Adr   118|KD1     131A      27.0 C  3  2L|Rf        1.64039 m   |HD         17.735 m   |                      | 
For M5|Adr   119|KD1     130A      27.0 C  3  2L|Rb        1.06145 m   |HD         17.457 m   |                      | 
For M5|Adr   120|KD1     131A      27.0 C     2L|                      |                      |Z        90.63539 m   | 
For M5|Adr   121|KD1     131A      27.0 C  3  2L|Rb        1.14327 m   |HD         19.168 m   |                      | 
For M5|Adr   122|KD1     132A      27.0 C  3  2L|Rf        1.66176 m   |HD         19.240 m   |                      | 
For M5|Adr   123|KD1     132A      27.0 C  3  2L|Rf        1.70142 m   |HD         19.199 m   |                      | 
For M5|Adr   124|KD1     131A      27.0 C  3  2L|Rb        1.18278 m   |HD         19.203 m   |                      | 
For M5|Adr   125|KD1     132A      27.0 C     2L|                      |                      |Z        90.11683 m   | 
For M5|Adr   126|KD1     132A      27.0 C  3  2L|Rb        0.96766 m   |HD         21.313 m   |                      | 
For M5|Adr   127|KD1     133A      27.0 C  3  2L|Rf        1.62722 m   |HD         21.782 m   |                      | 
For M5|Adr   128|KD1     133A      27.0 C  3  2L|Rf        1.67859 m   |HD         21.789 m   |                      | 
For M5|Adr   129|KD1     132A      27.0 C  3  2L|Rb        1.01893 m   |HD         21.303 m   |                      | 
For M5|Adr   130|KD1     133A      27.0 C     2L|                      |                      |Z        89.45722 m   | 
For M5|Adr   131|KD1     133A      27.0 C  3  2L|Rb        0.97069 m   |HD         21.643 m   |                      | 
For M5|Adr   132|KD1     134A      27.0 C  3  2L|Rf        1.64892 m   |HD         21.781 m   |                      | 
For M5|Adr   133|KD1     134A      27.0 C  3  2L|Rf        1.71835 m   |HD         21.810 m   |                      | 
For M5|Adr   134|KD1     133A      27.0 C  3  2L|Rb        1.04002 m   |HD         21.600 m   |                      | 
For M5|Adr   135|KD1     134A      27.0 C     2L|                      |                      |Z        88.77894 m   | 
For M5|Adr   136|KD1     134A      27.0 C  3  2L|Rb        1.09205 m   |HD         19.727 m   |                      | 
For M5|Adr   137|KD1     135A      27.0 C  3  2L|Rf        1.68960 m   |HD         19.924 m   |                      | 
For M5|Adr   138|KD1     135A      27.0 C  3  2L|Rf        1.75446 m   |HD         19.889 m   |                      | 
For M5|Adr   139|KD1     134A      27.0 C  3  2L|Rb        1.15695 m   |HD         19.759 m   |                      | 
For M5|Adr   140|KD1     135A      27.0 C     2L|                      |                      |Z        88.18141 m   | 
For M5|Adr   147|KD1     135A      27.0 C  3  2L|Rb        1.04581 m   |HD         20.844 m   |                      | 
For M5|Adr   148|KD1     136A      27.0 C  3  2L|Rf        1.65006 m   |HD         20.456 m   |                      | 
For M5|Adr   149|KD1     136A      27.0 C  3  2L|Rf        1.58216 m   |HD         20.456 m   |                      | 
For M5|Adr   150|KD1     135A      27.0 C  3  2L|Rb        0.97788 m   |HD         20.842 m   |                      | 
For M5|Adr   151|KD1     136A      27.0 C     2L|                      |                      |Z        87.57714 m   | 
For M5|Adr   152|KD1     136A      27.0 C  3  2L|Rb        1.15282 m   |HD         17.704 m   |                      | 
For M5|Adr   153|KD1     137A      28.0 C  3  2L|Rf        1.68016 m   |HD         18.255 m   |                      | 
For M5|Adr   154|KD1     137A      28.0 C  3  2L|Rf        1.72087 m   |HD         18.262 m   |                      | 
For M5|Adr   155|KD1     136A      28.0 C  3  2L|Rb        1.19350 m   |HD         17.706 m   |                      | 
For M5|Adr   156|KD1     137A      28.0 C     2L|                      |                      |Z        87.04979 m   | 
For M5|Adr   157|KD1     137A      28.0 C  3  2L|Rb        0.99417 m   |HD         15.945 m   |                      | 
For M5|Adr   158|KD1     138A      28.0 C  3  2L|Rf        1.48088 m   |HD         16.573 m   |                      | 
For M5|Adr   159|KD1     138A      28.0 C  3  2L|Rf        1.55152 m   |HD         16.560 m   |                      | 
For M5|Adr   160|KD1     137A      27.0 C  3  2L|Rb        1.06469 m   |HD         15.962 m   |                      | 
For M5|Adr   161|KD1     138A      27.0 C     2L|                      |                      |Z        86.56302 m   | 
For M5|Adr   168|KD1     138A      28.0 C  3  2L|Rb        1.10120 m   |HD         19.140 m   |                      | 
For M5|Adr   169|KD1     139A      28.0 C  3  2L|Rf        1.65201 m   |HD         19.173 m   |                      | 
For M5|Adr   170|KD1     139A      28.0 C  3  2L|Rf        1.69309 m   |HD         19.150 m   |                      | 
For M5|Adr   171|KD1     138A      28.0 C  3  2L|Rb        1.14225 m   |HD         19.163 m   |                      | 
