For M5|Adr     1|TO  1565U-1564U.da                 |                      |                      |                      | 
For M5|Adr     2|TO  110722 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  58086 70303 1132   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   43L|                      |                      |                      | 
For M5|Adr     3|KD1    1565U                43L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1    1565U      32.0 C  3 43L|Rb        0.83561 m   |HD          6.428 m   |                      | 
For M5|Adr     5|KD1    1447G      32.0 C  3 43L|Rf        1.69961 m   |HD          6.599 m   |                      | 
For M5|Adr     6|KD1    1447G      32.0 C  3 43L|Rf        1.68003 m   |HD          6.591 m   |                      | 
For M5|Adr     7|KD1    1565U      32.0 C  3 43L|Rb        0.81586 m   |HD          6.425 m   |                      | 
For M5|Adr     8|KD1    1447G      32.0 C    43L|                      |                      |Z        99.13591 m   | 
For M5|Adr     9|KD1    1447G      31.0 C  3 43L|Rb        0.80513 m   |HD          6.405 m   |                      | 
For M5|Adr    10|KD1    1448G      31.0 C  3 43L|Rf        1.72894 m   |HD          6.812 m   |                      | 
For M5|Adr    11|KD1    1448G      31.0 C  3 43L|Rf        1.71011 m   |HD          6.814 m   |                      | 
For M5|Adr    12|KD1    1447G      31.0 C  3 43L|Rb        0.78623 m   |HD          6.405 m   |                      | 
For M5|Adr    13|KD1    1448G      31.0 C    43L|                      |                      |Z        98.21207 m   | 
For M5|Adr    14|KD1    1448G      31.0 C  3 43L|Rb        0.75547 m   |HD          6.083 m   |                      | 
For M5|Adr    15|KD1    1449G      31.0 C  3 43L|Rf        1.69730 m   |HD          6.003 m   |                      | 
For M5|Adr    16|KD1    1449G      31.0 C  3 43L|Rf        1.71563 m   |HD          5.999 m   |                      | 
For M5|Adr    17|KD1    1448G      31.0 C  3 43L|Rb        0.77372 m   |HD          6.086 m   |                      | 
For M5|Adr    18|KD1    1449G      31.0 C    43L|                      |                      |Z        97.27020 m   | 
For M5|Adr    19|KD1    1449G      31.0 C  3 43L|Rb        0.66340 m   |HD          8.045 m   |                      | 
For M5|Adr    20|KD1    1450G      31.0 C  3 43L|Rf        1.78444 m   |HD          7.711 m   |                      | 
For M5|Adr    21|KD1    1450G      31.0 C  3 43L|Rf        1.80563 m   |HD          7.704 m   |                      | 
For M5|Adr    22|KD1    1449G      31.0 C  3 43L|Rb        0.68450 m   |HD          8.053 m   |                      | 
For M5|Adr    23|KD1    1450G      31.0 C    43L|                      |                      |Z        96.14912 m   | 
For M5|Adr    24|KD1    1450G      31.0 C  3 43L|Rb        0.55927 m   |HD          9.220 m   |                      | 
For M5|Adr    25|KD1    1451G      31.0 C  3 43L|Rf        1.79813 m   |HD          8.794 m   |                      | 
For M5|Adr    26|KD1    1451G      31.0 C  3 43L|Rf        1.81622 m   |HD          8.784 m   |                      | 
For M5|Adr    27|KD1    1450G      31.0 C  3 43L|Rb        0.57754 m   |HD          9.220 m   |                      | 
For M5|Adr    28|KD1    1451G      31.0 C    43L|                      |                      |Z        94.91035 m   | 
For M5|Adr    29|KD1    1451G      31.0 C  3 43L|Rb        0.63148 m   |HD         10.246 m   |                      | 
For M5|Adr    30|KD1    1452G      31.0 C  3 43L|Rf        1.81577 m   |HD         10.005 m   |                      | 
For M5|Adr    31|KD1    1452G      31.0 C  3 43L|Rf        1.80141 m   |HD         10.009 m   |                      | 
For M5|Adr    32|KD1    1451G      31.0 C  3 43L|Rb        0.61713 m   |HD         10.242 m   |                      | 
For M5|Adr    33|KD1    1452G      31.0 C    43L|                      |                      |Z        93.72606 m   | 
