For M5|Adr     1|TO  740U-1521U.dat               |                      |                      |                      | 
For M5|Adr     2|TO  250522 RUDEIN              |                      |                      |                      | 
For M5|Adr     3|TO  748188  72270 70303 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    9L|                      |                      |                      | 
For M5|Adr    17|KD1     740U                 9L|                      |                      |Z       100.00000 m   | 
For M5|Adr    18|KD1     740U      25.0 C  3  9L|Rb        0.51157 m   |HD          3.020 m   |                      | 
For M5|Adr    19|KD1       1R      25.0 C  3  9L|Rf        1.81341 m   |HD          3.176 m   |                      | 
For M5|Adr    20|KD1       1R      26.0 C  3  9L|Rf        1.88286 m   |HD          3.162 m   |                      | 
For M5|Adr    21|KD1     740U      26.0 C  3  9L|Rb        0.58114 m   |HD          3.036 m   |                      | 
For M5|Adr    22|KD1       1R      26.0 C     9L|                      |                      |Z        98.69822 m   | 
For M5|Adr    23|KD1       1R      26.0 C  3  9L|Rb        0.54888 m   |HD          3.703 m   |                      | 
For M5|Adr    24|KD1       2R      26.0 C  3  9L|Rf        1.61647 m   |HD          4.088 m   |                      | 
For M5|Adr    25|KD1       2R      26.0 C  3  9L|Rf        1.69337 m   |HD          4.070 m   |                      | 
For M5|Adr    26|KD1       1R      26.0 C  3  9L|Rb        0.62571 m   |HD          3.728 m   |                      | 
For M5|Adr    27|KD1       2R      26.0 C     9L|                      |                      |Z        97.63059 m   | 
For M5|Adr    28|KD1       2R      26.0 C  3  9L|Rb        0.81137 m   |HD          4.945 m   |                      | 
For M5|Adr    29|KD1       3R      27.0 C  3  9L|Rf        1.53325 m   |HD          4.784 m   |                      | 
For M5|Adr    30|KD1       3R      27.0 C  3  9L|Rf        1.60229 m   |HD          4.780 m   |                      | 
For M5|Adr    31|KD1       2R      27.0 C  3  9L|Rb        0.88045 m   |HD          4.952 m   |                      | 
For M5|Adr    32|KD1       3R      27.0 C     9L|                      |                      |Z        96.90874 m   | 
For M5|Adr    33|KD1       3R      27.0 C  3  9L|Rb        0.84878 m   |HD          5.954 m   |                      | 
For M5|Adr    34|KD1       4R      27.0 C  3  9L|Rf        0.91492 m   |HD          5.383 m   |                      | 
For M5|Adr    35|KD1       4R      27.0 C  3  9L|Rf        0.96861 m   |HD          5.388 m   |                      | 
For M5|Adr    36|KD1       3R      27.0 C  3  9L|Rb        0.90242 m   |HD          5.939 m   |                      | 
For M5|Adr    37|KD1       4R      27.0 C     9L|                      |                      |Z        96.84257 m   | 
For M5|Adr    38|KD1       4R      27.0 C  3  9L|Rb        1.53684 m   |HD          5.956 m   |                      | 
For M5|Adr    39|KD1       5R      27.0 C  3  9L|Rf        0.72941 m   |HD          6.868 m   |                      | 
For M5|Adr    40|KD1       5R      27.0 C  3  9L|Rf        0.77592 m   |HD          6.866 m   |                      | 
For M5|Adr    41|KD1       4R      27.0 C  3  9L|Rb        1.58335 m   |HD          5.958 m   |                      | 
For M5|Adr    42|KD1       5R      27.0 C     9L|                      |                      |Z        97.65000 m   | 
For M5|Adr    43|KD1       5R      27.0 C  3  9L|Rb        1.74438 m   |HD          7.298 m   |                      | 
For M5|Adr    44|KD1       6R      27.0 C  3  9L|Rf        0.61589 m   |HD          6.769 m   |                      | 
For M5|Adr    45|KD1       6R      27.0 C  3  9L|Rf        0.65360 m   |HD          6.780 m   |                      | 
For M5|Adr    46|KD1       5R      27.0 C  3  9L|Rb        1.78209 m   |HD          7.286 m   |                      | 
For M5|Adr    47|KD1       6R      27.0 C     9L|                      |                      |Z        98.77849 m   | 
For M5|Adr    48|KD1       6R      27.0 C  3  9L|Rb        1.82066 m   |HD          6.813 m   |                      | 
For M5|Adr    49|KD1       7R      27.0 C  3  9L|Rf        0.54464 m   |HD          7.726 m   |                      | 
For M5|Adr    50|KD1       7R      27.0 C  3  9L|Rf        0.57747 m   |HD          7.727 m   |                      | 
For M5|Adr    51|KD1       6R      28.0 C  3  9L|Rb        1.85341 m   |HD          6.810 m   |                      | 
For M5|Adr    52|KD1       7R      28.0 C     9L|                      |                      |Z       100.05447 m   | 
For M5|Adr    53|KD1       7R      28.0 C  3  9L|Rb        1.69885 m   |HD          6.295 m   |                      | 
For M5|Adr    56|KD1       8R      28.0 C  3  9L|Rf        0.71571 m   |HD          6.071 m   |                      | 
For M5|Adr    57|KD1       8R      28.0 C  3  9L|Rf        0.75724 m   |HD          6.079 m   |                      | 
For M5|Adr    58|KD1       7R      28.0 C  3  9L|Rb        1.74031 m   |HD          6.289 m   |                      | 
For M5|Adr    59|KD1       8R      28.0 C     9L|                      |                      |Z       101.03758 m   | 
For M5|Adr    60|KD1       8R      28.0 C  3  9L|Rb        1.71298 m   |HD          6.581 m   |                      | 
For M5|Adr    67|KD1       9R      28.0 C  3  9L|Rf        0.71332 m   |HD          6.600 m   |                      | 
For M5|Adr    68|KD1       9R      28.0 C  3  9L|Rf        0.77862 m   |HD          6.604 m   |                      | 
For M5|Adr    69|KD1       8R      28.0 C  3  9L|Rb        1.77824 m   |HD          6.577 m   |                      | 
For M5|Adr    70|KD1       9R      28.0 C     9L|                      |                      |Z       102.03722 m   | 
For M5|Adr    71|KD1       9R      28.0 C  3  9L|Rb        1.69052 m   |HD          6.308 m   |                      | 
For M5|Adr    72|KD1      10R      28.0 C  3  9L|Rf        0.76313 m   |HD          5.831 m   |                      | 
For M5|Adr    73|KD1      10R      28.0 C  3  9L|Rf        0.80450 m   |HD          5.841 m   |                      | 
For M5|Adr    74|KD1       9R      28.0 C  3  9L|Rb        1.73196 m   |HD          6.293 m   |                      | 
For M5|Adr    75|KD1      10R      28.0 C     9L|                      |                      |Z       102.96464 m   | 
For M5|Adr    76|KD1      10R      29.0 C  3  9L|Rb        1.70583 m   |HD          7.220 m   |                      | 
For M5|Adr    77|KD1      11R      29.0 C  3  9L|Rf        0.63549 m   |HD          7.234 m   |                      | 
For M5|Adr    78|KD1      11R      29.0 C  3  9L|Rf        0.70274 m   |HD          7.254 m   |                      | 
For M5|Adr    79|KD1      10R      29.0 C  3  9L|Rb        1.77311 m   |HD          7.200 m   |                      | 
For M5|Adr    80|KD1      11R      29.0 C     9L|                      |                      |Z       104.03500 m   | 
For M5|Adr    81|KD1      11R      29.0 C  3  9L|Rb        1.68237 m   |HD          7.252 m   |                      | 
For M5|Adr    82|KD1      12R      29.0 C  3  9L|Rf        0.74405 m   |HD          7.799 m   |                      | 
For M5|Adr    83|KD1      12R      29.0 C  3  9L|Rf        0.78009 m   |HD          7.803 m   |                      | 
For M5|Adr    84|KD1      11R      29.0 C  3  9L|Rb        1.71833 m   |HD          7.252 m   |                      | 
For M5|Adr    85|KD1      12R      29.0 C     9L|                      |                      |Z       104.97328 m   | 
For M5|Adr    86|KD1      12R      29.0 C  3  9L|Rb        1.57359 m   |HD          8.831 m   |                      | 
For M5|Adr    89|KD1      13R      29.0 C  3  9L|Rf        0.81434 m   |HD          8.272 m   |                      | 
For M5|Adr    90|KD1      13R      29.0 C  3  9L|Rf        0.87870 m   |HD          8.278 m   |                      | 
For M5|Adr    91|KD1      12R      29.0 C  3  9L|Rb        1.63794 m   |HD          8.823 m   |                      | 
For M5|Adr    92|KD1      13R      29.0 C     9L|                      |                      |Z       105.73252 m   | 
For M5|Adr    93|KD1      13R      29.0 C  3  9L|Rb        1.49755 m   |HD          9.375 m   |                      | 
For M5|Adr    94|KD1      14R      29.0 C  3  9L|Rf        0.91909 m   |HD          8.995 m   |                      | 
For M5|Adr    95|KD1      14R      29.0 C  3  9L|Rf        0.99310 m   |HD          8.997 m   |                      | 
For M5|Adr    96|KD1      13R      29.0 C  3  9L|Rb        1.57147 m   |HD          9.365 m   |                      | 
For M5|Adr    97|KD1      14R      29.0 C     9L|                      |                      |Z       106.31094 m   | 
For M5|Adr    98|KD1      14R      29.0 C  3  9L|Rb        1.25404 m   |HD         10.372 m   |                      | 
For M5|Adr   101|KD1      15R      29.0 C  3  9L|Rf        1.15751 m   |HD          9.842 m   |                      | 
For M5|Adr   102|KD1      15R      29.0 C  3  9L|Rf        1.23249 m   |HD          9.854 m   |                      | 
For M5|Adr   103|KD1      14R      29.0 C  3  9L|Rb        1.32893 m   |HD         10.356 m   |                      | 
For M5|Adr   104|KD1      15R      29.0 C     9L|                      |                      |Z       106.40742 m   | 
For M5|Adr   105|KD1      15R      29.0 C  3  9L|Rb        1.09033 m   |HD         10.887 m   |                      | 
For M5|Adr   106|KD1      16R      29.0 C  3  9L|Rf        1.37202 m   |HD         10.683 m   |                      | 
For M5|Adr   107|KD1      16R      29.0 C  3  9L|Rf        1.44950 m   |HD         10.675 m   |                      | 
