For M5|Adr     1|TO  1513U-1514U.dat                |                      |                      |                      | 
For M5|Adr     2|TO  130522 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  749230  70303 72270 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    1L|                      |                      |                      | 
For M5|Adr    19|KD1    1513U                 1L|                      |                      |Z       100.00000 m   | 
For M5|Adr    20|KD1    1513U      24.0 C  3  1L|Rb        1.77639 m   |HD          6.238 m   |                      | 
For M5|Adr    21|KD1     644A      24.0 C  3  1L|Rf        0.76535 m   |HD          6.324 m   |                      | 
For M5|Adr    22|KD1     644A      24.0 C  3  1L|Rf        0.87052 m   |HD          6.347 m   |                      | 
For M5|Adr    23|KD1    1513U      24.0 C  3  1L|Rb        1.88149 m   |HD          6.197 m   |                      | 
For M5|Adr    24|KD1     644A      24.0 C     1L|                      |                      |Z       101.01100 m   | 
For M5|Adr    25|KD1     644A      24.0 C  3  1L|Rb        1.72802 m   |HD          6.229 m   |                      | 
For M5|Adr    26|KD1     645A      24.0 C  3  1L|Rf        0.82275 m   |HD          5.988 m   |                      | 
For M5|Adr    27|KD1     645A      24.0 C  3  1L|Rf        0.89985 m   |HD          5.985 m   |                      | 
For M5|Adr    28|KD1     644A      24.0 C  3  1L|Rb        1.80502 m   |HD          6.230 m   |                      | 
For M5|Adr    29|KD1     645A      24.0 C     1L|                      |                      |Z       101.91622 m   | 
For M5|Adr    30|KD1     645A      24.0 C  3  1L|Rb        1.63317 m   |HD          5.152 m   |                      | 
For M5|Adr    31|KD1     646A      24.0 C  3  1L|Rf        0.94572 m   |HD          4.961 m   |                      | 
For M5|Adr    32|KD1     646A      24.0 C  3  1L|Rf        1.00472 m   |HD          4.959 m   |                      | 
For M5|Adr    33|KD1     645A      24.0 C  3  1L|Rb        1.69222 m   |HD          5.149 m   |                      | 
For M5|Adr    34|KD1     646A      24.0 C     1L|                      |                      |Z       102.60370 m   | 
For M5|Adr    35|KD1     646A      24.0 C  3  1L|Rb        1.60247 m   |HD          5.335 m   |                      | 
For M5|Adr    36|KD1     647A      24.0 C  3  1L|Rf        0.91822 m   |HD          5.326 m   |                      | 
For M5|Adr    37|KD1     647A      24.0 C  3  1L|Rf        0.97766 m   |HD          5.330 m   |                      | 
For M5|Adr    38|KD1     646A      24.0 C  3  1L|Rb        1.66189 m   |HD          5.332 m   |                      | 
For M5|Adr    39|KD1     647A      24.0 C     1L|                      |                      |Z       103.28794 m   | 
For M5|Adr    40|KD1     647A      24.0 C  3  1L|Rb        1.69571 m   |HD          5.463 m   |                      | 
For M5|Adr    41|KD1     648A      24.0 C  3  1L|Rf        0.95077 m   |HD          4.691 m   |                      | 
For M5|Adr    42|KD1     648A      25.0 C  3  1L|Rf        1.02151 m   |HD          4.686 m   |                      | 
For M5|Adr    43|KD1     647A      25.0 C  3  1L|Rb        1.76656 m   |HD          5.467 m   |                      | 
For M5|Adr    44|KD1     648A      25.0 C     1L|                      |                      |Z       104.03293 m   | 
