For M5|Adr     1|TO  1501U-4070MPI.DAT          |                      |                      |                      | 
For M5|Adr     2|TO  150522 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  70303 72270 1213   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   11L|                      |                      |                      | 
For M5|Adr     3|KD1    1501U                11L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1    1501U      27.0 C  3 11L|Rb        1.40430 m   |HD          7.598 m   |                      | 
For M5|Adr     5|KD1       1K      27.0 C  3 11L|Rf        0.99035 m   |HD          7.430 m   |                      | 
For M5|Adr     6|KD1       1K      27.0 C  3 11L|Rf        0.95338 m   |HD          7.436 m   |                      | 
For M5|Adr     7|KD1    1501U      27.0 C  3 11L|Rb        1.36739 m   |HD          7.593 m   |                      | 
For M5|Adr     8|KD1       1K      27.0 C    11L|                      |                      |Z       100.41398 m   | 
For M5|Adr     9|KD1       1K      28.0 C  3 11L|Rb        1.65616 m   |HD         10.672 m   |                      | 
For M5|Adr    10|KD1       2K      28.0 C  3 11L|Rf        0.79174 m   |HD          9.749 m   |                      | 
For M5|Adr    11|KD1       2K      28.0 C  3 11L|Rf        0.75620 m   |HD          9.723 m   |                      | 
For M5|Adr    12|KD1       1K      28.0 C  3 11L|Rb        1.62064 m   |HD         10.676 m   |                      | 
For M5|Adr    13|KD1       2K      28.0 C    11L|                      |                      |Z       101.27841 m   | 
For M5|Adr    14|KD1       2K      28.0 C  3 11L|Rb        1.84455 m   |HD         18.126 m   |                      | 
For M5|Adr    15|KD1       3K      29.0 C  3 11L|Rf        0.52284 m   |HD         17.394 m   |                      | 
For M5|Adr    16|KD1       3K      29.0 C  3 11L|Rf        0.51462 m   |HD         17.401 m   |                      | 
For M5|Adr    17|KD1       2K      29.0 C  3 11L|Rb        1.83621 m   |HD         18.110 m   |                      | 
For M5|Adr    18|KD1       3K      29.0 C    11L|                      |                      |Z       102.60006 m   | 
For M5|Adr    19|KD1       3K      29.0 C  3 11L|Rb        1.80622 m   |HD         13.598 m   |                      | 
For M5|Adr    20|KD1       4K      29.0 C  3 11L|Rf        0.62245 m   |HD         13.102 m   |                      | 
For M5|Adr    21|KD1       4K      29.0 C  3 11L|Rf        0.63631 m   |HD         13.119 m   |                      | 
For M5|Adr    22|KD1       3K      29.0 C  3 11L|Rb        1.82006 m   |HD         13.580 m   |                      | 
For M5|Adr    23|KD1       4K      29.0 C    11L|                      |                      |Z       103.78382 m   | 
For M5|Adr    24|KD1       4K      29.0 C  3 11L|Rb        1.51560 m   |HD         10.708 m   |                      | 
For M5|Adr    25|KD1       5K      30.0 C  3 11L|Rf        0.85687 m   |HD         11.648 m   |                      | 
For M5|Adr    26|KD1       5K      30.0 C  3 11L|Rf        0.81819 m   |HD         11.653 m   |                      | 
For M5|Adr    27|KD1       4K      30.0 C  3 11L|Rb        1.47675 m   |HD         10.712 m   |                      | 
For M5|Adr    28|KD1       5K      30.0 C    11L|                      |                      |Z       104.44246 m   | 
For M5|Adr    29|KD1       5K      30.0 C  3 11L|Rb        1.71546 m   |HD         14.553 m   |                      | 
For M5|Adr    30|KD1       6K      30.0 C  3 11L|Rf        0.91440 m   |HD         14.432 m   |                      | 
For M5|Adr    31|KD1       6K      30.0 C  3 11L|Rf        0.89475 m   |HD         14.437 m   |                      | 
For M5|Adr    32|KD1       5K      30.0 C  3 11L|Rb        1.69575 m   |HD         14.541 m   |                      | 
For M5|Adr    33|KD1       6K      30.0 C    11L|                      |                      |Z       105.24350 m   | 
For M5|Adr    34|KD1       6K      31.0 C  3 11L|Rb        1.55917 m   |HD         11.316 m   |                      | 
For M5|Adr    35|KD1       7K      31.0 C  3 11L|Rf        0.81520 m   |HD         12.222 m   |                      | 
For M5|Adr    36|KD1       7K      31.0 C  3 11L|Rf        0.81966 m   |HD         12.213 m   |                      | 
For M5|Adr    37|KD1       6K      31.0 C  3 11L|Rb        1.56354 m   |HD         11.334 m   |                      | 
For M5|Adr    38|KD1       7K      31.0 C    11L|                      |                      |Z       105.98742 m   | 
For M5|Adr    39|KD1       7K      31.0 C  3 11L|Rb        1.70603 m   |HD          7.774 m   |                      | 
For M5|Adr    40|KD1       8K      31.0 C  3 11L|Rf        0.72271 m   |HD          8.572 m   |                      | 
For M5|Adr    41|KD1       8K      32.0 C  3 11L|Rf        0.72846 m   |HD          8.573 m   |                      | 
For M5|Adr    42|KD1       7K      32.0 C  3 11L|Rb        1.71188 m   |HD          7.769 m   |                      | 
For M5|Adr    43|KD1       8K      32.0 C    11L|                      |                      |Z       106.97079 m   | 
For M5|Adr    44|KD1       8K      32.0 C  3 11L|Rb        1.85004 m   |HD          5.945 m   |                      | 
For M5|Adr    45|KD1       9K      32.0 C  3 11L|Rf        0.93691 m   |HD          5.392 m   |                      | 
For M5|Adr    46|KD1       9K      32.0 C  3 11L|Rf        0.90597 m   |HD          5.398 m   |                      | 
For M5|Adr    47|KD1       8K      32.0 C  3 11L|Rb        1.81901 m   |HD          5.923 m   |                      | 
For M5|Adr    48|KD1       9K      32.0 C    11L|                      |                      |Z       107.88388 m   | 
For M5|Adr    49|KD1       9K      33.0 C  3 11L|Rb        1.76354 m   |HD          7.010 m   |                      | 
For M5|Adr    50|KD1      10K      33.0 C  3 11L|Rf        0.84614 m   |HD          6.164 m   |                      | 
For M5|Adr    51|KD1      10K      33.0 C  3 11L|Rf        0.82159 m   |HD          6.167 m   |                      | 
For M5|Adr    52|KD1       9K      33.0 C  3 11L|Rb        1.73902 m   |HD          7.002 m   |                      | 
For M5|Adr    53|KD1      10K      33.0 C    11L|                      |                      |Z       108.80129 m   | 
For M5|Adr    54|KD1      10K      33.0 C  3 11L|Rb        1.69802 m   |HD          6.329 m   |                      | 
For M5|Adr    55|KD1      11K      33.0 C  3 11L|Rf        0.87260 m   |HD          5.878 m   |                      | 
For M5|Adr    56|KD1      11K      33.0 C  3 11L|Rf        0.85281 m   |HD          5.886 m   |                      | 
For M5|Adr    57|KD1      10K      33.0 C  3 11L|Rb        1.67816 m   |HD          6.318 m   |                      | 
For M5|Adr    58|KD1      11K      33.0 C    11L|                      |                      |Z       109.62668 m   | 
For M5|Adr    59|KD1      11K      33.0 C  3 11L|Rb        1.60874 m   |HD          5.340 m   |                      | 
For M5|Adr    60|KD1      12K      33.0 C  3 11L|Rf        0.81692 m   |HD          6.243 m   |                      | 
For M5|Adr    61|KD1      12K      33.0 C  3 11L|Rf        0.83691 m   |HD          6.243 m   |                      | 
For M5|Adr    62|KD1      11K      33.0 C  3 11L|Rb        1.62873 m   |HD          5.339 m   |                      | 
For M5|Adr    63|KD1      12K      33.0 C    11L|                      |                      |Z       110.41850 m   | 
