For M5|Adr     1|TO  1503U-4568.DAT             |                      |                      |                      | 
For M5|Adr     2|TO  280422 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  749230  72263 72270 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    2L|                      |                      |                      | 
For M5|Adr     3|KD1    1503U                 2L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1    1503U      30.0 C  3  2L|Rb        0.62722 m   |HD          7.998 m   |                      | 
For M5|Adr     5|KD1     196A      30.0 C  3  2L|Rf        1.89868 m   |HD          7.418 m   |                      | 
For M5|Adr     6|KD1     196A      30.0 C  3  2L|Rf        1.84945 m   |HD          7.429 m   |                      | 
For M5|Adr     7|KD1    1503U      30.0 C  3  2L|Rb        0.57783 m   |HD          7.998 m   |                      | 
For M5|Adr     8|KD1     196A      30.0 C     2L|                      |                      |Z        98.72846 m   | 
For M5|Adr     9|KD1     196A      30.0 C  3  2L|Rb        0.70478 m   |HD          6.367 m   |                      | 
For M5|Adr    10|KD1     197A      30.0 C  3  2L|Rf        1.72154 m   |HD          5.829 m   |                      | 
For M5|Adr    11|KD1     197A      30.0 C  3  2L|Rf        1.76047 m   |HD          5.818 m   |                      | 
For M5|Adr    12|KD1     196A      30.0 C  3  2L|Rb        0.74366 m   |HD          6.376 m   |                      | 
For M5|Adr    13|KD1     197A      30.0 C     2L|                      |                      |Z        97.71167 m   | 
For M5|Adr    14|KD1     197A      30.0 C  3  2L|Rb        0.74420 m   |HD          5.711 m   |                      | 
For M5|Adr    15|KD1     198A      30.0 C  3  2L|Rf        1.64628 m   |HD          5.435 m   |                      | 
For M5|Adr    16|KD1     198A      30.0 C  3  2L|Rf        1.69689 m   |HD          5.433 m   |                      | 
For M5|Adr    17|KD1     197A      30.0 C  3  2L|Rb        0.79481 m   |HD          5.714 m   |                      | 
For M5|Adr    18|KD1     198A      30.0 C     2L|                      |                      |Z        96.80960 m   | 
For M5|Adr    19|KD1     198A      30.0 C  3  2L|Rb        0.66609 m   |HD          6.430 m   |                      | 
For M5|Adr    20|KD1     199A      30.0 C  3  2L|Rf        1.72590 m   |HD          6.492 m   |                      | 
For M5|Adr    21|KD1     199A      30.0 C  3  2L|Rf        1.76804 m   |HD          6.493 m   |                      | 
For M5|Adr    22|KD1     198A      30.0 C  3  2L|Rb        0.70826 m   |HD          6.425 m   |                      | 
For M5|Adr    23|KD1     199A      30.0 C     2L|                      |                      |Z        95.74980 m   | 
For M5|Adr    24|KD1     199A      30.0 C  3  2L|Rb        0.77177 m   |HD          5.526 m   |                      | 
For M5|Adr    25|KD1     200A      30.0 C  3  2L|Rf        1.67411 m   |HD          5.717 m   |                      | 
For M5|Adr    26|KD1     200A      30.0 C  3  2L|Rf        1.73231 m   |HD          5.717 m   |                      | 
For M5|Adr    27|KD1     199A      30.0 C  3  2L|Rb        0.82998 m   |HD          5.528 m   |                      | 
For M5|Adr    28|KD1     200A      30.0 C     2L|                      |                      |Z        94.84746 m   | 
For M5|Adr    29|KD1     200A      30.0 C  3  2L|Rb        0.65735 m   |HD          6.494 m   |                      | 
For M5|Adr    30|KD1     201A      30.0 C  3  2L|Rf        1.71260 m   |HD          6.380 m   |                      | 
For M5|Adr    31|KD1     201A      30.0 C  3  2L|Rf        1.76399 m   |HD          6.382 m   |                      | 
For M5|Adr    32|KD1     200A      30.0 C  3  2L|Rb        0.70869 m   |HD          6.491 m   |                      | 
For M5|Adr    33|KD1     201A      30.0 C     2L|                      |                      |Z        93.79219 m   | 
For M5|Adr    34|KD1     201A      30.0 C  3  2L|Rb        0.75697 m   |HD          5.651 m   |                      | 
For M5|Adr    35|KD1     202A      30.0 C  3  2L|Rf        1.65037 m   |HD          5.319 m   |                      | 
For M5|Adr    36|KD1     202A      30.0 C  3  2L|Rf        1.71151 m   |HD          5.326 m   |                      | 
For M5|Adr    37|KD1     201A      30.0 C  3  2L|Rb        0.81813 m   |HD          5.646 m   |                      | 
For M5|Adr    38|KD1     202A      30.0 C     2L|                      |                      |Z        92.89880 m   | 
For M5|Adr    39|KD1     202A      30.0 C  3  2L|Rb        0.82750 m   |HD          5.816 m   |                      | 
For M5|Adr    40|KD1     203A      30.0 C  3  2L|Rf        1.69999 m   |HD          5.628 m   |                      | 
For M5|Adr    41|KD1     203A      30.0 C  3  2L|Rf        1.77359 m   |HD          5.624 m   |                      | 
For M5|Adr    42|KD1     202A      30.0 C  3  2L|Rb        0.90110 m   |HD          5.801 m   |                      | 
For M5|Adr    43|KD1     203A      30.0 C     2L|                      |                      |Z        92.02631 m   | 
For M5|Adr    44|KD1     203A      31.0 C  3  2L|Rb        0.80887 m   |HD          6.099 m   |                      | 
For M5|Adr    45|KD1     204A      31.0 C  3  2L|Rf        1.75246 m   |HD          5.855 m   |                      | 
For M5|Adr    46|KD1     204A      31.0 C  3  2L|Rf        1.81461 m   |HD          5.839 m   |                      | 
For M5|Adr    47|KD1     203A      31.0 C  3  2L|Rb        0.87100 m   |HD          6.110 m   |                      | 
For M5|Adr    48|KD1     204A      31.0 C     2L|                      |                      |Z        91.08271 m   | 
For M5|Adr    49|KD1     204A      31.0 C  3  2L|Rb        0.81474 m   |HD          5.910 m   |                      | 
For M5|Adr    50|KD1     205A      31.0 C  3  2L|Rf        1.74060 m   |HD          5.965 m   |                      | 
For M5|Adr    51|KD1     205A      31.0 C  3  2L|Rf        1.79823 m   |HD          5.964 m   |                      | 
For M5|Adr    52|KD1     204A      31.0 C  3  2L|Rb        0.87240 m   |HD          5.917 m   |                      | 
For M5|Adr    53|KD1     205A      31.0 C     2L|                      |                      |Z        90.15686 m   | 
For M5|Adr    54|KD1     205A      31.0 C  3  2L|Rb        0.76373 m   |HD          6.204 m   |                      | 
For M5|Adr    55|KD1     206A      31.0 C  3  2L|Rf        1.79085 m   |HD          6.813 m   |                      | 
For M5|Adr    56|KD1     206A      31.0 C  3  2L|Rf        1.84739 m   |HD          6.793 m   |                      | 
For M5|Adr    57|KD1     205A      31.0 C  3  2L|Rb        0.82025 m   |HD          6.216 m   |                      | 
For M5|Adr    58|KD1     206A      31.0 C     2L|                      |                      |Z        89.12973 m   | 
