For M5|Adr     1|TO  1519U-1518U.DAT            |                      |                      |                      | 
For M5|Adr     2|TO  220522 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  749230  72263 58086 2123   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    5L|                      |                      |                      | 
For M5|Adr     3|KD1    1519U                 5L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1    1519U      25.0 C  3  5L|Rb        0.81561 m   |HD          4.958 m   |                      | 
For M5|Adr     5|KD1      44R      26.0 C  3  5L|Rf        1.53035 m   |HD          4.841 m   |                      | 
For M5|Adr     6|KD1      44R      26.0 C  3  5L|Rf        1.59222 m   |HD          4.842 m   |                      | 
For M5|Adr     7|KD1    1519U      26.0 C  3  5L|Rb        0.87734 m   |HD          4.953 m   |                      | 
For M5|Adr     8|KD1      44R      26.0 C     5L|                      |                      |Z        99.28519 m   | 
For M5|Adr     9|KD1      44R      26.0 C  3  5L|Rb        0.62161 m   |HD          6.375 m   |                      | 
For M5|Adr    10|KD1      45R      26.0 C  3  5L|Rf        1.65605 m   |HD          5.896 m   |                      | 
For M5|Adr    11|KD1      45R      26.0 C  3  5L|Rf        1.71911 m   |HD          5.890 m   |                      | 
For M5|Adr    12|KD1      44R      26.0 C  3  5L|Rb        0.68454 m   |HD          6.368 m   |                      | 
For M5|Adr    13|KD1      45R      26.0 C     5L|                      |                      |Z        98.25069 m   | 
For M5|Adr    14|KD1      45R      26.0 C  3  5L|Rb        0.70989 m   |HD          5.961 m   |                      | 
For M5|Adr    17|KD1      46R      26.0 C  3  5L|Rf        1.62914 m   |HD          5.503 m   |                      | 
For M5|Adr    18|KD1      46R      26.0 C  3  5L|Rf        1.69870 m   |HD          5.499 m   |                      | 
For M5|Adr    19|KD1      45R      26.0 C  3  5L|Rb        0.77949 m   |HD          5.963 m   |                      | 
For M5|Adr    20|KD1      46R      26.0 C     5L|                      |                      |Z        97.33146 m   | 
For M5|Adr    21|KD1      46R      26.0 C  3  5L|Rb        0.70098 m   |HD          5.396 m   |                      | 
For M5|Adr    22|KD1      47R      26.0 C  3  5L|Rf        1.73465 m   |HD          5.990 m   |                      | 
For M5|Adr    23|KD1      47R      26.0 C  3  5L|Rf        1.79386 m   |HD          5.982 m   |                      | 
For M5|Adr    24|KD1      46R      26.0 C  3  5L|Rb        0.76024 m   |HD          5.404 m   |                      | 
For M5|Adr    25|KD1      47R      26.0 C     5L|                      |                      |Z        96.29781 m   | 
For M5|Adr    26|KD1      47R      26.0 C  3  5L|Rb        0.64665 m   |HD          5.762 m   |                      | 
For M5|Adr    27|KD1      48R      26.0 C  3  5L|Rf        1.61556 m   |HD          4.879 m   |                      | 
For M5|Adr    28|KD1      48R      26.0 C  3  5L|Rf        1.69367 m   |HD          4.873 m   |                      | 
For M5|Adr    29|KD1      47R      26.0 C  3  5L|Rb        0.72467 m   |HD          5.773 m   |                      | 
For M5|Adr    30|KD1      48R      26.0 C     5L|                      |                      |Z        95.32885 m   | 
For M5|Adr    31|KD1      48R      26.0 C  3  5L|Rb        0.59719 m   |HD          7.053 m   |                      | 
For M5|Adr    32|KD1      49R      26.0 C  3  5L|Rf        1.73060 m   |HD          6.410 m   |                      | 
For M5|Adr    33|KD1      49R      26.0 C  3  5L|Rf        1.79311 m   |HD          6.409 m   |                      | 
For M5|Adr    34|KD1      48R      26.0 C  3  5L|Rb        0.65970 m   |HD          7.052 m   |                      | 
For M5|Adr    35|KD1      49R      26.0 C     5L|                      |                      |Z        94.19544 m   | 
For M5|Adr    36|KD1      49R      26.0 C  3  5L|Rb        0.62565 m   |HD          6.473 m   |                      | 
For M5|Adr    37|KD1      50R      26.0 C  3  5L|Rf        1.73325 m   |HD          6.110 m   |                      | 
For M5|Adr    38|KD1      50R      26.0 C  3  5L|Rf        1.77669 m   |HD          6.094 m   |                      | 
For M5|Adr    39|KD1      49R      26.0 C  3  5L|Rb        0.66903 m   |HD          6.479 m   |                      | 
For M5|Adr    40|KD1      50R      26.0 C     5L|                      |                      |Z        93.08781 m   | 
For M5|Adr    41|KD1      50R      27.0 C  3  5L|Rb        0.58524 m   |HD          6.868 m   |                      | 
For M5|Adr    42|KD1      51R      27.0 C  3  5L|Rf        1.84877 m   |HD          6.737 m   |                      | 
For M5|Adr    45|KD1      51R      27.0 C  3  5L|Rf        1.89468 m   |HD          6.732 m   |                      | 
For M5|Adr    46|KD1      50R      27.0 C  3  5L|Rb        0.63124 m   |HD          6.869 m   |                      | 
For M5|Adr    47|KD1      51R      27.0 C     5L|                      |                      |Z        91.82433 m   | 
For M5|Adr    48|KD1      51R      27.0 C  3  5L|Rb        0.60426 m   |HD          6.423 m   |                      | 
For M5|Adr    51|KD1      52R      27.0 C  3  5L|Rf        1.85426 m   |HD          6.720 m   |                      | 
For M5|Adr    52|KD1      52R      27.0 C  3  5L|Rf        1.78346 m   |HD          6.800 m   |                      | 
For M5|Adr    53|KD1      51R      27.0 C  3  5L|Rb        0.53340 m   |HD          6.350 m   |                      | 
For M5|Adr    54|KD1      52R      27.0 C     5L|                      |                      |Z        90.57430 m   | 
For M5|Adr    55|KD1      52R      27.0 C  3  5L|Rb        0.51371 m   |HD          6.665 m   |                      | 
For M5|Adr    56|KD1      53R      27.0 C  3  5L|Rf        1.83184 m   |HD          6.187 m   |                      | 
For M5|Adr    57|KD1      53R      27.0 C  3  5L|Rf        1.88957 m   |HD          6.175 m   |                      | 
