For M5|Adr     1|TO  1534JAD-1528U.DAT          |                      |                      |                      | 
For M5|Adr     2|TO  150622 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  743261  72270 70303 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   26F|                      |                      |                      | 
For M5|Adr     3|KD1  JAD1534                26F|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1  JAD1534      29.0 C  3 26F|Rb        1.59953 m   |HD         17.197 m   |                      | 
For M5|Adr     7|KD1     369R      29.0 C  3 26F|Rf        0.83909 m   |HD         16.882 m   |                      | 
For M5|Adr     8|KD1     369R      29.0 C  3 26F|Rf        0.90336 m   |HD         16.850 m   |                      | 
For M5|Adr     9|KD1  JAD1534      29.0 C  3 26F|Rb        1.66382 m   |HD         17.222 m   |                      | 
For M5|Adr    10|KD1     369R      29.0 C    26F|                      |                      |Z       100.76045 m   | 
For M5|Adr    11|KD1     369R      30.0 C  3 26F|Rb        1.47194 m   |HD         19.546 m   |                      | 
For M5|Adr    14|KD1     370R      30.0 C  3 26F|Rf        1.01320 m   |HD         20.043 m   |                      | 
For M5|Adr    15|KD1     370R      30.0 C  3 26F|Rf        1.05785 m   |HD         20.051 m   |                      | 
For M5|Adr    16|KD1     369R      30.0 C  3 26F|Rb        1.51662 m   |HD         19.543 m   |                      | 
For M5|Adr    17|KD1     370R      30.0 C    26F|                      |                      |Z       101.21921 m   | 
For M5|Adr    18|KD1     370R      30.0 C  3 26F|Rb        1.51574 m   |HD         18.500 m   |                      | 
For M5|Adr    19|KD1     371R      30.0 C  3 26F|Rf        0.74174 m   |HD         18.578 m   |                      | 
For M5|Adr    20|KD1     371R      30.0 C  3 26F|Rf        0.79202 m   |HD         18.587 m   |                      | 
For M5|Adr    21|KD1     370R      29.0 C  3 26F|Rb        1.56591 m   |HD         18.502 m   |                      | 
For M5|Adr    22|KD1     371R      29.0 C    26F|                      |                      |Z       101.99315 m   | 
For M5|Adr    23|KD1     371R      29.0 C  3 26F|Rb        1.35972 m   |HD         19.291 m   |                      | 
For M5|Adr    26|KD1     372R      29.0 C  3 26F|Rf        0.90716 m   |HD         19.059 m   |                      | 
For M5|Adr    27|KD1     372R      29.0 C  3 26F|Rf        0.97494 m   |HD         19.059 m   |                      | 
For M5|Adr    28|KD1     371R      29.0 C  3 26F|Rb        1.42752 m   |HD         19.299 m   |                      | 
For M5|Adr    29|KD1     372R      29.0 C    26F|                      |                      |Z       102.44572 m   | 
For M5|Adr    30|KD1     372R      29.0 C  3 26F|Rb        1.57589 m   |HD         19.557 m   |                      | 
For M5|Adr    31|KD1     373R      29.0 C  3 26F|Rf        1.02154 m   |HD         20.027 m   |                      | 
For M5|Adr    32|KD1     373R      29.0 C  3 26F|Rf        1.07485 m   |HD         20.023 m   |                      | 
For M5|Adr    33|KD1     372R      29.0 C  3 26F|Rb        1.62929 m   |HD         19.559 m   |                      | 
For M5|Adr    34|KD1     373R      29.0 C    26F|                      |                      |Z       103.00011 m   | 
For M5|Adr    35|KD1     373R      29.0 C  3 26F|Rb        1.64368 m   |HD         20.873 m   |                      | 
For M5|Adr    36|KD1     374R      29.0 C  3 26F|Rf        0.83447 m   |HD         21.245 m   |                      | 
For M5|Adr    37|KD1     374R      29.0 C  3 26F|Rf        0.87570 m   |HD         21.247 m   |                      | 
For M5|Adr    38|KD1     373R      29.0 C  3 26F|Rb        1.68484 m   |HD         20.867 m   |                      | 
For M5|Adr    39|KD1     374R      29.0 C    26F|                      |                      |Z       103.80929 m   | 
