For M5|Adr     1|TO  1536U-1536JAD.DAT          |                      |                      |                      | 
For M5|Adr     2|TO  190622 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  70303 72270 1122   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   32L|                      |                      |                      | 
For M5|Adr    17|KD1    1536U                32L|                      |                      |Z       100.00000 m   | 
For M5|Adr    24|KD1    1536U      24.0 C  3 32L|Rb        1.27188 m   |HD         23.432 m   |                      | 
For M5|Adr    25|KD1     309G      24.0 C  3 32L|Rf        1.32669 m   |HD         23.429 m   |                      | 
For M5|Adr    26|KD1     309G      24.0 C  3 32L|Rf        1.29744 m   |HD         23.413 m   |                      | 
For M5|Adr    27|KD1    1536U      24.0 C  3 32L|Rb        1.24250 m   |HD         23.454 m   |                      | 
For M5|Adr    28|KD1     309G      24.0 C    32L|                      |                      |Z        99.94512 m   | 
For M5|Adr    29|KD1     309G      24.0 C  3 32L|Rb        1.24981 m   |HD         25.970 m   |                      | 
For M5|Adr    30|KD1     310G      24.0 C  3 32L|Rf        1.50103 m   |HD         25.231 m   |                      | 
For M5|Adr    31|KD1     310G      24.0 C  3 32L|Rf        1.47510 m   |HD         25.210 m   |                      | 
For M5|Adr    32|KD1     309G      24.0 C  3 32L|Rb        1.22382 m   |HD         25.987 m   |                      | 
For M5|Adr    33|KD1     310G      24.0 C    32L|                      |                      |Z        99.69387 m   | 
For M5|Adr    34|KD1     310G      24.0 C  3 32L|Rb        1.11046 m   |HD         28.586 m   |                      | 
For M5|Adr    35|KD1     311G      24.0 C  3 32L|Rf        1.53993 m   |HD         29.368 m   |                      | 
For M5|Adr    36|KD1     311G      24.0 C  3 32L|Rf        1.51306 m   |HD         29.367 m   |                      | 
For M5|Adr    37|KD1     310G      24.0 C  3 32L|Rb        1.08356 m   |HD         28.599 m   |                      | 
For M5|Adr    38|KD1     311G      24.0 C    32L|                      |                      |Z        99.26439 m   | 
For M5|Adr    39|KD1     311G      24.0 C  3 32L|Rb        1.00191 m   |HD         23.247 m   |                      | 
For M5|Adr    40|KD1     312G      24.0 C  3 32L|Rf        1.64526 m   |HD         23.021 m   |                      | 
For M5|Adr    41|KD1     312G      24.0 C  3 32L|Rf        1.67700 m   |HD         23.027 m   |                      | 
For M5|Adr    42|KD1     311G      24.0 C  3 32L|Rb        1.03371 m   |HD         23.232 m   |                      | 
For M5|Adr    43|KD1     312G      24.0 C    32L|                      |                      |Z        98.62107 m   | 
For M5|Adr    50|KD1     312G      24.0 C  3 32L|Rb        0.80133 m   |HD         23.724 m   |                      | 
For M5|Adr    51|KD1     313G      24.0 C  3 32L|Rf        1.82003 m   |HD         23.930 m   |                      | 
For M5|Adr    52|KD1     313G      24.0 C  3 32L|Rf        1.78926 m   |HD         23.944 m   |                      | 
For M5|Adr    53|KD1     312G      24.0 C  3 32L|Rb        0.77043 m   |HD         23.720 m   |                      | 
For M5|Adr    54|KD1     313G      24.0 C    32L|                      |                      |Z        97.60231 m   | 
For M5|Adr    55|KD1     313G      24.0 C  3 32L|Rb        0.71957 m   |HD         15.622 m   |                      | 
For M5|Adr    56|KD1     314G      24.0 C  3 32L|Rf        1.73174 m   |HD         16.445 m   |                      | 
For M5|Adr    57|KD1     314G      24.0 C  3 32L|Rf        1.76845 m   |HD         16.455 m   |                      | 
