For M5|Adr     1|TO  1547JAD-1522JAD.dat        |                      |                      |                      | 
For M5|Adr     2|TO  040822 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  743261  70303 72270 1111   |                      |                      |                      |
For M5|Adr     4|TO  Start-Line       BFFB   83F|                      |                      |                      | 
For M5|Adr    17|KD1  1547JAD                83F|                      |                      |Z       100.00000 m   | 
For M5|Adr    18|KD1  1547JAD      27.0 C  3 83F|Rb        1.79903 m   |HD          9.207 m   |                      | 
For M5|Adr    21|KD1    1679R      27.0 C  3 83F|Rf        1.26491 m   |HD          9.006 m   |                      | 
For M5|Adr    22|KD1    1679R      27.0 C  3 83F|Rf        1.32389 m   |HD          9.005 m   |                      | 
For M5|Adr    23|KD1  1547JAD      27.0 C  3 83F|Rb        1.85798 m   |HD          9.210 m   |                      | 
For M5|Adr    24|KD1    1679R      27.0 C    83F|                      |                      |Z       100.53411 m   | 
For M5|Adr    25|KD1    1679R      27.0 C  3 83F|Rb        1.11290 m   |HD         27.585 m   |                      | 
For M5|Adr    26|KD1    1680R      27.0 C  3 83F|Rf        1.39656 m   |HD         28.585 m   |                      | 
For M5|Adr    27|KD1    1680R      27.0 C  3 83F|Rf        1.43982 m   |HD         28.595 m   |                      | 
For M5|Adr    28|KD1    1679R      27.0 C  3 83F|Rb        1.15630 m   |HD         27.569 m   |                      | 
For M5|Adr    29|KD1    1680R      27.0 C    83F|                      |                      |Z       100.25052 m   | 
For M5|Adr    30|KD1    1680R      27.0 C  3 83F|Rb        1.29888 m   |HD         26.161 m   |                      | 
For M5|Adr    33|KD1    1681R      27.0 C  3 83F|Rf        1.38580 m   |HD         26.343 m   |                      | 
For M5|Adr    34|KD1    1681R      27.0 C  3 83F|Rf        1.42009 m   |HD         26.341 m   |                      | 
For M5|Adr    35|KD1    1680R      27.0 C  3 83F|Rb        1.33314 m   |HD         26.150 m   |                      | 
For M5|Adr    36|KD1    1681R      27.0 C    83F|                      |                      |Z       100.16358 m   | 
For M5|Adr    37|KD1    1681R      27.0 C  3 83F|Rb        1.02263 m   |HD         26.727 m   |                      | 
For M5|Adr    38|KD1    1682R      27.0 C  3 83F|Rf        1.36353 m   |HD         26.844 m   |                      | 
For M5|Adr    39|KD1    1682R      27.0 C  3 83F|Rf        1.42395 m   |HD         26.861 m   |                      | 
For M5|Adr    40|KD1    1681R      27.0 C  3 83F|Rb        1.08310 m   |HD         26.736 m   |                      | 
For M5|Adr    41|KD1    1682R      27.0 C    83F|                      |                      |Z        99.82271 m   | 
For M5|Adr    42|KD1    1682R      27.0 C  3 83F|Rb        1.14022 m   |HD         28.212 m   |                      | 
For M5|Adr    45|KD1    1683R      27.0 C  3 83F|Rf        1.50974 m   |HD         28.696 m   |                      | 
For M5|Adr    46|KD1    1683R      27.0 C  3 83F|Rf        1.56064 m   |HD         28.699 m   |                      | 
For M5|Adr    47|KD1    1682R      27.0 C  3 83F|Rb        1.19124 m   |HD         28.201 m   |                      | 
For M5|Adr    48|KD1    1683R      27.0 C    83F|                      |                      |Z        99.45325 m   | 
For M5|Adr    49|KD1    1683R      27.0 C  3 83F|Rb        1.11271 m   |HD         25.899 m   |                      | 
For M5|Adr    50|KD1    1684R      27.0 C  3 83F|Rf        1.42065 m   |HD         25.200 m   |                      | 
For M5|Adr    51|KD1    1684R      27.0 C  3 83F|Rf        1.47132 m   |HD         25.210 m   |                      | 
For M5|Adr    52|KD1    1683R      27.0 C  3 83F|Rb        1.16340 m   |HD         25.910 m   |                      | 
For M5|Adr    53|KD1    1684R      27.0 C    83F|                      |                      |Z        99.14532 m   | 
For M5|Adr    54|KD1    1684R      27.0 C  3 83F|Rb        1.10064 m   |HD         26.135 m   |                      | 
For M5|Adr    55|KD1    1685R      27.0 C  3 83F|Rf        1.47395 m   |HD         26.947 m   |                      | 
