For M5|Adr     1|TO  1853W-1517U.DAT            |                      |                      |                      | 
For M5|Adr     2|TO  220522 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188 72270  70303 1123   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    5L|                      |                      |                      | 
For M5|Adr     3|KD1    1853W                 5L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1    1853W      25.0 C  3  5L|Rb        1.41730 m   |HD          4.801 m   |                      | 
For M5|Adr     5|KD1      47S      25.0 C  3  5L|Rf        1.47162 m   |HD          4.437 m   |                      | 
For M5|Adr     6|KD1      47S      25.0 C  3  5L|Rf        1.44917 m   |HD          4.439 m   |                      | 
For M5|Adr     7|KD1    1853W      25.0 C  3  5L|Rb        1.39477 m   |HD          4.802 m   |                      | 
For M5|Adr     8|KD1      47S      25.0 C     5L|                      |                      |Z        99.94564 m   | 
For M5|Adr     9|KD1      47S      25.0 C  3  5L|Rb        1.22116 m   |HD          5.195 m   |                      | 
For M5|Adr    10|KD1      48S      25.0 C  3  5L|Rf        1.34776 m   |HD          4.412 m   |                      | 
For M5|Adr    11|KD1      48S      25.0 C  3  5L|Rf        1.27540 m   |HD          4.388 m   |                      | 
For M5|Adr    12|KD1      47S      25.0 C  3  5L|Rb        1.14886 m   |HD          5.198 m   |                      | 
For M5|Adr    13|KD1      48S      25.0 C     5L|                      |                      |Z        99.81907 m   | 
For M5|Adr    14|KD1      48S      25.0 C  3  5L|Rb        0.72256 m   |HD          5.772 m   |                      | 
For M5|Adr    15|KD1      49S      25.0 C  3  5L|Rf        1.58319 m   |HD          6.718 m   |                      | 
For M5|Adr    16|KD1      49S      25.0 C  3  5L|Rf        1.54987 m   |HD          6.739 m   |                      | 
For M5|Adr    17|KD1      48S      25.0 C  3  5L|Rb        0.68927 m   |HD          5.763 m   |                      | 
For M5|Adr    18|KD1      49S      25.0 C     5L|                      |                      |Z        98.95846 m   | 
For M5|Adr    25|KD1      49S      25.0 C  3  5L|Rb        0.80348 m   |HD          6.685 m   |                      | 
For M5|Adr    26|KD1      50S      25.0 C  3  5L|Rf        1.52068 m   |HD          6.839 m   |                      | 
