For M5|Adr     1|TO  4564-1517U.DAT             |                      |                      |                      | 
For M5|Adr     2|TO  190522 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  749230  72263 70303 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    2L|                      |                      |                      | 
For M5|Adr     3|KD1     4564                 2L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1     4564      32.0 C  3  2L|Rb        0.60820 m   |HD          3.245 m   |                      | 
For M5|Adr     5|KD1     893A      32.0 C  3  2L|Rf        1.78717 m   |HD          2.959 m   |                      | 
For M5|Adr     6|KD1     893A      32.0 C  3  2L|Rf        1.74191 m   |HD          2.965 m   |                      | 
For M5|Adr     7|KD1     4564      32.0 C  3  2L|Rb        0.56288 m   |HD          3.230 m   |                      | 
For M5|Adr     8|KD1     893A      32.0 C     2L|                      |                      |Z        98.82100 m   | 
For M5|Adr     9|KD1     893A      32.0 C  3  2L|Rb        0.64806 m   |HD          4.165 m   |                      | 
For M5|Adr    10|KD1     894A      32.0 C  3  2L|Rf        1.48369 m   |HD          4.231 m   |                      | 
For M5|Adr    11|KD1     894A      32.0 C  3  2L|Rf        1.56540 m   |HD          4.168 m   |                      | 
For M5|Adr    12|KD1     893A      32.0 C  3  2L|Rb        0.72975 m   |HD          4.131 m   |                      | 
For M5|Adr    13|KD1     894A      32.0 C     2L|                      |                      |Z        97.98536 m   | 
For M5|Adr    14|KD1     894A      32.0 C  3  2L|Rb        0.89261 m   |HD         10.135 m   |                      | 
For M5|Adr    15|KD1     895A      32.0 C  3  2L|Rf        0.67707 m   |HD         10.100 m   |                      | 
For M5|Adr    16|KD1     895A      32.0 C  3  2L|Rf        0.73478 m   |HD         10.100 m   |                      | 
For M5|Adr    17|KD1     894A      32.0 C  3  2L|Rb        0.95038 m   |HD         10.125 m   |                      | 
For M5|Adr    18|KD1     895A      32.0 C     2L|                      |                      |Z        98.20093 m   | 
For M5|Adr    19|KD1     895A      32.0 C  3  2L|Rb        1.62205 m   |HD          5.381 m   |                      | 
For M5|Adr    20|KD1     896A      32.0 C  3  2L|Rf        0.78179 m   |HD          5.565 m   |                      | 
For M5|Adr    21|KD1     896A      32.0 C  3  2L|Rf        0.69763 m   |HD          5.554 m   |                      | 
