For M5|Adr     1|TO  942U-MR1.dat               |                      |                      |                      | 
For M5|Adr     2|TO  220722 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  748188  72263 72270 1112   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    4L|                      |                      |                      | 
For M5|Adr     3|KD1     942U                 4L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1     942U      36.0 C  3  4L|Rb        1.19776 m   |HD          5.717 m   |                      | 
For M5|Adr     5|KD1    327DA      36.0 C  3  4L|Rf        1.76547 m   |HD          6.092 m   |                      | 
For M5|Adr     6|KD1    327DA      36.0 C  3  4L|Rf        1.80148 m   |HD          6.089 m   |                      | 
For M5|Adr     7|KD1     942U      36.0 C  3  4L|Rb        1.23371 m   |HD          5.719 m   |                      | 
For M5|Adr     8|KD1    327DA      36.0 C     4L|                      |                      |Z        99.43226 m   | 
For M5|Adr     9|KD1    327DA      36.0 C  3  4L|Rb        0.77631 m   |HD          6.205 m   |                      | 
For M5|Adr    10|KD1    328DA      36.0 C  3  4L|Rf        1.81346 m   |HD          5.206 m   |                      | 
For M5|Adr    11|KD1    328DA      36.0 C  3  4L|Rf        1.84453 m   |HD          5.230 m   |                      | 
For M5|Adr    12|KD1    327DA      36.0 C  3  4L|Rb        0.80738 m   |HD          6.173 m   |                      | 
For M5|Adr    13|KD1    328DA      36.0 C     4L|                      |                      |Z        98.39511 m   | 
For M5|Adr    14|KD1    328DA      36.0 C  3  4L|Rb        0.78450 m   |HD          4.299 m   |                      | 
For M5|Adr    15|KD1    329DA      36.0 C  3  4L|Rf        1.86027 m   |HD          4.406 m   |                      | 
For M5|Adr    16|KD1    329DA      36.0 C  3  4L|Rf        1.86026 m   |HD          4.406 m   |                      | 
For M5|Adr    17|KD1    328DA      36.0 C  3  4L|Rb        0.78449 m   |HD          4.298 m   |                      | 
For M5|Adr    18|KD1    329DA      36.0 C     4L|                      |                      |Z        97.31934 m   | 
For M5|Adr    19|KD1    329DA      36.0 C  3  4L|Rb        0.61048 m   |HD          4.501 m   |                      | 
For M5|Adr    20|KD1    330DA      36.0 C  3  4L|Rf        1.82984 m   |HD          3.515 m   |                      | 
For M5|Adr    21|KD1    330DA      36.0 C  3  4L|Rf        1.82984 m   |HD          3.515 m   |                      | 
For M5|Adr    22|KD1    329DA      36.0 C  3  4L|Rb        0.61047 m   |HD          4.502 m   |                      | 
For M5|Adr    23|KD1    330DA      36.0 C     4L|                      |                      |Z        96.09997 m   | 
For M5|Adr    24|KD1    330DA      36.0 C  3  4L|Rb        0.72886 m   |HD          3.284 m   |                      | 
For M5|Adr    25|KD1    331DA      36.0 C  3  4L|Rf        1.85867 m   |HD          3.235 m   |                      | 
