For M5|Adr     1|TO  1216U-4564.DAT             |                      |                      |                      | 
For M5|Adr     2|TO  180522 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  72270 70303 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   11L|                      |                      |                      | 
For M5|Adr    10|KD1    1216U                11L|                      |                      |Z       100.00000 m   | 
For M5|Adr    11|KD1    1216U      24.0 C  3 11L|Rb        1.81011 m   |HD          4.501 m   |                      | 
For M5|Adr    12|KD1       1K      24.0 C  3 11L|Rf        0.96433 m   |HD          4.781 m   |                      | 
For M5|Adr    13|KD1       1K      24.0 C  3 11L|Rf        0.90111 m   |HD          4.792 m   |                      | 
For M5|Adr    14|KD1    1216U      24.0 C  3 11L|Rb        1.74679 m   |HD          4.490 m   |                      | 
For M5|Adr    15|KD1       1K      24.0 C    11L|                      |                      |Z       100.84573 m   | 
For M5|Adr    16|KD1       1K      24.0 C  3 11L|Rb        1.86368 m   |HD          6.728 m   |                      | 
For M5|Adr    17|KD1       2K      24.0 C  3 11L|Rf        0.75931 m   |HD          6.435 m   |                      | 
For M5|Adr    18|KD1       2K      24.0 C  3 11L|Rf        0.69829 m   |HD          6.438 m   |                      | 
For M5|Adr    19|KD1       1K      24.0 C  3 11L|Rb        1.80276 m   |HD          6.729 m   |                      | 
For M5|Adr    20|KD1       2K      24.0 C    11L|                      |                      |Z       101.95015 m   | 
For M5|Adr    21|KD1       2K      24.0 C  3 11L|Rb        1.79130 m   |HD          6.349 m   |                      | 
For M5|Adr    22|KD1       3K      24.0 C  3 11L|Rf        0.71242 m   |HD          5.983 m   |                      | 
For M5|Adr    23|KD1       3K      24.0 C  3 11L|Rf        0.67296 m   |HD          5.988 m   |                      | 
For M5|Adr    24|KD1       2K      24.0 C  3 11L|Rb        1.75183 m   |HD          6.344 m   |                      | 
For M5|Adr    25|KD1       3K      24.0 C    11L|                      |                      |Z       103.02902 m   | 
For M5|Adr    26|KD1       3K      24.0 C  3 11L|Rb        1.75370 m   |HD          6.258 m   |                      | 
For M5|Adr    27|KD1       4K      24.0 C  3 11L|Rf        0.68346 m   |HD          6.527 m   |                      | 
For M5|Adr    28|KD1       4K      24.0 C  3 11L|Rf        0.65410 m   |HD          6.535 m   |                      | 
For M5|Adr    29|KD1       3K      24.0 C  3 11L|Rb        1.72429 m   |HD          6.250 m   |                      | 
For M5|Adr    30|KD1       4K      24.0 C    11L|                      |                      |Z       104.09924 m   | 
For M5|Adr    31|KD1       4K      24.0 C  3 11L|Rb        1.74473 m   |HD          6.047 m   |                      | 
For M5|Adr    32|KD1       5K      24.0 C  3 11L|Rf        0.71755 m   |HD          5.892 m   |                      | 
For M5|Adr    33|KD1       5K      24.0 C  3 11L|Rf        0.73685 m   |HD          5.884 m   |                      | 
For M5|Adr    34|KD1       4K      24.0 C  3 11L|Rb        1.76400 m   |HD          6.056 m   |                      | 
For M5|Adr    35|KD1       5K      24.0 C    11L|                      |                      |Z       105.12640 m   | 
For M5|Adr    36|KD1       5K      24.0 C  3 11L|Rb        1.77298 m   |HD          6.298 m   |                      | 
For M5|Adr    37|KD1       6K      24.0 C  3 11L|Rf        0.71139 m   |HD          6.373 m   |                      | 
For M5|Adr    38|KD1       6K      24.0 C  3 11L|Rf        0.66963 m   |HD          6.378 m   |                      | 
For M5|Adr    39|KD1       5K      24.0 C  3 11L|Rb        1.73124 m   |HD          6.292 m   |                      | 
For M5|Adr    40|KD1       6K      24.0 C    11L|                      |                      |Z       106.18800 m   | 
For M5|Adr    41|KD1       6K      24.0 C  3 11L|Rb        1.73487 m   |HD          6.008 m   |                      | 
For M5|Adr    42|KD1       7K      24.0 C  3 11L|Rf        0.69989 m   |HD          5.923 m   |                      | 
For M5|Adr    43|KD1       7K      24.0 C  3 11L|Rf        0.67816 m   |HD          5.919 m   |                      | 
For M5|Adr    44|KD1       6K      24.0 C  3 11L|Rb        1.71314 m   |HD          6.010 m   |                      | 
For M5|Adr    45|KD1       7K      24.0 C    11L|                      |                      |Z       107.22298 m   | 
For M5|Adr    46|KD1       7K      24.0 C  3 11L|Rb        1.74636 m   |HD          6.296 m   |                      | 
For M5|Adr    47|KD1       8K      24.0 C  3 11L|Rf        0.62930 m   |HD          6.412 m   |                      | 
For M5|Adr    48|KD1       8K      23.0 C  3 11L|Rf        0.65182 m   |HD          6.404 m   |                      | 
For M5|Adr    49|KD1       7K      23.0 C  3 11L|Rb        1.76901 m   |HD          6.316 m   |                      | 
For M5|Adr    50|KD1       8K      23.0 C    11L|                      |                      |Z       108.34011 m   | 
For M5|Adr    51|KD1       8K      24.0 C  3 11L|Rb        1.79752 m   |HD          6.455 m   |                      | 
For M5|Adr    52|KD1       9K      24.0 C  3 11L|Rf        0.67772 m   |HD          6.919 m   |                      | 
For M5|Adr    53|KD1       9K      24.0 C  3 11L|Rf        0.67286 m   |HD          6.929 m   |                      | 
For M5|Adr    54|KD1       8K      24.0 C  3 11L|Rb        1.79263 m   |HD          6.449 m   |                      | 
For M5|Adr    55|KD1       9K      24.0 C    11L|                      |                      |Z       109.45989 m   | 
For M5|Adr    56|KD1       9K      23.0 C  3 11L|Rb        1.76471 m   |HD          6.285 m   |                      | 
For M5|Adr    57|KD1      10K      23.0 C  3 11L|Rf        0.71247 m   |HD          6.297 m   |                      | 
For M5|Adr    58|KD1      10K      23.0 C  3 11L|Rf        0.67915 m   |HD          6.303 m   |                      | 
For M5|Adr    59|KD1       9K      23.0 C  3 11L|Rb        1.73138 m   |HD          6.278 m   |                      | 
