For M5|Adr     1|TO  1217U-1853W.DAT            |                      |                      |                      | 
For M5|Adr     2|TO  220522 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  72270 70303 1123   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    4L|                      |                      |                      | 
For M5|Adr    17|KD1    1217U                 4L|                      |                      |Z       100.00000 m   | 
For M5|Adr    18|KD1    1217U      23.0 C  3  4L|Rb        1.66480 m   |HD          4.356 m   |                      | 
For M5|Adr    19|KD1       1S      23.0 C  3  4L|Rf        1.00972 m   |HD          4.155 m   |                      | 
For M5|Adr    20|KD1       1S      23.0 C  3  4L|Rf        1.03272 m   |HD          4.119 m   |                      | 
For M5|Adr    21|KD1    1217U      23.0 C  3  4L|Rb        1.68789 m   |HD          4.379 m   |                      | 
For M5|Adr    22|KD1       1S      23.0 C     4L|                      |                      |Z       100.65512 m   | 
For M5|Adr    23|KD1       1S      23.0 C  3  4L|Rb        1.69897 m   |HD         10.268 m   |                      | 
For M5|Adr    24|KD1       2S      23.0 C  3  4L|Rf        0.79153 m   |HD         10.746 m   |                      | 
For M5|Adr    25|KD1       2S      23.0 C  3  4L|Rf        0.81510 m   |HD         10.751 m   |                      | 
For M5|Adr    26|KD1       1S      23.0 C  3  4L|Rb        1.72258 m   |HD         10.262 m   |                      | 
For M5|Adr    27|KD1       2S      23.0 C     4L|                      |                      |Z       101.56258 m   | 
For M5|Adr    28|KD1       2S      23.0 C  3  4L|Rb        1.65749 m   |HD         11.819 m   |                      | 
For M5|Adr    29|KD1       3S      23.0 C  3  4L|Rf        1.00075 m   |HD         12.711 m   |                      | 
For M5|Adr    30|KD1       3S      23.0 C  3  4L|Rf        0.99607 m   |HD         12.713 m   |                      | 
For M5|Adr    31|KD1       2S      23.0 C  3  4L|Rb        1.65297 m   |HD         11.801 m   |                      | 
For M5|Adr    32|KD1       3S      23.0 C     4L|                      |                      |Z       102.21940 m   | 
For M5|Adr    33|KD1       3S      23.0 C  3  4L|Rb        1.69946 m   |HD         11.987 m   |                      | 
For M5|Adr    34|KD1       4S      23.0 C  3  4L|Rf        0.60765 m   |HD         12.736 m   |                      | 
For M5|Adr    35|KD1       4S      23.0 C  3  4L|Rf        0.62949 m   |HD         12.739 m   |                      | 
For M5|Adr    36|KD1       3S      23.0 C  3  4L|Rb        1.72115 m   |HD         11.983 m   |                      | 
For M5|Adr    37|KD1       4S      23.0 C     4L|                      |                      |Z       103.31114 m   | 
For M5|Adr    38|KD1       4S      23.0 C  3  4L|Rb        1.59988 m   |HD         10.581 m   |                      | 
For M5|Adr    39|KD1       5S      23.0 C  3  4L|Rf        0.69420 m   |HD          9.804 m   |                      | 
For M5|Adr    40|KD1       5S      23.0 C  3  4L|Rf        0.71153 m   |HD          9.795 m   |                      | 
For M5|Adr    41|KD1       4S      23.0 C  3  4L|Rb        1.61733 m   |HD         10.587 m   |                      | 
For M5|Adr    42|KD1       5S      23.0 C     4L|                      |                      |Z       104.21688 m   | 
For M5|Adr    49|KD1       5S      23.0 C  3  4L|Rb        1.68000 m   |HD         12.146 m   |                      | 
For M5|Adr    50|KD1       6S      23.0 C  3  4L|Rf        0.61471 m   |HD         11.761 m   |                      | 
For M5|Adr    51|KD1       6S      23.0 C  3  4L|Rf        0.60609 m   |HD         11.754 m   |                      | 
For M5|Adr    52|KD1       5S      23.0 C  3  4L|Rb        1.67133 m   |HD         12.160 m   |                      | 
For M5|Adr    53|KD1       6S      23.0 C     4L|                      |                      |Z       105.28214 m   | 
For M5|Adr    54|KD1       6S      23.0 C  3  4L|Rb        1.62128 m   |HD         10.984 m   |                      | 
For M5|Adr    55|KD1       7S      23.0 C  3  4L|Rf        0.68087 m   |HD         10.135 m   |                      | 
For M5|Adr    56|KD1       7S      23.0 C  3  4L|Rf        0.71335 m   |HD         10.147 m   |                      | 
For M5|Adr    57|KD1       6S      23.0 C  3  4L|Rb        1.65376 m   |HD         10.970 m   |                      | 
For M5|Adr    58|KD1       7S      23.0 C     4L|                      |                      |Z       106.22255 m   | 
For M5|Adr    59|KD1       7S      23.0 C  3  4L|Rb        1.71919 m   |HD         12.118 m   |                      | 
For M5|Adr    60|KD1       8S      23.0 C  3  4L|Rf        0.49243 m   |HD         13.022 m   |                      | 
For M5|Adr    61|KD1       8S      23.0 C  3  4L|Rf        0.53204 m   |HD         13.020 m   |                      | 
For M5|Adr    62|KD1       7S      23.0 C  3  4L|Rb        1.75882 m   |HD         12.120 m   |                      | 
For M5|Adr    63|KD1       8S      23.0 C     4L|                      |                      |Z       107.44932 m   | 
For M5|Adr    64|KD1       8S      23.0 C  3  4L|Rb        1.65259 m   |HD          8.270 m   |                      | 
For M5|Adr    65|KD1       9S      23.0 C  3  4L|Rf        0.66651 m   |HD          8.836 m   |                      | 
For M5|Adr    66|KD1       9S      23.0 C  3  4L|Rf        0.70996 m   |HD          8.860 m   |                      | 
For M5|Adr    67|KD1       8S      23.0 C  3  4L|Rb        1.69611 m   |HD          8.249 m   |                      | 
For M5|Adr    68|KD1       9S      23.0 C     4L|                      |                      |Z       108.43544 m   | 
For M5|Adr    69|KD1       9S      23.0 C  3  4L|Rb        1.70795 m   |HD          7.888 m   |                      | 
For M5|Adr    70|KD1      10S      23.0 C  3  4L|Rf        0.78167 m   |HD          7.712 m   |                      | 
For M5|Adr    71|KD1      10S      23.0 C  3  4L|Rf        0.77127 m   |HD          7.698 m   |                      | 
For M5|Adr    72|KD1       9S      23.0 C  3  4L|Rb        1.69764 m   |HD          7.896 m   |                      | 
For M5|Adr    73|KD1      10S      23.0 C     4L|                      |                      |Z       109.36176 m   | 
For M5|Adr    74|KD1      10S      23.0 C  3  4L|Rb        1.76294 m   |HD          7.775 m   |                      | 
For M5|Adr    75|KD1      11S      23.0 C  3  4L|Rf        0.78672 m   |HD          7.004 m   |                      | 
For M5|Adr    76|KD1      11S      23.0 C  3  4L|Rf        0.77611 m   |HD          6.997 m   |                      | 
For M5|Adr    77|KD1      10S      23.0 C  3  4L|Rb        1.75237 m   |HD          7.779 m   |                      | 
For M5|Adr    78|KD1      11S      23.0 C     4L|                      |                      |Z       110.33800 m   | 
For M5|Adr    79|KD1      11S      23.0 C  3  4L|Rb        1.68123 m   |HD          7.015 m   |                      | 
For M5|Adr    80|KD1      12S      23.0 C  3  4L|Rf        0.77203 m   |HD          7.344 m   |                      | 
For M5|Adr    81|KD1      12S      23.0 C  3  4L|Rf        0.79323 m   |HD          7.354 m   |                      | 
For M5|Adr    82|KD1      11S      23.0 C  3  4L|Rb        1.70245 m   |HD          7.010 m   |                      | 
For M5|Adr    83|KD1      12S      23.0 C     4L|                      |                      |Z       111.24721 m   | 
For M5|Adr    84|KD1      12S      23.0 C  3  4L|Rb        1.75900 m   |HD          8.458 m   |                      | 
For M5|Adr    85|KD1      13S      23.0 C  3  4L|Rf        0.80249 m   |HD          7.341 m   |                      | 
For M5|Adr    86|KD1      13S      23.0 C  3  4L|Rf        0.82387 m   |HD          7.349 m   |                      | 
For M5|Adr    87|KD1      12S      23.0 C  3  4L|Rb        1.78043 m   |HD          8.456 m   |                      | 
For M5|Adr    88|KD1      13S      23.0 C     4L|                      |                      |Z       112.20375 m   | 
For M5|Adr    89|KD1      13S      23.0 C  3  4L|Rb        1.75182 m   |HD          9.856 m   |                      | 
For M5|Adr    90|KD1      14S      23.0 C  3  4L|Rf        0.64398 m   |HD          9.032 m   |                      | 
For M5|Adr    91|KD1      14S      23.0 C  3  4L|Rf        0.67253 m   |HD          9.036 m   |                      | 
For M5|Adr    92|KD1      13S      23.0 C  3  4L|Rb        1.78049 m   |HD          9.851 m   |                      | 
For M5|Adr    93|KD1      14S      23.0 C     4L|                      |                      |Z       113.31165 m   | 
For M5|Adr    94|KD1      14S      23.0 C  3  4L|Rb        1.84095 m   |HD          8.648 m   |                      | 
For M5|Adr    95|KD1      15S      23.0 C  3  4L|Rf        0.74108 m   |HD          7.932 m   |                      | 
For M5|Adr    96|KD1      15S      23.0 C  3  4L|Rf        0.75012 m   |HD          7.918 m   |                      | 
For M5|Adr    97|KD1      14S      23.0 C  3  4L|Rb        1.85003 m   |HD          8.655 m   |                      | 
For M5|Adr    98|KD1      15S      23.0 C     4L|                      |                      |Z       114.41154 m   | 
For M5|Adr    99|KD1      15S      23.0 C  3  4L|Rb        1.81787 m   |HD          8.020 m   |                      | 
For M5|Adr   100|KD1      16S      23.0 C  3  4L|Rf        0.65899 m   |HD          8.031 m   |                      | 
For M5|Adr   101|KD1      16S      24.0 C  3  4L|Rf        0.63712 m   |HD          8.034 m   |                      | 
For M5|Adr   102|KD1      15S      24.0 C  3  4L|Rb        1.79606 m   |HD          8.020 m   |                      | 
For M5|Adr   103|KD1      16S      24.0 C     4L|                      |                      |Z       115.57045 m   | 
For M5|Adr   104|KD1      16S      24.0 C  3  4L|Rb        1.77559 m   |HD          7.674 m   |                      | 
For M5|Adr   105|KD1      17S      24.0 C  3  4L|Rf        0.78580 m   |HD          8.098 m   |                      | 
For M5|Adr   106|KD1      17S      24.0 C  3  4L|Rf        0.74924 m   |HD          8.097 m   |                      | 
For M5|Adr   107|KD1      16S      24.0 C  3  4L|Rb        1.73900 m   |HD          7.670 m   |                      | 
For M5|Adr   108|KD1      17S      24.0 C     4L|                      |                      |Z       116.56022 m   | 
