For M5|Adr     1|TO  1250U-1249U.DAT            |                      |                      |                      | 
For M5|Adr     2|TO  300622 Rudien              |                      |                      |                      | 
For M5|Adr     3|TO  743261  58086 70303 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   51F|                      |                      |                      | 
For M5|Adr     3|KD1    1250U                51F|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1    1250U      31.0 C  3 51F|Rb        1.85423 m   |HD         12.029 m   |                      | 
For M5|Adr     7|KD1    1074R      31.0 C  3 51F|Rf        0.60538 m   |HD         12.429 m   |                      | 
For M5|Adr    10|KD1    1074R      31.0 C  3 51F|Rf        0.61932 m   |HD         12.338 m   |                      | 
For M5|Adr    11|KD1    1250U      31.0 C  3 51F|Rb        1.86800 m   |HD         12.119 m   |                      | 
For M5|Adr    12|KD1    1074R      31.0 C    51F|                      |                      |Z       101.24876 m   | 
For M5|Adr    13|KD1    1074R      32.0 C  3 51F|Rb        1.76163 m   |HD         12.414 m   |                      | 
For M5|Adr    14|KD1    1075R      32.0 C  3 51F|Rf        0.67947 m   |HD         11.690 m   |                      | 
For M5|Adr    15|KD1    1075R      32.0 C  3 51F|Rf        0.75640 m   |HD         11.704 m   |                      | 
For M5|Adr    16|KD1    1074R      32.0 C  3 51F|Rb        1.83862 m   |HD         12.397 m   |                      | 
For M5|Adr    17|KD1    1075R      32.0 C    51F|                      |                      |Z       102.33095 m   | 
For M5|Adr    18|KD1    1075R      32.0 C  3 51F|Rb        1.71902 m   |HD         12.770 m   |                      | 
For M5|Adr    19|KD1    1076R      32.0 C  3 51F|Rf        0.52288 m   |HD         13.535 m   |                      | 
For M5|Adr    20|KD1    1076R      32.0 C  3 51F|Rf        0.60965 m   |HD         13.534 m   |                      | 
For M5|Adr    21|KD1    1075R      32.0 C  3 51F|Rb        1.80582 m   |HD         12.767 m   |                      | 
For M5|Adr    22|KD1    1076R      32.0 C    51F|                      |                      |Z       103.52711 m   | 
For M5|Adr    23|KD1    1076R      32.0 C  3 51F|Rb        1.80771 m   |HD         12.597 m   |                      | 
For M5|Adr    24|KD1    1077R      32.0 C  3 51F|Rf        0.60278 m   |HD         12.895 m   |                      | 
For M5|Adr    25|KD1    1077R      32.0 C  3 51F|Rf        0.67343 m   |HD         12.894 m   |                      | 
For M5|Adr    26|KD1    1076R      32.0 C  3 51F|Rb        1.87829 m   |HD         12.592 m   |                      | 
For M5|Adr    27|KD1    1077R      32.0 C    51F|                      |                      |Z       104.73201 m   | 
For M5|Adr    28|KD1    1077R      32.0 C  3 51F|Rb        1.82044 m   |HD         13.044 m   |                      | 
For M5|Adr    29|KD1    1078R      32.0 C  3 51F|Rf        0.66381 m   |HD         12.461 m   |                      | 
For M5|Adr    30|KD1    1078R      32.0 C  3 51F|Rf        0.71837 m   |HD         12.482 m   |                      | 
For M5|Adr    31|KD1    1077R      32.0 C  3 51F|Rb        1.87497 m   |HD         13.018 m   |                      | 
For M5|Adr    32|KD1    1078R      32.0 C    51F|                      |                      |Z       105.88862 m   | 
For M5|Adr    33|KD1    1078R      32.0 C  3 51F|Rb        1.79621 m   |HD         12.677 m   |                      | 
For M5|Adr    34|KD1    1079R      32.0 C  3 51F|Rf        0.61455 m   |HD         12.769 m   |                      | 
For M5|Adr    35|KD1    1079R      32.0 C  3 51F|Rf        0.68043 m   |HD         12.767 m   |                      | 
For M5|Adr    36|KD1    1078R      32.0 C  3 51F|Rb        1.86212 m   |HD         12.673 m   |                      | 
For M5|Adr    37|KD1    1079R      32.0 C    51F|                      |                      |Z       107.07030 m   | 
For M5|Adr    38|KD1    1079R      32.0 C  3 51F|Rb        1.80645 m   |HD         12.731 m   |                      | 
For M5|Adr    39|KD1    1080R      32.0 C  3 51F|Rf        0.66148 m   |HD         11.902 m   |                      | 
For M5|Adr    40|KD1    1080R      32.0 C  3 51F|Rf        0.72507 m   |HD         11.898 m   |                      | 
For M5|Adr    41|KD1    1079R      32.0 C  3 51F|Rb        1.86988 m   |HD         12.732 m   |                      | 
For M5|Adr    42|KD1    1080R      32.0 C    51F|                      |                      |Z       108.21519 m   | 
For M5|Adr    43|KD1    1080R      32.0 C  3 51F|Rb        1.82131 m   |HD         12.995 m   |                      | 
For M5|Adr    44|KD1    1081R      32.0 C  3 51F|Rf        0.61227 m   |HD         13.040 m   |                      | 
For M5|Adr    45|KD1    1081R      32.0 C  3 51F|Rf        0.67857 m   |HD         13.043 m   |                      | 
For M5|Adr    46|KD1    1080R      32.0 C  3 51F|Rb        1.88762 m   |HD         12.991 m   |                      | 
For M5|Adr    47|KD1    1081R      32.0 C    51F|                      |                      |Z       109.42423 m   | 
For M5|Adr    50|KD1    1081R      32.0 C  3 51F|Rb        1.78402 m   |HD         13.137 m   |                      | 
For M5|Adr    51|KD1    1082R      32.0 C  3 51F|Rf        0.58823 m   |HD         12.779 m   |                      | 
For M5|Adr    52|KD1    1082R      32.0 C  3 51F|Rf        0.65940 m   |HD         12.783 m   |                      | 
For M5|Adr    53|KD1    1081R      32.0 C  3 51F|Rb        1.85515 m   |HD         13.138 m   |                      | 
For M5|Adr    54|KD1    1082R      32.0 C    51F|                      |                      |Z       110.62000 m   | 
For M5|Adr    55|KD1    1082R      32.0 C  3 51F|Rb        1.78173 m   |HD         12.640 m   |                      | 
For M5|Adr    56|KD1    1083R      32.0 C  3 51F|Rf        0.58179 m   |HD         12.894 m   |                      | 
For M5|Adr    57|KD1    1083R      32.0 C  3 51F|Rf        0.63863 m   |HD         12.904 m   |                      | 
For M5|Adr    58|KD1    1082R      32.0 C  3 51F|Rb        1.83859 m   |HD         12.634 m   |                      | 
For M5|Adr    59|KD1    1083R      32.0 C    51F|                      |                      |Z       111.81995 m   | 
For M5|Adr    60|KD1    1083R      32.0 C  3 51F|Rb        1.80583 m   |HD         12.928 m   |                      | 
For M5|Adr    61|KD1    1084R      32.0 C  3 51F|Rf        0.57859 m   |HD         14.020 m   |                      | 
For M5|Adr    62|KD1    1084R      32.0 C  3 51F|Rf        0.63400 m   |HD         14.021 m   |                      | 
For M5|Adr    63|KD1    1083R      32.0 C  3 51F|Rb        1.86125 m   |HD         12.927 m   |                      | 
For M5|Adr    64|KD1    1084R      32.0 C    51F|                      |                      |Z       113.04720 m   | 
For M5|Adr    65|KD1    1084R      32.0 C  3 51F|Rb        1.80730 m   |HD         12.884 m   |                      | 
For M5|Adr    66|KD1    1085R      32.0 C  3 51F|Rf        0.62395 m   |HD         12.773 m   |                      | 
For M5|Adr    67|KD1    1085R      32.0 C  3 51F|Rf        0.68751 m   |HD         12.777 m   |                      | 
For M5|Adr    68|KD1    1084R      32.0 C  3 51F|Rb        1.87075 m   |HD         12.878 m   |                      | 
For M5|Adr    69|KD1    1085R      32.0 C    51F|                      |                      |Z       114.23049 m   | 
For M5|Adr    70|KD1    1085R      32.0 C  3 51F|Rb        1.81818 m   |HD         13.505 m   |                      | 
For M5|Adr    73|KD1    1086R      32.0 C  3 51F|Rf        0.54579 m   |HD         14.163 m   |                      | 
For M5|Adr    74|KD1    1086R      32.0 C  3 51F|Rf        0.62310 m   |HD         14.164 m   |                      | 
For M5|Adr    75|KD1    1085R      32.0 C  3 51F|Rb        1.89551 m   |HD         13.501 m   |                      | 
For M5|Adr    76|KD1    1086R      32.0 C    51F|                      |                      |Z       115.50289 m   | 
For M5|Adr    77|KD1    1086R      32.0 C  3 51F|Rb        1.81235 m   |HD         12.922 m   |                      | 
For M5|Adr    78|KD1    1087R      32.0 C  3 51F|Rf        0.55796 m   |HD         13.458 m   |                      | 
For M5|Adr    79|KD1    1087R      32.0 C  3 51F|Rf        0.63520 m   |HD         13.460 m   |                      | 
For M5|Adr    80|KD1    1086R      32.0 C  3 51F|Rb        1.88953 m   |HD         12.920 m   |                      | 
For M5|Adr    81|KD1    1087R      32.0 C    51F|                      |                      |Z       116.75725 m   | 
For M5|Adr    82|KD1    1087R      32.0 C  3 51F|Rb        1.76487 m   |HD         12.652 m   |                      | 
For M5|Adr    85|KD1    1088R      32.0 C  3 51F|Rf        0.58009 m   |HD         13.253 m   |                      | 
For M5|Adr    86|KD1    1088R      32.0 C  3 51F|Rf        0.64595 m   |HD         13.255 m   |                      | 
