For M5|Adr     1|TO  1278U-1543JAD.DAT          |                      |                      |                      | 
For M5|Adr     2|TO  190722 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  743261  70303 58086 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   62F|                      |                      |                      | 
For M5|Adr     3|KD1    1278U                62F|                      |                      |Z       100.00000 m   | 
For M5|Adr     6|KD1    1278U      36.0 C  3 62F|Rb        0.64679 m   |HD          6.066 m   |                      | 
For M5|Adr     7|KD1    1248R      36.0 C  3 62F|Rf        1.70352 m   |HD          5.972 m   |                      | 
For M5|Adr     8|KD1    1248R      36.0 C  3 62F|Rf        1.75705 m   |HD          5.968 m   |                      | 
For M5|Adr     9|KD1    1278U      36.0 C  3 62F|Rb        0.70024 m   |HD          6.074 m   |                      | 
For M5|Adr    10|KD1    1248R      36.0 C    62F|                      |                      |Z        98.94323 m   | 
For M5|Adr    11|KD1    1248R      36.0 C  3 62F|Rb        0.62634 m   |HD          6.008 m   |                      | 
For M5|Adr    12|KD1    1249R      36.0 C  3 62F|Rf        1.64497 m   |HD          5.428 m   |                      | 
For M5|Adr    13|KD1    1249R      36.0 C  3 62F|Rf        1.70308 m   |HD          5.427 m   |                      | 
For M5|Adr    14|KD1    1248R      36.0 C  3 62F|Rb        0.68446 m   |HD          6.007 m   |                      | 
For M5|Adr    15|KD1    1249R      36.0 C    62F|                      |                      |Z        97.92460 m   | 
For M5|Adr    16|KD1    1249R      36.0 C  3 62F|Rb        0.59625 m   |HD          6.885 m   |                      | 
For M5|Adr    17|KD1    1250R      36.0 C  3 62F|Rf        1.87356 m   |HD          7.006 m   |                      | 
For M5|Adr    18|KD1    1250R      36.0 C  3 62F|Rf        1.88786 m   |HD          7.015 m   |                      | 
For M5|Adr    19|KD1    1249R      36.0 C  3 62F|Rb        0.61054 m   |HD          6.874 m   |                      | 
For M5|Adr    20|KD1    1250R      36.0 C    62F|                      |                      |Z        96.64729 m   | 
For M5|Adr    21|KD1    1250R      36.0 C  3 62F|Rb        0.55147 m   |HD          6.614 m   |                      | 
For M5|Adr    22|KD1    1251R      36.0 C  3 62F|Rf        1.69477 m   |HD          6.058 m   |                      | 
For M5|Adr    23|KD1    1251R      36.0 C  3 62F|Rf        1.75538 m   |HD          6.033 m   |                      | 
For M5|Adr    24|KD1    1250R      36.0 C  3 62F|Rb        0.61203 m   |HD          6.639 m   |                      | 
For M5|Adr    25|KD1    1251R      36.0 C    62F|                      |                      |Z        95.50397 m   | 
For M5|Adr    26|KD1    1251R      36.0 C  3 62F|Rb        0.53791 m   |HD          6.406 m   |                      | 
For M5|Adr    29|KD1    1252R      36.0 C  3 62F|Rf        1.73998 m   |HD          6.766 m   |                      | 
For M5|Adr    30|KD1    1252R      36.0 C  3 62F|Rf        1.78721 m   |HD          6.761 m   |                      | 
For M5|Adr    31|KD1    1251R      36.0 C  3 62F|Rb        0.58511 m   |HD          6.410 m   |                      | 
For M5|Adr    32|KD1    1252R      36.0 C    62F|                      |                      |Z        94.30188 m   | 
For M5|Adr    33|KD1    1252R      36.0 C  3 62F|Rb        0.53525 m   |HD          6.930 m   |                      | 
For M5|Adr    34|KD1    1253R      36.0 C  3 62F|Rf        1.73749 m   |HD          6.411 m   |                      | 
For M5|Adr    35|KD1    1253R      36.0 C  3 62F|Rf        1.79696 m   |HD          6.406 m   |                      | 
For M5|Adr    36|KD1    1252R      36.0 C  3 62F|Rb        0.59468 m   |HD          6.934 m   |                      | 
For M5|Adr    37|KD1    1253R      36.0 C    62F|                      |                      |Z        93.09962 m   | 
For M5|Adr    38|KD1    1253R      36.0 C  3 62F|Rb        0.56351 m   |HD          6.207 m   |                      | 
For M5|Adr    41|KD1    1254R      36.0 C  3 62F|Rf        1.69044 m   |HD          5.630 m   |                      | 
For M5|Adr    42|KD1    1254R      36.0 C  3 62F|Rf        1.74748 m   |HD          5.623 m   |                      | 
For M5|Adr    43|KD1    1253R      36.0 C  3 62F|Rb        0.62048 m   |HD          6.215 m   |                      | 
For M5|Adr    44|KD1    1254R      36.0 C    62F|                      |                      |Z        91.97266 m   | 
For M5|Adr    45|KD1    1254R      36.0 C  3 62F|Rb        0.53972 m   |HD          7.237 m   |                      | 
For M5|Adr    46|KD1    1255R      36.0 C  3 62F|Rf        1.77870 m   |HD          6.509 m   |                      | 
For M5|Adr    47|KD1    1255R      36.0 C  3 62F|Rf        1.82629 m   |HD          6.512 m   |                      | 
For M5|Adr    48|KD1    1254R      36.0 C  3 62F|Rb        0.58750 m   |HD          7.247 m   |                      | 
For M5|Adr    49|KD1    1255R      36.0 C    62F|                      |                      |Z        90.73377 m   | 
For M5|Adr    50|KD1    1255R      37.0 C  3 62F|Rb        0.61925 m   |HD          6.285 m   |                      | 
For M5|Adr    51|KD1    1256R      37.0 C  3 62F|Rf        1.72705 m   |HD          6.189 m   |                      | 
For M5|Adr    52|KD1    1256R      37.0 C  3 62F|Rf        1.77615 m   |HD          6.178 m   |                      | 
For M5|Adr    53|KD1    1255R      37.0 C  3 62F|Rb        0.66825 m   |HD          6.289 m   |                      | 
For M5|Adr    54|KD1    1256R      37.0 C    62F|                      |                      |Z        89.62592 m   | 
For M5|Adr    55|KD1    1256R      37.0 C  3 62F|Rb        0.63177 m   |HD          6.501 m   |                      | 
For M5|Adr    56|KD1    1257R      37.0 C  3 62F|Rf        1.79366 m   |HD          6.141 m   |                      | 
For M5|Adr    57|KD1    1257R      37.0 C  3 62F|Rf        1.82659 m   |HD          6.130 m   |                      | 
For M5|Adr    58|KD1    1256R      37.0 C  3 62F|Rb        0.66471 m   |HD          6.506 m   |                      | 
For M5|Adr    59|KD1    1257R      37.0 C    62F|                      |                      |Z        88.46404 m   | 
For M5|Adr    60|KD1    1257R      37.0 C  3 62F|Rb        0.64255 m   |HD          5.897 m   |                      | 
For M5|Adr    61|KD1    1258R      37.0 C  3 62F|Rf        1.76736 m   |HD          6.438 m   |                      | 
For M5|Adr    64|KD1    1258R      37.0 C  3 62F|Rf        1.81966 m   |HD          6.434 m   |                      | 
