For M5|Adr     1|TO  1536JAD-1237U.DAT          |                      |                      |                      | 
For M5|Adr     2|TO  190622 Rudien              |                      |                      |                      | 
For M5|Adr     3|TO  743261  72263 58086 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   30F|                      |                      |                      | 
For M5|Adr    17|KD1  JAD1536                30F|                      |                      |Z       100.00000 m   | 
For M5|Adr    18|KD1  JAD1536      24.0 C  3 30F|Rb        0.80697 m   |HD         13.576 m   |                      | 
For M5|Adr    19|KD1     493R      24.0 C  3 30F|Rf        1.18948 m   |HD         13.254 m   |                      | 
For M5|Adr    20|KD1     493R      24.0 C  3 30F|Rf        1.24128 m   |HD         13.247 m   |                      | 
For M5|Adr    21|KD1  JAD1536      24.0 C  3 30F|Rb        0.85882 m   |HD         13.579 m   |                      | 
For M5|Adr    22|KD1     493R      24.0 C    30F|                      |                      |Z        99.61751 m   | 
For M5|Adr    23|KD1     493R      24.0 C  3 30F|Rb        1.45197 m   |HD         15.971 m   |                      | 
For M5|Adr    24|KD1     494R      24.0 C  3 30F|Rf        1.13427 m   |HD         15.653 m   |                      | 
For M5|Adr    25|KD1     494R      24.0 C  3 30F|Rf        1.20578 m   |HD         15.670 m   |                      | 
For M5|Adr    26|KD1     493R      24.0 C  3 30F|Rb        1.52348 m   |HD         15.963 m   |                      | 
For M5|Adr    27|KD1     494R      24.0 C    30F|                      |                      |Z        99.93521 m   | 
For M5|Adr    28|KD1     494R      24.0 C  3 30F|Rb        1.78956 m   |HD         13.466 m   |                      | 
For M5|Adr    29|KD1     495R      24.0 C  3 30F|Rf        0.90109 m   |HD         13.456 m   |                      | 
For M5|Adr    30|KD1     495R      24.0 C  3 30F|Rf        0.95992 m   |HD         13.474 m   |                      | 
For M5|Adr    31|KD1     494R      24.0 C  3 30F|Rb        1.84842 m   |HD         13.454 m   |                      | 
For M5|Adr    32|KD1     495R      24.0 C    30F|                      |                      |Z       100.82370 m   | 
For M5|Adr    33|KD1     495R      24.0 C  3 30F|Rb        1.60118 m   |HD         14.054 m   |                      | 
For M5|Adr    36|KD1     496R      24.0 C  3 30F|Rf        1.16350 m   |HD         14.319 m   |                      | 
For M5|Adr    37|KD1     496R      24.0 C  3 30F|Rf        1.23215 m   |HD         14.318 m   |                      | 
For M5|Adr    38|KD1     495R      24.0 C  3 30F|Rb        1.66985 m   |HD         14.054 m   |                      | 
For M5|Adr    39|KD1     496R      24.0 C    30F|                      |                      |Z       101.26139 m   | 
For M5|Adr    40|KD1     496R      24.0 C  3 30F|Rb        1.03598 m   |HD         12.038 m   |                      | 
For M5|Adr    41|KD1     497R      24.0 C  3 30F|Rf        1.16147 m   |HD         12.093 m   |                      | 
For M5|Adr    42|KD1     497R      24.0 C  3 30F|Rf        1.21357 m   |HD         12.106 m   |                      | 
For M5|Adr    43|KD1     496R      24.0 C  3 30F|Rb        1.08802 m   |HD         12.035 m   |                      | 
For M5|Adr    44|KD1     497R      24.0 C    30F|                      |                      |Z       101.13587 m   | 
For M5|Adr    45|KD1     497R      24.0 C  3 30F|Rb        1.43219 m   |HD          6.019 m   |                      | 
For M5|Adr    46|KD1     498R      24.0 C  3 30F|Rf        1.01768 m   |HD          6.457 m   |                      | 
For M5|Adr    47|KD1     498R      24.0 C  3 30F|Rf        1.08425 m   |HD          6.454 m   |                      | 
For M5|Adr    48|KD1     497R      24.0 C  3 30F|Rb        1.49881 m   |HD          6.023 m   |                      | 
For M5|Adr    49|KD1     498R      24.0 C    30F|                      |                      |Z       101.55040 m   | 
For M5|Adr    55|KD1     498R      24.0 C  3 30F|Rb        0.95909 m   |HD         15.956 m   |                      | 
For M5|Adr    56|KD1     499R      24.0 C  3 30F|Rf        0.51192 m   |HD         15.144 m   |                      | 
For M5|Adr    57|KD1     499R      24.0 C  3 30F|Rf        0.55821 m   |HD         15.143 m   |                      | 
For M5|Adr    58|KD1     498R      24.0 C  3 30F|Rb        1.00548 m   |HD         15.970 m   |                      | 
For M5|Adr    59|KD1     499R      24.0 C    30F|                      |                      |Z       101.99762 m   | 
For M5|Adr    60|KD1     499R      24.0 C  3 30F|Rb        1.81151 m   |HD         11.702 m   |                      | 
For M5|Adr    61|KD1     500R      24.0 C  3 30F|Rf        0.62063 m   |HD         11.873 m   |                      | 
For M5|Adr    62|KD1     500R      25.0 C  3 30F|Rf        0.68600 m   |HD         11.882 m   |                      | 
For M5|Adr    63|KD1     499R      25.0 C  3 30F|Rb        1.87682 m   |HD         11.690 m   |                      | 
For M5|Adr    64|KD1     500R      25.0 C    30F|                      |                      |Z       103.18847 m   | 
For M5|Adr    65|KD1     500R      25.0 C  3 30F|Rb        1.76976 m   |HD         11.903 m   |                      | 
For M5|Adr    66|KD1     501R      25.0 C  3 30F|Rf        0.63912 m   |HD         11.703 m   |                      | 
For M5|Adr    67|KD1     501R      25.0 C  3 30F|Rf        0.70716 m   |HD         11.710 m   |                      | 
For M5|Adr    68|KD1     500R      25.0 C  3 30F|Rb        1.83781 m   |HD         11.897 m   |                      | 
For M5|Adr    69|KD1     501R      25.0 C    30F|                      |                      |Z       104.31912 m   | 
For M5|Adr    72|KD1     501R      25.0 C  3 30F|Rb        1.80768 m   |HD         11.166 m   |                      | 
For M5|Adr    73|KD1     502R      25.0 C  3 30F|Rf        0.53457 m   |HD         11.977 m   |                      | 
For M5|Adr    74|KD1     502R      25.0 C  3 30F|Rf        0.59739 m   |HD         11.981 m   |                      | 
For M5|Adr    75|KD1     501R      25.0 C  3 30F|Rb        1.87053 m   |HD         11.160 m   |                      | 
For M5|Adr    76|KD1     502R      25.0 C    30F|                      |                      |Z       105.59225 m   | 
For M5|Adr    77|KD1     502R      25.0 C  3 30F|Rb        1.82895 m   |HD         10.808 m   |                      | 
For M5|Adr    78|KD1     503R      25.0 C  3 30F|Rf        0.58326 m   |HD         10.861 m   |                      | 
For M5|Adr    81|KD1     503R      25.0 C  3 30F|Rf        0.63379 m   |HD         10.871 m   |                      | 
For M5|Adr    82|KD1     502R      25.0 C  3 30F|Rb        1.87940 m   |HD         10.798 m   |                      | 
For M5|Adr    83|KD1     503R      25.0 C    30F|                      |                      |Z       106.83790 m   | 
For M5|Adr    84|KD1     503R      25.0 C  3 30F|Rb        1.70695 m   |HD          9.570 m   |                      | 
For M5|Adr    85|KD1     504R      25.0 C  3 30F|Rf        0.82354 m   |HD          9.580 m   |                      | 
For M5|Adr    86|KD1     504R      25.0 C  3 30F|Rf        0.89444 m   |HD          9.581 m   |                      | 
For M5|Adr    87|KD1     503R      25.0 C  3 30F|Rb        1.77775 m   |HD          9.573 m   |                      | 
For M5|Adr    88|KD1     504R      25.0 C    30F|                      |                      |Z       107.72125 m   | 
For M5|Adr    89|KD1     504R      25.0 C  3 30F|Rb        1.64528 m   |HD         10.305 m   |                      | 
For M5|Adr    90|KD1     505R      26.0 C  3 30F|Rf        0.78038 m   |HD         10.279 m   |                      | 
For M5|Adr    91|KD1     505R      26.0 C  3 30F|Rf        0.84435 m   |HD         10.279 m   |                      | 
For M5|Adr    92|KD1     504R      26.0 C  3 30F|Rb        1.70920 m   |HD         10.304 m   |                      | 
For M5|Adr    93|KD1     505R      26.0 C    30F|                      |                      |Z       108.58613 m   | 
For M5|Adr    94|KD1     505R      26.0 C  3 30F|Rb        1.72875 m   |HD         10.891 m   |                      | 
For M5|Adr    95|KD1     506R      26.0 C  3 30F|Rf        0.77718 m   |HD         11.366 m   |                      | 
For M5|Adr    96|KD1     506R      26.0 C  3 30F|Rf        0.85328 m   |HD         11.362 m   |                      | 
For M5|Adr    97|KD1     505R      26.0 C  3 30F|Rb        1.80481 m   |HD         10.900 m   |                      | 
For M5|Adr    98|KD1     506R      26.0 C    30F|                      |                      |Z       109.53768 m   | 
For M5|Adr    99|KD1     506R      26.0 C  3 30F|Rb        1.67411 m   |HD         11.610 m   |                      | 
For M5|Adr   100|KD1     507R      26.0 C  3 30F|Rf        0.76800 m   |HD         11.493 m   |                      | 
For M5|Adr   101|KD1     507R      26.0 C  3 30F|Rf        0.84770 m   |HD         11.494 m   |                      | 
For M5|Adr   102|KD1     506R      26.0 C  3 30F|Rb        1.75382 m   |HD         11.610 m   |                      | 
