For M5|Adr     1|TO  1240U-1537JAD.DAT          |                      |                      |                      | 
For M5|Adr     2|TO  230622 Rudien              |                      |                      |                      | 
For M5|Adr     3|TO  743261  72263 72270 1121   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   39F|                      |                      |                      | 
For M5|Adr     3|KD1    1240U                39F|                      |                      |Z       100.00000 m   | 
For M5|Adr     7|KD1    1240U      32.0 C  3 39F|Rb        0.58102 m   |HD         15.826 m   |                      | 
For M5|Adr     8|KD1     717R      32.0 C  3 39F|Rf        1.83197 m   |HD         15.130 m   |                      | 
For M5|Adr     9|KD1     717R      32.0 C  3 39F|Rf        1.88894 m   |HD         15.134 m   |                      | 
For M5|Adr    10|KD1    1240U      32.0 C  3 39F|Rb        0.63808 m   |HD         15.817 m   |                      | 
For M5|Adr    11|KD1     717R      32.0 C    39F|                      |                      |Z        98.74909 m   | 
For M5|Adr    12|KD1     717R      32.0 C  3 39F|Rb        0.61004 m   |HD         16.356 m   |                      | 
For M5|Adr    13|KD1     718R      32.0 C  3 39F|Rf        1.81626 m   |HD         17.403 m   |                      | 
For M5|Adr    14|KD1     718R      32.0 C  3 39F|Rf        1.85339 m   |HD         17.398 m   |                      | 
For M5|Adr    15|KD1     717R      32.0 C  3 39F|Rb        0.64709 m   |HD         16.347 m   |                      | 
For M5|Adr    16|KD1     718R      32.0 C    39F|                      |                      |Z        97.54283 m   | 
For M5|Adr    17|KD1     718R      32.0 C  3 39F|Rb        0.76927 m   |HD         16.195 m   |                      | 
For M5|Adr    20|KD1     719R      32.0 C  3 39F|Rf        1.71265 m   |HD         16.541 m   |                      | 
For M5|Adr    21|KD1     719R      32.0 C  3 39F|Rf        1.76545 m   |HD         16.545 m   |                      | 
For M5|Adr    22|KD1     718R      32.0 C  3 39F|Rb        0.82200 m   |HD         16.188 m   |                      | 
For M5|Adr    23|KD1     719R      32.0 C    39F|                      |                      |Z        96.59942 m   | 
For M5|Adr    24|KD1     719R      32.0 C  3 39F|Rb        0.74855 m   |HD         18.950 m   |                      | 
For M5|Adr    25|KD1     720R      32.0 C  3 39F|Rf        1.76757 m   |HD         18.869 m   |                      | 
For M5|Adr    26|KD1     720R      32.0 C  3 39F|Rf        1.82653 m   |HD         18.870 m   |                      | 
For M5|Adr    27|KD1     719R      32.0 C  3 39F|Rb        0.80751 m   |HD         18.952 m   |                      | 
For M5|Adr    28|KD1     720R      32.0 C    39F|                      |                      |Z        95.58040 m   | 
For M5|Adr    29|KD1     720R      32.0 C  3 39F|Rb        0.73597 m   |HD         18.539 m   |                      | 
For M5|Adr    30|KD1     721R      32.0 C  3 39F|Rf        1.79523 m   |HD         17.588 m   |                      | 
For M5|Adr    31|KD1     721R      32.0 C  3 39F|Rf        1.83953 m   |HD         17.584 m   |                      | 
For M5|Adr    32|KD1     720R      32.0 C  3 39F|Rb        0.78021 m   |HD         18.534 m   |                      | 
For M5|Adr    33|KD1     721R      32.0 C    39F|                      |                      |Z        94.52111 m   | 
For M5|Adr    34|KD1     721R      32.0 C  3 39F|Rb        0.63915 m   |HD         15.195 m   |                      | 
For M5|Adr    35|KD1     722R      32.0 C  3 39F|Rf        1.79722 m   |HD         15.896 m   |                      | 
For M5|Adr    36|KD1     722R      32.0 C  3 39F|Rf        1.84959 m   |HD         15.902 m   |                      | 
For M5|Adr    37|KD1     721R      32.0 C  3 39F|Rb        0.69158 m   |HD         15.199 m   |                      | 
For M5|Adr    38|KD1     722R      32.0 C    39F|                      |                      |Z        93.36307 m   | 
For M5|Adr    39|KD1     722R      32.0 C  3 39F|Rb        0.61704 m   |HD         14.364 m   |                      | 
For M5|Adr    42|KD1     723R      32.0 C  3 39F|Rf        1.88420 m   |HD         14.607 m   |                      | 
For M5|Adr    43|KD1     723R      32.0 C  3 39F|Rf        1.83599 m   |HD         14.644 m   |                      | 
For M5|Adr    44|KD1     722R      32.0 C  3 39F|Rb        0.56872 m   |HD         14.328 m   |                      | 
For M5|Adr    45|KD1     723R      32.0 C    39F|                      |                      |Z        92.09585 m   | 
For M5|Adr    46|KD1     723R      32.0 C  3 39F|Rb        0.60885 m   |HD         13.618 m   |                      | 
For M5|Adr    47|KD1     724R      32.0 C  3 39F|Rf        1.86811 m   |HD         13.604 m   |                      | 
For M5|Adr    48|KD1     724R      32.0 C  3 39F|Rf        1.89423 m   |HD         13.599 m   |                      | 
For M5|Adr    49|KD1     723R      32.0 C  3 39F|Rb        0.63505 m   |HD         13.619 m   |                      | 
For M5|Adr    50|KD1     724R      32.0 C    39F|                      |                      |Z        90.83663 m   | 
For M5|Adr    51|KD1     724R      32.0 C  3 39F|Rb        0.62709 m   |HD         11.903 m   |                      | 
For M5|Adr    52|KD1     725R      32.0 C  3 39F|Rf        1.85841 m   |HD         12.304 m   |                      | 
For M5|Adr    53|KD1     725R      32.0 C  3 39F|Rf        1.88896 m   |HD         12.349 m   |                      | 
For M5|Adr    54|KD1     724R      32.0 C  3 39F|Rb        0.65754 m   |HD         11.859 m   |                      | 
For M5|Adr    55|KD1     725R      32.0 C    39F|                      |                      |Z        89.60526 m   | 
For M5|Adr    56|KD1     725R      32.0 C  3 39F|Rb        0.63843 m   |HD         10.236 m   |                      | 
For M5|Adr    57|KD1     726R      32.0 C  3 39F|Rf        1.77459 m   |HD         10.195 m   |                      | 
For M5|Adr    58|KD1     726R      32.0 C  3 39F|Rf        1.83849 m   |HD         10.190 m   |                      | 
For M5|Adr    59|KD1     725R      32.0 C  3 39F|Rb        0.70237 m   |HD         10.238 m   |                      | 
For M5|Adr    60|KD1     726R      32.0 C    39F|                      |                      |Z        88.46912 m   | 
For M5|Adr    61|KD1     726R      33.0 C  3 39F|Rb        0.63697 m   |HD          9.851 m   |                      | 
For M5|Adr    62|KD1     727R      33.0 C  3 39F|Rf        1.76964 m   |HD          9.953 m   |                      | 
For M5|Adr    63|KD1     727R      33.0 C  3 39F|Rf        1.83309 m   |HD          9.949 m   |                      | 
For M5|Adr    64|KD1     726R      33.0 C  3 39F|Rb        0.70037 m   |HD          9.852 m   |                      | 
For M5|Adr    65|KD1     727R      33.0 C    39F|                      |                      |Z        87.33643 m   | 
