For M5|Adr     1|TO  1522JAD-1547JAD.DAT        |                      |                      |                      | 
For M5|Adr     2|TO  040822 RUDIEN              |                      |                      |                      | 
For M5|Adr     3|TO  743261  70303 72270 1111   |                      |                      |                      |
For M5|Adr     4|TO  Start-Line       BFFB   84F|                      |                      |                      | 
For M5|Adr     3|KD1  1522JAD                84F|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1  1522JAD      31.0 C  3 84F|Rb        1.11803 m   |HD         16.001 m   |                      | 
For M5|Adr     5|KD1    1712R      31.0 C  3 84F|Rf        1.41523 m   |HD         16.565 m   |                      | 
For M5|Adr     6|KD1    1712R      31.0 C  3 84F|Rf        1.47380 m   |HD         16.576 m   |                      | 
For M5|Adr     7|KD1  1522JAD      31.0 C  3 84F|Rb        1.17654 m   |HD         15.974 m   |                      | 
For M5|Adr     8|KD1    1712R      31.0 C    84F|                      |                      |Z        99.70277 m   | 
For M5|Adr     9|KD1    1712R      31.0 C  3 84F|Rb        1.17327 m   |HD         21.890 m   |                      | 
For M5|Adr    10|KD1    1713R      31.0 C  3 84F|Rf        1.46210 m   |HD         22.427 m   |                      | 
For M5|Adr    11|KD1    1713R      31.0 C  3 84F|Rf        1.50425 m   |HD         22.439 m   |                      | 
For M5|Adr    12|KD1    1712R      31.0 C  3 84F|Rb        1.21532 m   |HD         21.887 m   |                      | 
For M5|Adr    13|KD1    1713R      31.0 C    84F|                      |                      |Z        99.41389 m   | 
For M5|Adr    14|KD1    1713R      31.0 C  3 84F|Rb        1.50513 m   |HD         26.622 m   |                      | 
For M5|Adr    17|KD1    1714R      31.0 C  3 84F|Rf        1.29320 m   |HD         26.622 m   |                      | 
For M5|Adr    18|KD1    1714R      31.0 C  3 84F|Rf        1.33951 m   |HD         26.662 m   |                      | 
For M5|Adr    19|KD1    1713R      31.0 C  3 84F|Rb        1.55138 m   |HD         26.605 m   |                      | 
For M5|Adr    20|KD1    1714R      31.0 C    84F|                      |                      |Z        99.62579 m   | 
For M5|Adr    21|KD1    1714R      31.0 C  3 84F|Rb        1.47582 m   |HD         23.766 m   |                      | 
For M5|Adr    22|KD1    1715R      31.0 C  3 84F|Rf        1.22244 m   |HD         22.827 m   |                      | 
For M5|Adr    23|KD1    1715R      31.0 C  3 84F|Rf        1.27546 m   |HD         22.831 m   |                      | 
For M5|Adr    24|KD1    1714R      31.0 C  3 84F|Rb        1.52881 m   |HD         23.749 m   |                      | 
For M5|Adr    25|KD1    1715R      31.0 C    84F|                      |                      |Z        99.87915 m   | 
For M5|Adr    26|KD1    1715R      31.0 C  3 84F|Rb        1.15718 m   |HD         27.721 m   |                      | 
For M5|Adr    29|KD1    1716R      31.0 C  3 84F|Rf        1.87489 m   |HD         27.835 m   |                      | 
For M5|Adr    30|KD1    1716R      31.0 C  3 84F|Rf        1.78536 m   |HD         27.880 m   |                      | 
For M5|Adr    31|KD1    1715R      32.0 C  3 84F|Rb        1.06765 m   |HD         27.686 m   |                      | 
For M5|Adr    32|KD1    1716R      32.0 C    84F|                      |                      |Z        99.16145 m   | 
For M5|Adr    33|KD1    1716R      32.0 C  3 84F|Rb        0.63835 m   |HD         23.655 m   |                      | 
For M5|Adr    34|KD1    1717R      32.0 C  3 84F|Rf        1.12607 m   |HD         24.609 m   |                      | 
For M5|Adr    35|KD1    1717R      32.0 C  3 84F|Rf        1.16299 m   |HD         24.598 m   |                      | 
For M5|Adr    36|KD1    1716R      32.0 C  3 84F|Rb        0.67513 m   |HD         23.654 m   |                      | 
For M5|Adr    37|KD1    1717R      32.0 C    84F|                      |                      |Z        98.67365 m   | 
For M5|Adr    38|KD1    1717R      32.0 C  3 84F|Rb        1.43184 m   |HD         25.640 m   |                      | 
For M5|Adr    39|KD1    1718R      32.0 C  3 84F|Rf        1.20391 m   |HD         25.412 m   |                      | 
For M5|Adr    40|KD1    1718R      32.0 C  3 84F|Rf        1.25368 m   |HD         25.444 m   |                      | 
For M5|Adr    41|KD1    1717R      32.0 C  3 84F|Rb        1.48157 m   |HD         25.618 m   |                      | 
For M5|Adr    42|KD1    1718R      32.0 C    84F|                      |                      |Z        98.90156 m   | 
For M5|Adr    43|KD1    1718R      33.0 C  3 84F|Rb        1.03848 m   |HD         25.927 m   |                      | 
For M5|Adr    44|KD1    1719R      33.0 C  3 84F|Rf        1.46120 m   |HD         26.386 m   |                      | 
For M5|Adr    45|KD1    1719R      33.0 C  3 84F|Rf        1.53032 m   |HD         26.433 m   |                      | 
For M5|Adr    46|KD1    1718R      33.0 C  3 84F|Rb        1.10750 m   |HD         25.864 m   |                      | 
For M5|Adr    47|KD1    1719R      33.0 C    84F|                      |                      |Z        98.47879 m   | 
For M5|Adr    48|KD1    1719R      33.0 C  3 84F|Rb        1.35059 m   |HD         24.662 m   |                      | 
For M5|Adr    49|KD1    1720R      33.0 C  3 84F|Rf        1.35251 m   |HD         25.521 m   |                      | 
For M5|Adr    50|KD1    1720R      33.0 C  3 84F|Rf        1.41845 m   |HD         25.551 m   |                      | 
For M5|Adr    51|KD1    1719R      33.0 C  3 84F|Rb        1.41646 m   |HD         24.628 m   |                      | 
For M5|Adr    52|KD1    1720R      33.0 C    84F|                      |                      |Z        98.47684 m   | 
For M5|Adr    53|KD1    1720R      33.0 C  3 84F|Rb        1.57303 m   |HD         26.994 m   |                      | 
For M5|Adr    54|KD1    1721R      33.0 C  3 84F|Rf        1.31297 m   |HD         26.391 m   |                      | 
For M5|Adr    55|KD1    1721R      33.0 C  3 84F|Rf        1.39011 m   |HD         26.388 m   |                      | 
For M5|Adr    56|KD1    1720R      33.0 C  3 84F|Rb        1.65012 m   |HD         26.990 m   |                      | 
For M5|Adr    57|KD1    1721R      33.0 C    84F|                      |                      |Z        98.73687 m   | 
For M5|Adr    58|KD1    1721R      33.0 C  3 84F|Rb        1.30634 m   |HD         26.848 m   |                      | 
For M5|Adr    63|KD1    1722R      33.0 C  3 84F|Rf        1.37365 m   |HD         26.671 m   |                      | 
For M5|Adr    64|KD1    1722R      33.0 C  3 84F|Rf        1.42285 m   |HD         26.707 m   |                      | 
For M5|Adr    65|KD1    1721R      33.0 C  3 84F|Rb        1.35561 m   |HD         26.820 m   |                      | 
For M5|Adr    66|KD1    1722R      33.0 C    84F|                      |                      |Z        98.66960 m   | 
For M5|Adr    67|KD1    1722R      33.0 C  3 84F|Rb        1.36650 m   |HD         25.564 m   |                      | 
For M5|Adr    68|KD1    1723R      33.0 C  3 84F|Rf        1.42474 m   |HD         26.163 m   |                      | 
For M5|Adr    69|KD1    1723R      33.0 C  3 84F|Rf        1.45911 m   |HD         26.164 m   |                      | 
For M5|Adr    70|KD1    1722R      33.0 C  3 84F|Rb        1.40091 m   |HD         25.574 m   |                      | 
For M5|Adr    71|KD1    1723R      33.0 C    84F|                      |                      |Z        98.61138 m   | 
For M5|Adr    72|KD1    1723R      33.0 C  3 84F|Rb        1.33669 m   |HD         25.517 m   |                      | 
For M5|Adr    73|KD1    1724R      33.0 C  3 84F|Rf        1.37478 m   |HD         25.300 m   |                      | 
For M5|Adr    74|KD1    1724R      33.0 C  3 84F|Rf        1.43169 m   |HD         25.319 m   |                      | 
For M5|Adr    75|KD1    1723R      33.0 C  3 84F|Rb        1.39367 m   |HD         25.512 m   |                      | 
For M5|Adr    76|KD1    1724R      33.0 C    84F|                      |                      |Z        98.57332 m   | 
For M5|Adr    77|KD1    1724R      33.0 C  3 84F|Rb        1.34621 m   |HD         25.688 m   |                      | 
For M5|Adr    78|KD1    1725R      33.0 C  3 84F|Rf        1.44084 m   |HD         26.170 m   |                      | 
For M5|Adr    79|KD1    1725R      33.0 C  3 84F|Rf        1.49618 m   |HD         26.165 m   |                      | 
For M5|Adr    80|KD1    1724R      33.0 C  3 84F|Rb        1.40145 m   |HD         25.700 m   |                      | 
For M5|Adr    81|KD1    1725R      33.0 C    84F|                      |                      |Z        98.47865 m   | 
For M5|Adr    82|KD1    1725R      33.0 C  3 84F|Rb        1.37419 m   |HD         25.975 m   |                      | 
For M5|Adr    83|KD1    1726R      33.0 C  3 84F|Rf        1.27699 m   |HD         26.767 m   |                      | 
For M5|Adr    84|KD1    1726R      33.0 C  3 84F|Rf        1.33222 m   |HD         26.754 m   |                      | 
For M5|Adr    85|KD1    1725R      33.0 C  3 84F|Rb        1.42938 m   |HD         25.992 m   |                      | 
For M5|Adr    86|KD1    1726R      33.0 C    84F|                      |                      |Z        98.57583 m   | 
For M5|Adr    99|KD1    1726R      34.0 C  3 84F|Rb        1.43810 m   |HD         25.659 m   |                      | 
