For M5|Adr     1|TO  1540JAD-1263U.DAT          |                      |                      |                      | 
For M5|Adr     2|TO  080722 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  58086 70303 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   37L|                      |                      |                      | 
For M5|Adr     3|KD1  JAD1540                37L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1  JAD1540      32.0 C  3 37L|Rb        1.26311 m   |HD         12.499 m   |                      | 
For M5|Adr     5|KD1    1264G      32.0 C  3 37L|Rf        1.27475 m   |HD         12.019 m   |                      | 
For M5|Adr     6|KD1    1264G      32.0 C  3 37L|Rf        1.25265 m   |HD         12.031 m   |                      | 
For M5|Adr     7|KD1  JAD1540      32.0 C  3 37L|Rb        1.24107 m   |HD         12.486 m   |                      | 
For M5|Adr     8|KD1    1264G      32.0 C    37L|                      |                      |Z        99.98839 m   | 
For M5|Adr    15|KD1    1264G      32.0 C  3 37L|Rb        1.31957 m   |HD         13.984 m   |                      | 
For M5|Adr    16|KD1    1265G      32.0 C  3 37L|Rf        1.14440 m   |HD         14.543 m   |                      | 
For M5|Adr    17|KD1    1265G      33.0 C  3 37L|Rf        1.11949 m   |HD         14.546 m   |                      | 
For M5|Adr    18|KD1    1264G      33.0 C  3 37L|Rb        1.29464 m   |HD         13.981 m   |                      | 
For M5|Adr    19|KD1    1265G      33.0 C    37L|                      |                      |Z       100.16355 m   | 
For M5|Adr    20|KD1    1265G      33.0 C  3 37L|Rb        1.29178 m   |HD         17.086 m   |                      | 
For M5|Adr    21|KD1    1266G      33.0 C  3 37L|Rf        1.33465 m   |HD         17.587 m   |                      | 
For M5|Adr    22|KD1    1266G      33.0 C  3 37L|Rf        1.31441 m   |HD         17.584 m   |                      | 
For M5|Adr    23|KD1    1265G      33.0 C  3 37L|Rb        1.27152 m   |HD         17.085 m   |                      | 
For M5|Adr    24|KD1    1266G      33.0 C    37L|                      |                      |Z       100.12067 m   | 
For M5|Adr    25|KD1    1266G      33.0 C  3 37L|Rb        1.10011 m   |HD         18.004 m   |                      | 
For M5|Adr    26|KD1    1267G      33.0 C  3 37L|Rf        1.25196 m   |HD         17.169 m   |                      | 
For M5|Adr    27|KD1    1267G      33.0 C  3 37L|Rf        1.22863 m   |HD         17.172 m   |                      | 
For M5|Adr    28|KD1    1266G      33.0 C  3 37L|Rb        1.07671 m   |HD         17.999 m   |                      | 
For M5|Adr    29|KD1    1267G      33.0 C    37L|                      |                      |Z        99.96878 m   | 
For M5|Adr    30|KD1    1267G      33.0 C  3 37L|Rb        1.28728 m   |HD         19.763 m   |                      | 
For M5|Adr    31|KD1    1268G      33.0 C  3 37L|Rf        1.06847 m   |HD         20.153 m   |                      | 
For M5|Adr    32|KD1    1268G      33.0 C  3 37L|Rf        1.08752 m   |HD         20.149 m   |                      | 
For M5|Adr    33|KD1    1267G      33.0 C  3 37L|Rb        1.30631 m   |HD         19.765 m   |                      | 
For M5|Adr    34|KD1    1268G      33.0 C    37L|                      |                      |Z       100.18758 m   | 
For M5|Adr    35|KD1    1268G      33.0 C  3 37L|Rb        1.67177 m   |HD         15.932 m   |                      | 
For M5|Adr    36|KD1    1269G      33.0 C  3 37L|Rf        0.74448 m   |HD         15.749 m   |                      | 
For M5|Adr    37|KD1    1269G      33.0 C  3 37L|Rf        0.76338 m   |HD         15.751 m   |                      | 
