For M5|Adr     1|TO  4564-1216U.DAT             |                      |                      |                      | 
For M5|Adr     2|TO  070622 BASEL               |                      |                      |                      | 
For M5|Adr     3|TO  748188  72270 70303 1111   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB   13L|                      |                      |                      | 
For M5|Adr    17|KD1     4564                13L|                      |                      |Z       100.00000 m   | 
For M5|Adr    18|KD1     4564      27.0 C  3 13L|Rb        0.31189 m   |HD          4.610 m   |                      | 
For M5|Adr    19|KD1       1Y      27.0 C  3 13L|Rf        1.91527 m   |HD          3.769 m   |                      | 
For M5|Adr    20|KD1       1Y      27.0 C  3 13L|Rf        1.91524 m   |HD          3.767 m   |                      | 
For M5|Adr    21|KD1     4564      27.0 C  3 13L|Rb        0.31197 m   |HD          4.615 m   |                      | 
For M5|Adr    22|KD1       1Y      27.0 C    13L|                      |                      |Z        98.39668 m   | 
For M5|Adr    23|KD1       1Y      28.0 C  3 13L|Rb        1.00056 m   |HD          2.563 m   |                      | 
For M5|Adr    24|KD1       2Y      28.0 C  3 13L|Rf        1.51423 m   |HD          3.022 m   |                      | 
For M5|Adr    25|KD1       2Y      28.0 C  3 13L|Rf        1.45121 m   |HD          3.029 m   |                      | 
For M5|Adr    26|KD1       1Y      28.0 C  3 13L|Rb        0.93765 m   |HD          2.568 m   |                      | 
For M5|Adr    27|KD1       2Y      28.0 C    13L|                      |                      |Z        97.88306 m   | 
For M5|Adr    28|KD1       2Y      29.0 C  3 13L|Rb        0.37110 m   |HD          6.904 m   |                      | 
For M5|Adr    29|KD1       3Y      29.0 C  3 13L|Rf        1.87388 m   |HD          5.964 m   |                      | 
For M5|Adr    30|KD1       3Y      29.0 C  3 13L|Rf        1.87391 m   |HD          5.964 m   |                      | 
For M5|Adr    31|KD1       2Y      29.0 C  3 13L|Rb        0.37125 m   |HD          6.893 m   |                      | 
For M5|Adr    32|KD1       3Y      29.0 C    13L|                      |                      |Z        96.38034 m   | 
For M5|Adr    33|KD1       3Y      29.0 C  3 13L|Rb        0.76320 m   |HD          8.536 m   |                      | 
For M5|Adr    34|KD1       4Y      29.0 C  3 13L|Rf        1.37105 m   |HD         12.842 m   |                      | 
For M5|Adr    35|KD1       4Y      29.0 C  3 13L|Rf        1.32636 m   |HD         12.836 m   |                      | 
For M5|Adr    36|KD1       3Y      29.0 C  3 13L|Rb        0.71846 m   |HD          8.552 m   |                      | 
For M5|Adr    37|KD1       4Y      29.0 C    13L|                      |                      |Z        95.77246 m   | 
For M5|Adr    38|KD1       4Y      29.0 C  3 13L|Rb        0.86176 m   |HD          7.561 m   |                      | 
For M5|Adr    39|KD1       5Y      29.0 C  3 13L|Rf        1.87104 m   |HD          6.546 m   |                      | 
For M5|Adr    40|KD1       5Y      29.0 C  3 13L|Rf        1.79254 m   |HD          6.563 m   |                      | 
For M5|Adr    41|KD1       4Y      29.0 C  3 13L|Rb        0.78323 m   |HD          7.549 m   |                      | 
For M5|Adr    42|KD1       5Y      29.0 C    13L|                      |                      |Z        94.76317 m   | 
For M5|Adr    43|KD1       5Y      29.0 C  3 13L|Rb        0.99425 m   |HD          5.118 m   |                      | 
For M5|Adr    44|KD1       6Y      29.0 C  3 13L|Rf        1.78975 m   |HD          5.091 m   |                      | 
For M5|Adr    45|KD1       6Y      29.0 C  3 13L|Rf        1.75063 m   |HD          5.094 m   |                      | 
For M5|Adr    46|KD1       5Y      29.0 C  3 13L|Rb        0.95518 m   |HD          5.118 m   |                      | 
For M5|Adr    47|KD1       6Y      29.0 C    13L|                      |                      |Z        93.96770 m   | 
For M5|Adr    48|KD1       6Y      29.0 C  3 13L|Rb        0.94841 m   |HD          4.728 m   |                      | 
